X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y
559.892568	4547.000000	559.892568	4171.000000	559.892568	3925.000000	559.892568	3806.000000	559.892568	3679.000000	559.892568	3480.000000	559.892568	3303.000000	559.892568	8426.000000	559.892568	4801.000000	559.892568	6561.000000	559.892568	5284.000000	559.892568	4420.000000	559.892568	3907.000000	559.892568	3746.000000	559.892568	3518.000000	559.892568	3536.000000	559.892568	6774.000000	559.892568	5245.000000	559.892568	4634.000000	559.892568	4221.000000	559.892568	4055.000000	559.892568	3924.000000	559.892568	3806.000000	559.892568	3836.000000
560.613554	4398.000000	560.613554	4173.000000	560.613554	3928.000000	560.613554	3830.000000	560.613554	3597.000000	560.613554	3546.000000	560.613554	3277.000000	560.613554	8319.000000	560.613554	4871.000000	560.613554	6395.000000	560.613554	5182.000000	560.613554	4437.000000	560.613554	3878.000000	560.613554	3747.000000	560.613554	3603.000000	560.613554	3450.000000	560.613554	6743.000000	560.613554	5018.000000	560.613554	4357.000000	560.613554	4148.000000	560.613554	3958.000000	560.613554	3963.000000	560.613554	3907.000000	560.613554	3739.000000
561.334477	4415.000000	561.334477	4071.000000	561.334477	3897.000000	561.334477	3755.000000	561.334477	3601.000000	561.334477	3531.000000	561.334477	3336.000000	561.334477	8335.000000	561.334477	4803.000000	561.334477	6391.000000	561.334477	5173.000000	561.334477	4421.000000	561.334477	3916.000000	561.334477	3647.000000	561.334477	3477.000000	561.334477	3448.000000	561.334477	6684.000000	561.334477	5128.000000	561.334477	4334.000000	561.334477	4162.000000	561.334477	3951.000000	561.334477	3842.000000	561.334477	3764.000000	561.334477	3636.000000
562.055336	4220.000000	562.055336	4016.000000	562.055336	3858.000000	562.055336	3709.000000	562.055336	3614.000000	562.055336	3412.000000	562.055336	3267.000000	562.055336	8215.000000	562.055336	4738.000000	562.055336	6381.000000	562.055336	5201.000000	562.055336	4356.000000	562.055336	3902.000000	562.055336	3600.000000	562.055336	3487.000000	562.055336	3367.000000	562.055336	6696.000000	562.055336	4984.000000	562.055336	4449.000000	562.055336	4287.000000	562.055336	3982.000000	562.055336	3784.000000	562.055336	3790.000000	562.055336	3751.000000
562.776130	4212.000000	562.776130	3909.000000	562.776130	3863.000000	562.776130	3712.000000	562.776130	3585.000000	562.776130	3399.000000	562.776130	3319.000000	562.776130	8195.000000	562.776130	4725.000000	562.776130	6400.000000	562.776130	5035.000000	562.776130	4366.000000	562.776130	3798.000000	562.776130	3507.000000	562.776130	3480.000000	562.776130	3297.000000	562.776130	6615.000000	562.776130	5065.000000	562.776130	4298.000000	562.776130	4150.000000	562.776130	3896.000000	562.776130	3847.000000	562.776130	3645.000000	562.776130	3675.000000
563.496862	4279.000000	563.496862	3840.000000	563.496862	3808.000000	563.496862	3715.000000	563.496862	3525.000000	563.496862	3361.000000	563.496862	3314.000000	563.496862	8212.000000	563.496862	4732.000000	563.496862	6382.000000	563.496862	5001.000000	563.496862	4366.000000	563.496862	3769.000000	563.496862	3588.000000	563.496862	3393.000000	563.496862	3269.000000	563.496862	6527.000000	563.496862	4999.000000	563.496862	4268.000000	563.496862	3987.000000	563.496862	3945.000000	563.496862	3813.000000	563.496862	3657.000000	563.496862	3668.000000
564.217529	4220.000000	564.217529	4015.000000	564.217529	3767.000000	564.217529	3689.000000	564.217529	3581.000000	564.217529	3395.000000	564.217529	3278.000000	564.217529	8153.000000	564.217529	4619.000000	564.217529	6192.000000	564.217529	5053.000000	564.217529	4317.000000	564.217529	3751.000000	564.217529	3545.000000	564.217529	3379.000000	564.217529	3351.000000	564.217529	6578.000000	564.217529	4897.000000	564.217529	4303.000000	564.217529	4011.000000	564.217529	3920.000000	564.217529	3787.000000	564.217529	3706.000000	564.217529	3608.000000
564.938132	4244.000000	564.938132	3916.000000	564.938132	3764.000000	564.938132	3589.000000	564.938132	3580.000000	564.938132	3341.000000	564.938132	3267.000000	564.938132	8261.000000	564.938132	4712.000000	564.938132	6361.000000	564.938132	4878.000000	564.938132	4293.000000	564.938132	3683.000000	564.938132	3511.000000	564.938132	3427.000000	564.938132	3263.000000	564.938132	6656.000000	564.938132	4868.000000	564.938132	4384.000000	564.938132	3935.000000	564.938132	3865.000000	564.938132	3691.000000	564.938132	3648.000000	564.938132	3480.000000
565.658672	4132.000000	565.658672	3911.000000	565.658672	3719.000000	565.658672	3522.000000	565.658672	3503.000000	565.658672	3384.000000	565.658672	3045.000000	565.658672	8166.000000	565.658672	4716.000000	565.658672	6197.000000	565.658672	4976.000000	565.658672	4204.000000	565.658672	3607.000000	565.658672	3464.000000	565.658672	3352.000000	565.658672	3198.000000	565.658672	6454.000000	565.658672	4807.000000	565.658672	4212.000000	565.658672	3999.000000	565.658672	3815.000000	565.658672	3734.000000	565.658672	3510.000000	565.658672	3520.000000
566.379148	4237.000000	566.379148	3876.000000	566.379148	3658.000000	566.379148	3552.000000	566.379148	3458.000000	566.379148	3369.000000	566.379148	3170.000000	566.379148	8149.000000	566.379148	4668.000000	566.379148	6214.000000	566.379148	4919.000000	566.379148	4204.000000	566.379148	3725.000000	566.379148	3494.000000	566.379148	3370.000000	566.379148	3264.000000	566.379148	6473.000000	566.379148	4932.000000	566.379148	4206.000000	566.379148	3952.000000	566.379148	3786.000000	566.379148	3638.000000	566.379148	3560.000000	566.379148	3538.000000
567.099560	4193.000000	567.099560	3901.000000	567.099560	3759.000000	567.099560	3523.000000	567.099560	3486.000000	567.099560	3250.000000	567.099560	3153.000000	567.099560	8070.000000	567.099560	4561.000000	567.099560	6123.000000	567.099560	4847.000000	567.099560	4211.000000	567.099560	3716.000000	567.099560	3388.000000	567.099560	3331.000000	567.099560	3224.000000	567.099560	6385.000000	567.099560	4946.000000	567.099560	4124.000000	567.099560	3885.000000	567.099560	3815.000000	567.099560	3586.000000	567.099560	3490.000000	567.099560	3494.000000
567.819908	4118.000000	567.819908	3741.000000	567.819908	3671.000000	567.819908	3446.000000	567.819908	3335.000000	567.819908	3189.000000	567.819908	3167.000000	567.819908	8015.000000	567.819908	4647.000000	567.819908	6175.000000	567.819908	4852.000000	567.819908	4208.000000	567.819908	3708.000000	567.819908	3377.000000	567.819908	3294.000000	567.819908	3117.000000	567.819908	6454.000000	567.819908	4880.000000	567.819908	4143.000000	567.819908	3996.000000	567.819908	3702.000000	567.819908	3715.000000	567.819908	3523.000000	567.819908	3517.000000
568.540193	4149.000000	568.540193	3765.000000	568.540193	3627.000000	568.540193	3545.000000	568.540193	3398.000000	568.540193	3292.000000	568.540193	3192.000000	568.540193	8182.000000	568.540193	4684.000000	568.540193	6079.000000	568.540193	4905.000000	568.540193	4204.000000	568.540193	3618.000000	568.540193	3426.000000	568.540193	3232.000000	568.540193	3138.000000	568.540193	6413.000000	568.540193	4774.000000	568.540193	4156.000000	568.540193	3943.000000	568.540193	3577.000000	568.540193	3730.000000	568.540193	3468.000000	568.540193	3365.000000
569.260414	4164.000000	569.260414	3768.000000	569.260414	3753.000000	569.260414	3430.000000	569.260414	3421.000000	569.260414	3270.000000	569.260414	3125.000000	569.260414	8076.000000	569.260414	4671.000000	569.260414	6111.000000	569.260414	4725.000000	569.260414	4141.000000	569.260414	3533.000000	569.260414	3352.000000	569.260414	3260.000000	569.260414	3233.000000	569.260414	6401.000000	569.260414	4789.000000	569.260414	4219.000000	569.260414	3932.000000	569.260414	3765.000000	569.260414	3634.000000	569.260414	3427.000000	569.260414	3458.000000
569.980571	4106.000000	569.980571	3724.000000	569.980571	3663.000000	569.980571	3440.000000	569.980571	3331.000000	569.980571	3266.000000	569.980571	3050.000000	569.980571	8065.000000	569.980571	4524.000000	569.980571	6038.000000	569.980571	4766.000000	569.980571	4050.000000	569.980571	3488.000000	569.980571	3406.000000	569.980571	3225.000000	569.980571	3193.000000	569.980571	6391.000000	569.980571	4692.000000	569.980571	4145.000000	569.980571	3847.000000	569.980571	3740.000000	569.980571	3501.000000	569.980571	3487.000000	569.980571	3439.000000
570.700664	4087.000000	570.700664	3647.000000	570.700664	3646.000000	570.700664	3345.000000	570.700664	3318.000000	570.700664	3233.000000	570.700664	3024.000000	570.700664	8163.000000	570.700664	4450.000000	570.700664	5990.000000	570.700664	4750.000000	570.700664	4123.000000	570.700664	3435.000000	570.700664	3375.000000	570.700664	3217.000000	570.700664	3103.000000	570.700664	6384.000000	570.700664	4777.000000	570.700664	4062.000000	570.700664	3771.000000	570.700664	3627.000000	570.700664	3558.000000	570.700664	3446.000000	570.700664	3448.000000
