X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y
559.892568	5277.000000	559.892568	4501.000000	559.892568	4205.000000	559.892568	4065.000000	559.892568	3984.000000	559.892568	6642.000000	559.892568	5345.000000	559.892568	4972.000000	559.892568	4778.000000	559.892568	4486.000000	559.892568	4417.000000	559.892568	5247.000000	559.892568	4235.000000	559.892568	3879.000000	559.892568	3736.000000	559.892568	4234.000000	559.892568	3636.000000	559.892568	3899.000000	559.892568	3760.000000	559.892568	5196.000000	559.892568	4240.000000	559.892568	4082.000000	559.892568	3921.000000	559.892568	3870.000000	559.892568	5202.000000	559.892568	4215.000000
560.613554	5392.000000	560.613554	4519.000000	560.613554	4149.000000	560.613554	4044.000000	560.613554	4020.000000	560.613554	6556.000000	560.613554	5429.000000	560.613554	4896.000000	560.613554	4697.000000	560.613554	4482.000000	560.613554	4373.000000	560.613554	5284.000000	560.613554	4212.000000	560.613554	3948.000000	560.613554	3744.000000	560.613554	4196.000000	560.613554	3671.000000	560.613554	3962.000000	560.613554	3709.000000	560.613554	5163.000000	560.613554	4300.000000	560.613554	4100.000000	560.613554	3988.000000	560.613554	3904.000000	560.613554	5184.000000	560.613554	4193.000000
561.334477	5219.000000	561.334477	4340.000000	561.334477	4116.000000	561.334477	4036.000000	561.334477	3931.000000	561.334477	6663.000000	561.334477	5353.000000	561.334477	4886.000000	561.334477	4546.000000	561.334477	4355.000000	561.334477	4307.000000	561.334477	5205.000000	561.334477	4160.000000	561.334477	3781.000000	561.334477	3650.000000	561.334477	4160.000000	561.334477	3559.000000	561.334477	3900.000000	561.334477	3624.000000	561.334477	5226.000000	561.334477	4265.000000	561.334477	4011.000000	561.334477	3871.000000	561.334477	3737.000000	561.334477	5125.000000	561.334477	4241.000000
562.055336	5103.000000	562.055336	4358.000000	562.055336	4155.000000	562.055336	3962.000000	562.055336	3811.000000	562.055336	6522.000000	562.055336	5213.000000	562.055336	4852.000000	562.055336	4546.000000	562.055336	4437.000000	562.055336	4215.000000	562.055336	5149.000000	562.055336	4065.000000	562.055336	3783.000000	562.055336	3700.000000	562.055336	4074.000000	562.055336	3510.000000	562.055336	3832.000000	562.055336	3601.000000	562.055336	5002.000000	562.055336	4217.000000	562.055336	3969.000000	562.055336	3834.000000	562.055336	3686.000000	562.055336	5039.000000	562.055336	4172.000000
562.776130	5158.000000	562.776130	4228.000000	562.776130	4085.000000	562.776130	3902.000000	562.776130	3813.000000	562.776130	6505.000000	562.776130	5074.000000	562.776130	4791.000000	562.776130	4485.000000	562.776130	4336.000000	562.776130	4248.000000	562.776130	5158.000000	562.776130	4064.000000	562.776130	3688.000000	562.776130	3623.000000	562.776130	4112.000000	562.776130	3449.000000	562.776130	3813.000000	562.776130	3521.000000	562.776130	5055.000000	562.776130	4189.000000	562.776130	3912.000000	562.776130	3809.000000	562.776130	3722.000000	562.776130	5057.000000	562.776130	4006.000000
563.496862	5173.000000	563.496862	4271.000000	563.496862	3972.000000	563.496862	3938.000000	563.496862	3693.000000	563.496862	6512.000000	563.496862	5167.000000	563.496862	4727.000000	563.496862	4502.000000	563.496862	4389.000000	563.496862	4143.000000	563.496862	5209.000000	563.496862	4086.000000	563.496862	3671.000000	563.496862	3611.000000	563.496862	4075.000000	563.496862	3524.000000	563.496862	3815.000000	563.496862	3564.000000	563.496862	5019.000000	563.496862	4185.000000	563.496862	3849.000000	563.496862	3707.000000	563.496862	3654.000000	563.496862	5033.000000	563.496862	4113.000000
564.217529	5044.000000	564.217529	4311.000000	564.217529	4059.000000	564.217529	3739.000000	564.217529	3733.000000	564.217529	6580.000000	564.217529	5304.000000	564.217529	4632.000000	564.217529	4475.000000	564.217529	4302.000000	564.217529	4156.000000	564.217529	5010.000000	564.217529	4022.000000	564.217529	3693.000000	564.217529	3526.000000	564.217529	4041.000000	564.217529	3442.000000	564.217529	3721.000000	564.217529	3547.000000	564.217529	4997.000000	564.217529	4028.000000	564.217529	3817.000000	564.217529	3730.000000	564.217529	3598.000000	564.217529	5068.000000	564.217529	4006.000000
564.938132	5094.000000	564.938132	4241.000000	564.938132	3892.000000	564.938132	3781.000000	564.938132	3705.000000	564.938132	6378.000000	564.938132	5099.000000	564.938132	4777.000000	564.938132	4455.000000	564.938132	4243.000000	564.938132	4089.000000	564.938132	5051.000000	564.938132	3889.000000	564.938132	3638.000000	564.938132	3513.000000	564.938132	3989.000000	564.938132	3404.000000	564.938132	3793.000000	564.938132	3518.000000	564.938132	4912.000000	564.938132	4070.000000	564.938132	3828.000000	564.938132	3695.000000	564.938132	3596.000000	564.938132	5008.000000	564.938132	3987.000000
565.658672	5117.000000	565.658672	4184.000000	565.658672	3984.000000	565.658672	3758.000000	565.658672	3605.000000	565.658672	6329.000000	565.658672	5056.000000	565.658672	4592.000000	565.658672	4416.000000	565.658672	4246.000000	565.658672	4048.000000	565.658672	4960.000000	565.658672	3896.000000	565.658672	3551.000000	565.658672	3397.000000	565.658672	3908.000000	565.658672	3340.000000	565.658672	3739.000000	565.658672	3459.000000	565.658672	4907.000000	565.658672	4057.000000	565.658672	3758.000000	565.658672	3603.000000	565.658672	3572.000000	565.658672	4961.000000	565.658672	3957.000000
566.379148	4994.000000	566.379148	4249.000000	566.379148	3813.000000	566.379148	3737.000000	566.379148	3681.000000	566.379148	6289.000000	566.379148	5029.000000	566.379148	4661.000000	566.379148	4362.000000	566.379148	4142.000000	566.379148	4034.000000	566.379148	4915.000000	566.379148	3830.000000	566.379148	3546.000000	566.379148	3341.000000	566.379148	3952.000000	566.379148	3342.000000	566.379148	3622.000000	566.379148	3484.000000	566.379148	4845.000000	566.379148	4027.000000	566.379148	3865.000000	566.379148	3528.000000	566.379148	3486.000000	566.379148	4948.000000	566.379148	3974.000000
