X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y
559.892568	9890.000000	559.892568	5341.000000	559.892568	5010.000000	559.892568	4626.000000	559.892568	4539.000000	559.892568	4328.000000	559.892568	4218.000000	559.892568	4148.000000	559.892568	4175.000000	559.892568	4124.000000	559.892568	4089.000000	559.892568	6470.000000	559.892568	5397.000000	559.892568	4863.000000	559.892568	4666.000000	559.892568	4440.000000	559.892568	4419.000000	559.892568	4335.000000	559.892568	4267.000000	559.892568	8300.000000	559.892568	5966.000000	559.892568	5248.000000	559.892568	4882.000000	559.892568	4578.000000	559.892568	4514.000000
560.613554	9917.000000	560.613554	5342.000000	560.613554	5053.000000	560.613554	4656.000000	560.613554	4458.000000	560.613554	4373.000000	560.613554	4227.000000	560.613554	4178.000000	560.613554	4041.000000	560.613554	4012.000000	560.613554	3967.000000	560.613554	6421.000000	560.613554	5282.000000	560.613554	4837.000000	560.613554	4627.000000	560.613554	4471.000000	560.613554	4401.000000	560.613554	4313.000000	560.613554	4142.000000	560.613554	8282.000000	560.613554	5935.000000	560.613554	5321.000000	560.613554	4840.000000	560.613554	4669.000000	560.613554	4492.000000
561.334477	9860.000000	561.334477	5409.000000	561.334477	5011.000000	561.334477	4576.000000	561.334477	4449.000000	561.334477	4271.000000	561.334477	4239.000000	561.334477	4142.000000	561.334477	4052.000000	561.334477	4076.000000	561.334477	3909.000000	561.334477	6434.000000	561.334477	5310.000000	561.334477	4819.000000	561.334477	4534.000000	561.334477	4367.000000	561.334477	4346.000000	561.334477	4141.000000	561.334477	4117.000000	561.334477	8217.000000	561.334477	5811.000000	561.334477	5119.000000	561.334477	4916.000000	561.334477	4487.000000	561.334477	4507.000000
562.055336	9863.000000	562.055336	5261.000000	562.055336	4864.000000	562.055336	4633.000000	562.055336	4373.000000	562.055336	4254.000000	562.055336	4180.000000	562.055336	4072.000000	562.055336	4020.000000	562.055336	4006.000000	562.055336	3936.000000	562.055336	6290.000000	562.055336	5189.000000	562.055336	4695.000000	562.055336	4549.000000	562.055336	4405.000000	562.055336	4197.000000	562.055336	4220.000000	562.055336	4054.000000	562.055336	8139.000000	562.055336	5758.000000	562.055336	5153.000000	562.055336	4803.000000	562.055336	4546.000000	562.055336	4430.000000
562.776130	9875.000000	562.776130	5314.000000	562.776130	4964.000000	562.776130	4653.000000	562.776130	4300.000000	562.776130	4307.000000	562.776130	4097.000000	562.776130	4117.000000	562.776130	3963.000000	562.776130	3965.000000	562.776130	3971.000000	562.776130	6415.000000	562.776130	5198.000000	562.776130	4763.000000	562.776130	4438.000000	562.776130	4236.000000	562.776130	4166.000000	562.776130	4184.000000	562.776130	3992.000000	562.776130	8104.000000	562.776130	5821.000000	562.776130	5089.000000	562.776130	4849.000000	562.776130	4495.000000	562.776130	4321.000000
563.496862	9787.000000	563.496862	5232.000000	563.496862	4871.000000	563.496862	4529.000000	563.496862	4386.000000	563.496862	4272.000000	563.496862	4253.000000	563.496862	4067.000000	563.496862	3880.000000	563.496862	4077.000000	563.496862	3842.000000	563.496862	6240.000000	563.496862	5167.000000	563.496862	4673.000000	563.496862	4457.000000	563.496862	4334.000000	563.496862	4182.000000	563.496862	4073.000000	563.496862	4037.000000	563.496862	8041.000000	563.496862	5688.000000	563.496862	5084.000000	563.496862	4710.000000	563.496862	4518.000000	563.496862	4259.000000
564.217529	9827.000000	564.217529	5249.000000	564.217529	4913.000000	564.217529	4550.000000	564.217529	4306.000000	564.217529	4222.000000	564.217529	4162.000000	564.217529	3980.000000	564.217529	3899.000000	564.217529	3873.000000	564.217529	3856.000000	564.217529	6282.000000	564.217529	5146.000000	564.217529	4689.000000	564.217529	4311.000000	564.217529	4192.000000	564.217529	4113.000000	564.217529	4122.000000	564.217529	4069.000000	564.217529	8079.000000	564.217529	5735.000000	564.217529	5023.000000	564.217529	4699.000000	564.217529	4467.000000	564.217529	4314.000000
564.938132	9655.000000	564.938132	5121.000000	564.938132	4879.000000	564.938132	4581.000000	564.938132	4312.000000	564.938132	4170.000000	564.938132	4077.000000	564.938132	3993.000000	564.938132	3902.000000	564.938132	3894.000000	564.938132	3861.000000	564.938132	6233.000000	564.938132	5121.000000	564.938132	4580.000000	564.938132	4367.000000	564.938132	4140.000000	564.938132	4100.000000	564.938132	4060.000000	564.938132	3899.000000	564.938132	7952.000000	564.938132	5671.000000	564.938132	5004.000000	564.938132	4623.000000	564.938132	4282.000000	564.938132	4236.000000
565.658672	9700.000000	565.658672	5229.000000	565.658672	4863.000000	565.658672	4489.000000	565.658672	4307.000000	565.658672	4151.000000	565.658672	4123.000000	565.658672	3939.000000	565.658672	3952.000000	565.658672	3847.000000	565.658672	3791.000000	565.658672	6165.000000	565.658672	5112.000000	565.658672	4590.000000	565.658672	4365.000000	565.658672	4036.000000	565.658672	4092.000000	565.658672	4004.000000	565.658672	3916.000000	565.658672	8039.000000	565.658672	5694.000000	565.658672	4966.000000	565.658672	4522.000000	565.658672	4314.000000	565.658672	4217.000000
566.379148	9814.000000	566.379148	5179.000000	566.379148	4852.000000	566.379148	4392.000000	566.379148	4328.000000	566.379148	4120.000000	566.379148	4039.000000	566.379148	3882.000000	566.379148	3957.000000	566.379148	3839.000000	566.379148	3859.000000	566.379148	6121.000000	566.379148	4986.000000	566.379148	4513.000000	566.379148	4352.000000	566.379148	4113.000000	566.379148	4104.000000	566.379148	3994.000000	566.379148	3852.000000	566.379148	8065.000000	566.379148	5594.000000	566.379148	5058.000000	566.379148	4580.000000	566.379148	4345.000000	566.379148	4254.000000
567.099560	9739.000000	567.099560	5027.000000	567.099560	4802.000000	567.099560	4500.000000	567.099560	4244.000000	567.099560	4178.000000	567.099560	3902.000000	567.099560	3964.000000	567.099560	3898.000000	567.099560	3757.000000	567.099560	3747.000000	567.099560	6157.000000	567.099560	4960.000000	567.099560	4492.000000	567.099560	4225.000000	567.099560	4071.000000	567.099560	4023.000000	567.099560	3974.000000	567.099560	3762.000000	567.099560	7966.000000	567.099560	5588.000000	567.099560	4949.000000	567.099560	4551.000000	567.099560	4213.000000	567.099560	4125.000000
567.819908	9701.000000	567.819908	5145.000000	567.819908	4773.000000	567.819908	4487.000000	567.819908	4330.000000	567.819908	4168.000000	567.819908	4095.000000	567.819908	4014.000000	567.819908	3837.000000	567.819908	3740.000000	567.819908	3794.000000	567.819908	6043.000000	567.819908	4926.000000	567.819908	4603.000000	567.819908	4202.000000	567.819908	4071.000000	567.819908	3981.000000	567.819908	3909.000000	567.819908	3831.000000	567.819908	7983.000000	567.819908	5529.000000	567.819908	4874.000000	567.819908	4544.000000	567.819908	4328.000000	567.819908	4144.000000
568.540193	9579.000000	568.540193	5116.000000	568.540193	4800.000000	568.540193	4435.000000	568.540193	4195.000000	568.540193	4020.000000	568.540193	4035.000000	568.540193	3811.000000	568.540193	3881.000000	568.540193	3810.000000	568.540193	3743.000000	568.540193	6071.000000	568.540193	4991.000000	568.540193	4597.000000	568.540193	4230.000000	568.540193	4027.000000	568.540193	3994.000000	568.540193	3877.000000	568.540193	3758.000000	568.540193	8074.000000	568.540193	5568.000000	568.540193	4861.000000	568.540193	4512.000000	568.540193	4263.000000	568.540193	4087.000000
569.260414	9823.000000	569.260414	5116.000000	569.260414	4757.000000	569.260414	4357.000000	569.260414	4233.000000	569.260414	4081.000000	569.260414	4051.000000	569.260414	3956.000000	569.260414	3783.000000	569.260414	3692.000000	569.260414	3778.000000	569.260414	6035.000000	569.260414	4929.000000	569.260414	4458.000000	569.260414	4198.000000	569.260414	4004.000000	569.260414	3870.000000	569.260414	3785.000000	569.260414	3810.000000	569.260414	7886.000000	569.260414	5436.000000	569.260414	4869.000000	569.260414	4471.000000	569.260414	4235.000000	569.260414	4005.000000
569.980571	9797.000000	569.980571	5076.000000	569.980571	4667.000000	569.980571	4470.000000	569.980571	4219.000000	569.980571	4023.000000	569.980571	3976.000000	569.980571	3874.000000	569.980571	3820.000000	569.980571	3786.000000	569.980571	3752.000000	569.980571	6083.000000	569.980571	4918.000000	569.980571	4380.000000	569.980571	4148.000000	569.980571	4045.000000	569.980571	3868.000000	569.980571	3770.000000	569.980571	3741.000000	569.980571	7865.000000	569.980571	5500.000000	569.980571	4648.000000	569.980571	4429.000000	569.980571	4174.000000	569.980571	4083.000000
570.700664	9654.000000	570.700664	5163.000000	570.700664	4671.000000	570.700664	4375.000000	570.700664	4209.000000	570.700664	4079.000000	570.700664	3937.000000	570.700664	3975.000000	570.700664	3748.000000	570.700664	3719.000000	570.700664	3777.000000	570.700664	6025.000000	570.700664	4903.000000	570.700664	4345.000000	570.700664	4212.000000	570.700664	4011.000000	570.700664	3911.000000	570.700664	3801.000000	570.700664	3814.000000	570.700664	7819.000000	570.700664	5397.000000	570.700664	4786.000000	570.700664	4405.000000	570.700664	3977.000000	570.700664	3998.000000
571.420694	9701.000000	571.420694	5062.000000	571.420694	4603.000000	571.420694	4403.000000	571.420694	4230.000000	571.420694	4093.000000	571.420694	4016.000000	571.420694	3936.000000	571.420694	3822.000000	571.420694	3758.000000	571.420694	3700.000000	571.420694	6039.000000	571.420694	5019.000000	571.420694	4486.000000	571.420694	4143.000000	571.420694	4006.000000	571.420694	3780.000000	571.420694	3723.000000	571.420694	3849.000000	571.420694	7858.000000	571.420694	5461.000000	571.420694	4797.000000	571.420694	4398.000000	571.420694	4158.000000	571.420694	4042.000000
572.140660	9743.000000	572.140660	5014.000000	572.140660	4729.000000	572.140660	4305.000000	572.140660	4156.000000	572.140660	4079.000000	572.140660	3926.000000	572.140660	3821.000000	572.140660	3725.000000	572.140660	3651.000000	572.140660	3661.000000	572.140660	5975.000000	572.140660	4854.000000	572.140660	4389.000000	572.140660	4160.000000	572.140660	3872.000000	572.140660	3895.000000	572.140660	3767.000000	572.140660	3589.000000	572.140660	7682.000000	572.140660	5427.000000	572.140660	4655.000000	572.140660	4326.000000	572.140660	4249.000000	572.140660	3944.000000
572.860562	9568.000000	572.860562	4914.000000	572.860562	4601.000000	572.860562	4268.000000	572.860562	4252.000000	572.860562	3997.000000	572.860562	3907.000000	572.860562	3805.000000	572.860562	3763.000000	572.860562	3696.000000	572.860562	3684.000000	572.860562	6013.000000	572.860562	4790.000000	572.860562	4341.000000	572.860562	4082.000000	572.860562	3918.000000	572.860562	3846.000000	572.860562	3734.000000	572.860562	3681.000000	572.860562	7880.000000	572.860562	5419.000000	572.860562	4737.000000	572.860562	4355.000000	572.860562	4108.000000	572.860562	3899.000000
573.580401	9698.000000	573.580401	5037.000000	573.580401	4599.000000	573.580401	4370.000000	573.580401	4098.000000	573.580401	3977.000000	573.580401	3888.000000	573.580401	3849.000000	573.580401	3798.000000	573.580401	3710.000000	573.580401	3676.000000	573.580401	5934.000000	573.580401	4773.000000	573.580401	4361.000000	573.580401	4058.000000	573.580401	3862.000000	573.580401	3789.000000	573.580401	3762.000000	573.580401	3648.000000	573.580401	7937.000000	573.580401	5557.000000	573.580401	4713.000000	573.580401	4316.000000	573.580401	4093.000000	573.580401	3879.000000
574.300176	9697.000000	574.300176	4977.000000	574.300176	4597.000000	574.300176	4444.000000	574.300176	4121.000000	574.300176	3972.000000	574.300176	3981.000000	574.300176	3783.000000	574.300176	3709.000000	574.300176	3659.000000	574.300176	3679.000000	574.300176	5962.000000	574.300176	4783.000000	574.300176	4273.000000	574.300176	4039.000000	574.300176	3789.000000	574.300176	3715.000000	574.300176	3762.000000	574.300176	3624.000000	574.300176	7817.000000	574.300176	5323.000000	574.300176	4771.000000	574.300176	4389.000000	574.300176	3952.000000	574.300176	3903.000000
575.019887	9461.000000	575.019887	5020.000000	575.019887	4533.000000	575.019887	4247.000000	575.019887	4176.000000	575.019887	4040.000000	575.019887	3924.000000	575.019887	3804.000000	575.019887	3610.000000	575.019887	3576.000000	575.019887	3583.000000	575.019887	5908.000000	575.019887	4714.000000	575.019887	4344.000000	575.019887	4064.000000	575.019887	3783.000000	575.019887	3685.000000	575.019887	3730.000000	575.019887	3643.000000	575.019887	7647.000000	575.019887	5470.000000	575.019887	4663.000000	575.019887	4317.000000	575.019887	4027.000000	575.019887	3915.000000
575.739534	9681.000000	575.739534	4995.000000	575.739534	4628.000000	575.739534	4332.000000	575.739534	4078.000000	575.739534	3952.000000	575.739534	3848.000000	575.739534	3827.000000	575.739534	3670.000000	575.739534	3714.000000	575.739534	3606.000000	575.739534	5819.000000	575.739534	4715.000000	575.739534	4226.000000	575.739534	4077.000000	575.739534	3784.000000	575.739534	3732.000000	575.739534	3670.000000	575.739534	3561.000000	575.739534	7698.000000	575.739534	5384.000000	575.739534	4638.000000	575.739534	4295.000000	575.739534	3944.000000	575.739534	3861.000000
576.459118	9617.000000	576.459118	4959.000000	576.459118	4520.000000	576.459118	4332.000000	576.459118	4058.000000	576.459118	3932.000000	576.459118	3813.000000	576.459118	3781.000000	576.459118	3752.000000	576.459118	3632.000000	576.459118	3529.000000	576.459118	5784.000000	576.459118	4667.000000	576.459118	4219.000000	576.459118	3998.000000	576.459118	3779.000000	576.459118	3688.000000	576.459118	3598.000000	576.459118	3521.000000	576.459118	7729.000000	576.459118	5320.000000	576.459118	4694.000000	576.459118	4261.000000	576.459118	3973.000000	576.459118	3797.000000
577.178638	9440.000000	577.178638	5090.000000	577.178638	4548.000000	577.178638	4237.000000	577.178638	4132.000000	577.178638	3938.000000	577.178638	3771.000000	577.178638	3769.000000	577.178638	3678.000000	577.178638	3579.000000	577.178638	3483.000000	577.178638	5841.000000	577.178638	4696.000000	577.178638	4208.000000	577.178638	3941.000000	577.178638	3808.000000	577.178638	3720.000000	577.178638	3605.000000	577.178638	3609.000000	577.178638	7638.000000	577.178638	5414.000000	577.178638	4708.000000	577.178638	4234.000000	577.178638	3964.000000	577.178638	3870.000000
577.898094	9581.000000	577.898094	4949.000000	577.898094	4596.000000	577.898094	4180.000000	577.898094	4124.000000	577.898094	3867.000000	577.898094	3762.000000	577.898094	3717.000000	577.898094	3578.000000	577.898094	3565.000000	577.898094	3610.000000	577.898094	5879.000000	577.898094	4652.000000	577.898094	4196.000000	577.898094	3917.000000	577.898094	3762.000000	577.898094	3764.000000	577.898094	3690.000000	577.898094	3555.000000	577.898094	7526.000000	577.898094	5304.000000	577.898094	4647.000000	577.898094	4256.000000	577.898094	3995.000000	577.898094	3721.000000
578.617487	9395.000000	578.617487	4806.000000	578.617487	4611.000000	578.617487	4243.000000	578.617487	4021.000000	578.617487	3923.000000	578.617487	3755.000000	578.617487	3778.000000	578.617487	3679.000000	578.617487	3619.000000	578.617487	3511.000000	578.617487	5809.000000	578.617487	4601.000000	578.617487	4220.000000	578.617487	4033.000000	578.617487	3650.000000	578.617487	3660.000000	578.617487	3630.000000	578.617487	3499.000000	578.617487	7635.000000	578.617487	5281.000000	578.617487	4611.000000	578.617487	4266.000000	578.617487	3930.000000	578.617487	3854.000000
579.336816	9514.000000	579.336816	4846.000000	579.336816	4564.000000	579.336816	4191.000000	579.336816	4035.000000	579.336816	3850.000000	579.336816	3857.000000	579.336816	3725.000000	579.336816	3590.000000	579.336816	3613.000000	579.336816	3560.000000	579.336816	5770.000000	579.336816	4663.000000	579.336816	4194.000000	579.336816	3892.000000	579.336816	3681.000000	579.336816	3623.000000	579.336816	3476.000000	579.336816	3511.000000	579.336816	7690.000000	579.336816	5167.000000	579.336816	4615.000000	579.336816	4157.000000	579.336816	3940.000000	579.336816	3854.000000
580.056081	9506.000000	580.056081	4879.000000	580.056081	4549.000000	580.056081	4174.000000	580.056081	4079.000000	580.056081	3857.000000	580.056081	3807.000000	580.056081	3697.000000	580.056081	3650.000000	580.056081	3560.000000	580.056081	3487.000000	580.056081	5718.000000	580.056081	4627.000000	580.056081	4133.000000	580.056081	3855.000000	580.056081	3744.000000	580.056081	3669.000000	580.056081	3638.000000	580.056081	3339.000000	580.056081	7544.000000	580.056081	5152.000000	580.056081	4549.000000	580.056081	4134.000000	580.056081	3829.000000	580.056081	3730.000000
580.775283	9569.000000	580.775283	4890.000000	580.775283	4453.000000	580.775283	4180.000000	580.775283	3989.000000	580.775283	3876.000000	580.775283	3749.000000	580.775283	3604.000000	580.775283	3501.000000	580.775283	3583.000000	580.775283	3511.000000	580.775283	5743.000000	580.775283	4627.000000	580.775283	4182.000000	580.775283	3821.000000	580.775283	3731.000000	580.775283	3602.000000	580.775283	3519.000000	580.775283	3422.000000	580.775283	7497.000000	580.775283	5179.000000	580.775283	4558.000000	580.775283	4204.000000	580.775283	3935.000000	580.775283	3761.000000
581.494421	9554.000000	581.494421	4910.000000	581.494421	4443.000000	581.494421	4230.000000	581.494421	4071.000000	581.494421	3752.000000	581.494421	3781.000000	581.494421	3711.000000	581.494421	3590.000000	581.494421	3538.000000	581.494421	3542.000000	581.494421	5714.000000	581.494421	4579.000000	581.494421	4021.000000	581.494421	3839.000000	581.494421	3722.000000	581.494421	3635.000000	581.494421	3564.000000	581.494421	3423.000000	581.494421	7486.000000	581.494421	5117.000000	581.494421	4522.000000	581.494421	4124.000000	581.494421	3904.000000	581.494421	3668.000000
582.213495	9460.000000	582.213495	4830.000000	582.213495	4430.000000	582.213495	4201.000000	582.213495	3900.000000	582.213495	3921.000000	582.213495	3735.000000	582.213495	3694.000000	582.213495	3603.000000	582.213495	3497.000000	582.213495	3448.000000	582.213495	5800.000000	582.213495	4524.000000	582.213495	4092.000000	582.213495	3891.000000	582.213495	3693.000000	582.213495	3617.000000	582.213495	3486.000000	582.213495	3365.000000	582.213495	7607.000000	582.213495	5206.000000	582.213495	4531.000000	582.213495	4156.000000	582.213495	3929.000000	582.213495	3717.000000
582.932506	9460.000000	582.932506	4808.000000	582.932506	4425.000000	582.932506	4232.000000	582.932506	3968.000000	582.932506	3876.000000	582.932506	3757.000000	582.932506	3677.000000	582.932506	3582.000000	582.932506	3485.000000	582.932506	3441.000000	582.932506	5729.000000	582.932506	4649.000000	582.932506	4169.000000	582.932506	3761.000000	582.932506	3643.000000	582.932506	3610.000000	582.932506	3482.000000	582.932506	3401.000000	582.932506	7572.000000	582.932506	5160.000000	582.932506	4457.000000	582.932506	4115.000000	582.932506	3875.000000	582.932506	3716.000000
583.651453	9326.000000	583.651453	4813.000000	583.651453	4484.000000	583.651453	4271.000000	583.651453	3954.000000	583.651453	3875.000000	583.651453	3778.000000	583.651453	3518.000000	583.651453	3588.000000	583.651453	3529.000000	583.651453	3393.000000	583.651453	5712.000000	583.651453	4622.000000	583.651453	4077.000000	583.651453	3898.000000	583.651453	3648.000000	583.651453	3533.000000	583.651453	3394.000000	583.651453	3370.000000	583.651453	7459.000000	583.651453	5181.000000	583.651453	4475.000000	583.651453	4094.000000	583.651453	3861.000000	583.651453	3746.000000
584.370336	9475.000000	584.370336	4929.000000	584.370336	4432.000000	584.370336	4121.000000	584.370336	3941.000000	584.370336	3881.000000	584.370336	3752.000000	584.370336	3565.000000	584.370336	3537.000000	584.370336	3486.000000	584.370336	3413.000000	584.370336	5587.000000	584.370336	4437.000000	584.370336	4041.000000	584.370336	3864.000000	584.370336	3709.000000	584.370336	3538.000000	584.370336	3476.000000	584.370336	3384.000000	584.370336	7470.000000	584.370336	5148.000000	584.370336	4532.000000	584.370336	4010.000000	584.370336	3846.000000	584.370336	3684.000000
585.089156	9491.000000	585.089156	4784.000000	585.089156	4493.000000	585.089156	4189.000000	585.089156	4024.000000	585.089156	3838.000000	585.089156	3731.000000	585.089156	3626.000000	585.089156	3560.000000	585.089156	3410.000000	585.089156	3379.000000	585.089156	5755.000000	585.089156	4551.000000	585.089156	4097.000000	585.089156	3803.000000	585.089156	3721.000000	585.089156	3579.000000	585.089156	3482.000000	585.089156	3272.000000	585.089156	7540.000000	585.089156	5071.000000	585.089156	4386.000000	585.089156	4016.000000	585.089156	3763.000000	585.089156	3603.000000
585.807912	9364.000000	585.807912	4792.000000	585.807912	4592.000000	585.807912	4172.000000	585.807912	3926.000000	585.807912	3873.000000	585.807912	3651.000000	585.807912	3639.000000	585.807912	3590.000000	585.807912	3491.000000	585.807912	3441.000000	585.807912	5567.000000	585.807912	4538.000000	585.807912	4099.000000	585.807912	3892.000000	585.807912	3664.000000	585.807912	3580.000000	585.807912	3538.000000	585.807912	3406.000000	585.807912	7396.000000	585.807912	5141.000000	585.807912	4441.000000	585.807912	4134.000000	585.807912	3796.000000	585.807912	3675.000000
586.526605	9514.000000	586.526605	4722.000000	586.526605	4469.000000	586.526605	4164.000000	586.526605	3940.000000	586.526605	3800.000000	586.526605	3654.000000	586.526605	3621.000000	586.526605	3480.000000	586.526605	3505.000000	586.526605	3447.000000	586.526605	5498.000000	586.526605	4605.000000	586.526605	4075.000000	586.526605	3798.000000	586.526605	3570.000000	586.526605	3549.000000	586.526605	3387.000000	586.526605	3355.000000	586.526605	7440.000000	586.526605	5188.000000	586.526605	4435.000000	586.526605	4084.000000	586.526605	3790.000000	586.526605	3599.000000
