X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y
559.892568	2986.000000	559.892568	2867.000000	559.892568	2837.000000	559.892568	2798.000000	559.892568	2718.000000	559.892568	2769.000000	559.892568	2810.000000	559.892568	2769.000000	559.892568	3394.000000	559.892568	3330.000000	559.892568	3322.000000	559.892568	3261.000000	559.892568	2482.000000	559.892568	2422.000000	559.892568	2397.000000	559.892568	2407.000000	559.892568	2812.000000	559.892568	2788.000000	559.892568	2762.000000	559.892568	2732.000000
560.613554	2868.000000	560.613554	2894.000000	560.613554	2809.000000	560.613554	2754.000000	560.613554	2812.000000	560.613554	2762.000000	560.613554	2733.000000	560.613554	2695.000000	560.613554	3410.000000	560.613554	3313.000000	560.613554	3294.000000	560.613554	3341.000000	560.613554	2421.000000	560.613554	2388.000000	560.613554	2359.000000	560.613554	2484.000000	560.613554	2828.000000	560.613554	2792.000000	560.613554	2714.000000	560.613554	2695.000000
561.334477	2859.000000	561.334477	2813.000000	561.334477	2748.000000	561.334477	2728.000000	561.334477	2706.000000	561.334477	2760.000000	561.334477	2701.000000	561.334477	2647.000000	561.334477	3394.000000	561.334477	3301.000000	561.334477	3212.000000	561.334477	3207.000000	561.334477	2357.000000	561.334477	2380.000000	561.334477	2388.000000	561.334477	2372.000000	561.334477	2701.000000	561.334477	2714.000000	561.334477	2646.000000	561.334477	2660.000000
562.055336	2796.000000	562.055336	2745.000000	562.055336	2734.000000	562.055336	2679.000000	562.055336	2658.000000	562.055336	2708.000000	562.055336	2705.000000	562.055336	2697.000000	562.055336	3327.000000	562.055336	3219.000000	562.055336	3349.000000	562.055336	3201.000000	562.055336	2375.000000	562.055336	2310.000000	562.055336	2350.000000	562.055336	2254.000000	562.055336	2749.000000	562.055336	2782.000000	562.055336	2737.000000	562.055336	2644.000000
562.776130	2778.000000	562.776130	2788.000000	562.776130	2709.000000	562.776130	2644.000000	562.776130	2720.000000	562.776130	2640.000000	562.776130	2657.000000	562.776130	2691.000000	562.776130	3293.000000	562.776130	3186.000000	562.776130	3162.000000	562.776130	3177.000000	562.776130	2295.000000	562.776130	2340.000000	562.776130	2325.000000	562.776130	2323.000000	562.776130	2697.000000	562.776130	2669.000000	562.776130	2652.000000	562.776130	2699.000000
563.496862	2806.000000	563.496862	2800.000000	563.496862	2654.000000	563.496862	2675.000000	563.496862	2612.000000	563.496862	2660.000000	563.496862	2667.000000	563.496862	2639.000000	563.496862	3350.000000	563.496862	3209.000000	563.496862	3240.000000	563.496862	3110.000000	563.496862	2245.000000	563.496862	2271.000000	563.496862	2292.000000	563.496862	2252.000000	563.496862	2632.000000	563.496862	2657.000000	563.496862	2626.000000	563.496862	2672.000000
564.217529	2720.000000	564.217529	2691.000000	564.217529	2587.000000	564.217529	2665.000000	564.217529	2671.000000	564.217529	2602.000000	564.217529	2610.000000	564.217529	2643.000000	564.217529	3215.000000	564.217529	3253.000000	564.217529	3116.000000	564.217529	3132.000000	564.217529	2313.000000	564.217529	2304.000000	564.217529	2276.000000	564.217529	2249.000000	564.217529	2642.000000	564.217529	2612.000000	564.217529	2560.000000	564.217529	2578.000000
564.938132	2784.000000	564.938132	2696.000000	564.938132	2677.000000	564.938132	2685.000000	564.938132	2693.000000	564.938132	2600.000000	564.938132	2542.000000	564.938132	2645.000000	564.938132	3267.000000	564.938132	3176.000000	564.938132	3106.000000	564.938132	3084.000000	564.938132	2264.000000	564.938132	2214.000000	564.938132	2222.000000	564.938132	2274.000000	564.938132	2566.000000	564.938132	2588.000000	564.938132	2607.000000	564.938132	2553.000000
565.658672	2696.000000	565.658672	2583.000000	565.658672	2603.000000	565.658672	2581.000000	565.658672	2598.000000	565.658672	2597.000000	565.658672	2542.000000	565.658672	2599.000000	565.658672	3275.000000	565.658672	3137.000000	565.658672	3074.000000	565.658672	3091.000000	565.658672	2207.000000	565.658672	2223.000000	565.658672	2228.000000	565.658672	2226.000000	565.658672	2614.000000	565.658672	2556.000000	565.658672	2508.000000	565.658672	2551.000000
566.379148	2666.000000	566.379148	2667.000000	566.379148	2607.000000	566.379148	2557.000000	566.379148	2587.000000	566.379148	2591.000000	566.379148	2562.000000	566.379148	2526.000000	566.379148	3198.000000	566.379148	3189.000000	566.379148	3098.000000	566.379148	3041.000000	566.379148	2211.000000	566.379148	2207.000000	566.379148	2217.000000	566.379148	2211.000000	566.379148	2547.000000	566.379148	2554.000000	566.379148	2532.000000	566.379148	2531.000000
