X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y
559.892568	4396.000000	559.892568	4476.000000	559.892568	4436.000000	559.892568	4541.000000	559.892568	6055.000000	559.892568	5578.000000	559.892568	5461.000000	559.892568	5182.000000	559.892568	5039.000000	559.892568	5060.000000	559.892568	5290.000000	559.892568	5012.000000	559.892568	9399.000000	559.892568	7592.000000	559.892568	7128.000000	559.892568	6828.000000	559.892568	6560.000000	559.892568	6486.000000	559.892568	5931.000000	559.892568	5429.000000	559.892568	5341.000000	559.892568	8385.000000	559.892568	6861.000000	559.892568	6450.000000	559.892568	9639.000000	559.892568	7594.000000	559.892568	6966.000000	559.892568	6665.000000
560.613554	4274.000000	560.613554	4370.000000	560.613554	4463.000000	560.613554	4467.000000	560.613554	6086.000000	560.613554	5663.000000	560.613554	5398.000000	560.613554	5200.000000	560.613554	4918.000000	560.613554	4905.000000	560.613554	5295.000000	560.613554	4992.000000	560.613554	9341.000000	560.613554	7545.000000	560.613554	7060.000000	560.613554	6674.000000	560.613554	6551.000000	560.613554	6240.000000	560.613554	5852.000000	560.613554	5515.000000	560.613554	5216.000000	560.613554	8472.000000	560.613554	6881.000000	560.613554	6266.000000	560.613554	9645.000000	560.613554	7694.000000	560.613554	6793.000000	560.613554	6380.000000
561.334477	4284.000000	561.334477	4327.000000	561.334477	4465.000000	561.334477	4363.000000	561.334477	5991.000000	561.334477	5588.000000	561.334477	5300.000000	561.334477	5026.000000	561.334477	4958.000000	561.334477	4892.000000	561.334477	5268.000000	561.334477	4862.000000	561.334477	9261.000000	561.334477	7536.000000	561.334477	6971.000000	561.334477	6601.000000	561.334477	6447.000000	561.334477	6223.000000	561.334477	5803.000000	561.334477	5351.000000	561.334477	5175.000000	561.334477	8303.000000	561.334477	6824.000000	561.334477	6253.000000	561.334477	9584.000000	561.334477	7416.000000	561.334477	6787.000000	561.334477	6338.000000
562.055336	4208.000000	562.055336	4255.000000	562.055336	4281.000000	562.055336	4237.000000	562.055336	5963.000000	562.055336	5510.000000	562.055336	5243.000000	562.055336	4961.000000	562.055336	4849.000000	562.055336	4853.000000	562.055336	5217.000000	562.055336	4868.000000	562.055336	9024.000000	562.055336	7611.000000	562.055336	6965.000000	562.055336	6518.000000	562.055336	6357.000000	562.055336	6246.000000	562.055336	5715.000000	562.055336	5310.000000	562.055336	5224.000000	562.055336	8328.000000	562.055336	6687.000000	562.055336	6088.000000	562.055336	9325.000000	562.055336	7275.000000	562.055336	6745.000000	562.055336	6368.000000
562.776130	4033.000000	562.776130	4241.000000	562.776130	4214.000000	562.776130	4308.000000	562.776130	5911.000000	562.776130	5453.000000	562.776130	5196.000000	562.776130	4934.000000	562.776130	4813.000000	562.776130	4765.000000	562.776130	5072.000000	562.776130	4738.000000	562.776130	8980.000000	562.776130	7492.000000	562.776130	6900.000000	562.776130	6498.000000	562.776130	6288.000000	562.776130	6097.000000	562.776130	5695.000000	562.776130	5254.000000	562.776130	5106.000000	562.776130	8241.000000	562.776130	6665.000000	562.776130	6039.000000	562.776130	9358.000000	562.776130	7284.000000	562.776130	6640.000000	562.776130	6241.000000
563.496862	4118.000000	563.496862	4167.000000	563.496862	4180.000000	563.496862	4234.000000	563.496862	5877.000000	563.496862	5425.000000	563.496862	5248.000000	563.496862	4969.000000	563.496862	4755.000000	563.496862	4816.000000	563.496862	5000.000000	563.496862	4683.000000	563.496862	9059.000000	563.496862	7420.000000	563.496862	6854.000000	563.496862	6462.000000	563.496862	6279.000000	563.496862	6052.000000	563.496862	5582.000000	563.496862	5139.000000	563.496862	4973.000000	563.496862	8308.000000	563.496862	6585.000000	563.496862	6182.000000	563.496862	9383.000000	563.496862	7273.000000	563.496862	6582.000000	563.496862	6189.000000
564.217529	4071.000000	564.217529	4222.000000	564.217529	4165.000000	564.217529	4170.000000	564.217529	5864.000000	564.217529	5361.000000	564.217529	5128.000000	564.217529	4809.000000	564.217529	4788.000000	564.217529	4727.000000	564.217529	5021.000000	564.217529	4645.000000	564.217529	9033.000000	564.217529	7270.000000	564.217529	6872.000000	564.217529	6358.000000	564.217529	6141.000000	564.217529	5964.000000	564.217529	5517.000000	564.217529	5058.000000	564.217529	4993.000000	564.217529	8081.000000	564.217529	6419.000000	564.217529	6040.000000	564.217529	9288.000000	564.217529	7159.000000	564.217529	6533.000000	564.217529	6057.000000
564.938132	4055.000000	564.938132	4058.000000	564.938132	4054.000000	564.938132	4085.000000	564.938132	5794.000000	564.938132	5286.000000	564.938132	5077.000000	564.938132	4793.000000	564.938132	4816.000000	564.938132	4668.000000	564.938132	4829.000000	564.938132	4568.000000	564.938132	9002.000000	564.938132	7202.000000	564.938132	6784.000000	564.938132	6345.000000	564.938132	6146.000000	564.938132	5855.000000	564.938132	5485.000000	564.938132	5026.000000	564.938132	4893.000000	564.938132	7970.000000	564.938132	6534.000000	564.938132	5915.000000	564.938132	9208.000000	564.938132	7157.000000	564.938132	6461.000000	564.938132	6026.000000
565.658672	4001.000000	565.658672	4101.000000	565.658672	4043.000000	565.658672	4135.000000	565.658672	5814.000000	565.658672	5178.000000	565.658672	5079.000000	565.658672	4753.000000	565.658672	4619.000000	565.658672	4755.000000	565.658672	4890.000000	565.658672	4563.000000	565.658672	8896.000000	565.658672	7272.000000	565.658672	6588.000000	565.658672	6371.000000	565.658672	5985.000000	565.658672	5903.000000	565.658672	5418.000000	565.658672	4980.000000	565.658672	4843.000000	565.658672	8049.000000	565.658672	6351.000000	565.658672	5854.000000	565.658672	9340.000000	565.658672	7047.000000	565.658672	6466.000000	565.658672	6004.000000
566.379148	4040.000000	566.379148	4076.000000	566.379148	4046.000000	566.379148	4085.000000	566.379148	5885.000000	566.379148	5300.000000	566.379148	4988.000000	566.379148	4728.000000	566.379148	4647.000000	566.379148	4621.000000	566.379148	4780.000000	566.379148	4479.000000	566.379148	8970.000000	566.379148	7271.000000	566.379148	6622.000000	566.379148	6201.000000	566.379148	5937.000000	566.379148	5815.000000	566.379148	5411.000000	566.379148	4940.000000	566.379148	4817.000000	566.379148	7975.000000	566.379148	6344.000000	566.379148	5800.000000	566.379148	9162.000000	566.379148	7087.000000	566.379148	6464.000000	566.379148	6084.000000
567.099560	3915.000000	567.099560	3934.000000	567.099560	4007.000000	567.099560	3949.000000	567.099560	5790.000000	567.099560	5117.000000	567.099560	4892.000000	567.099560	4730.000000	567.099560	4556.000000	567.099560	4570.000000	567.099560	4784.000000	567.099560	4541.000000	567.099560	8757.000000	567.099560	7064.000000	567.099560	6561.000000	567.099560	6246.000000	567.099560	5954.000000	567.099560	5682.000000	567.099560	5244.000000	567.099560	4886.000000	567.099560	4698.000000	567.099560	7937.000000	567.099560	6251.000000	567.099560	5768.000000	567.099560	9118.000000	567.099560	7042.000000	567.099560	6371.000000	567.099560	5869.000000
567.819908	3880.000000	567.819908	4004.000000	567.819908	3903.000000	567.819908	4038.000000	567.819908	5751.000000	567.819908	5202.000000	567.819908	5044.000000	567.819908	4671.000000	567.819908	4562.000000	567.819908	4534.000000	567.819908	4679.000000	567.819908	4451.000000	567.819908	8710.000000	567.819908	7067.000000	567.819908	6401.000000	567.819908	6140.000000	567.819908	5925.000000	567.819908	5752.000000	567.819908	5342.000000	567.819908	4703.000000	567.819908	4644.000000	567.819908	7909.000000	567.819908	6264.000000	567.819908	5704.000000	567.819908	9028.000000	567.819908	6881.000000	567.819908	6309.000000	567.819908	5839.000000
568.540193	3831.000000	568.540193	3900.000000	568.540193	3840.000000	568.540193	3914.000000	568.540193	5618.000000	568.540193	5165.000000	568.540193	4813.000000	568.540193	4606.000000	568.540193	4533.000000	568.540193	4434.000000	568.540193	4797.000000	568.540193	4430.000000	568.540193	8707.000000	568.540193	7058.000000	568.540193	6419.000000	568.540193	6117.000000	568.540193	5950.000000	568.540193	5700.000000	568.540193	5304.000000	568.540193	4712.000000	568.540193	4716.000000	568.540193	7791.000000	568.540193	6273.000000	568.540193	5640.000000	568.540193	9195.000000	568.540193	7013.000000	568.540193	6261.000000	568.540193	5805.000000
569.260414	3797.000000	569.260414	3877.000000	569.260414	3965.000000	569.260414	3848.000000	569.260414	5681.000000	569.260414	5186.000000	569.260414	4843.000000	569.260414	4543.000000	569.260414	4619.000000	569.260414	4487.000000	569.260414	4734.000000	569.260414	4307.000000	569.260414	8620.000000	569.260414	7010.000000	569.260414	6447.000000	569.260414	6053.000000	569.260414	5818.000000	569.260414	5611.000000	569.260414	5325.000000	569.260414	4757.000000	569.260414	4567.000000	569.260414	7935.000000	569.260414	6189.000000	569.260414	5639.000000	569.260414	9007.000000	569.260414	6755.000000	569.260414	6166.000000	569.260414	5781.000000
569.980571	3816.000000	569.980571	3832.000000	569.980571	3845.000000	569.980571	3803.000000	569.980571	5536.000000	569.980571	5163.000000	569.980571	4811.000000	569.980571	4566.000000	569.980571	4567.000000	569.980571	4465.000000	569.980571	4742.000000	569.980571	4308.000000	569.980571	8575.000000	569.980571	6977.000000	569.980571	6398.000000	569.980571	6098.000000	569.980571	5877.000000	569.980571	5684.000000	569.980571	5090.000000	569.980571	4714.000000	569.980571	4498.000000	569.980571	7694.000000	569.980571	6146.000000	569.980571	5670.000000	569.980571	8921.000000	569.980571	6795.000000	569.980571	6183.000000	569.980571	5788.000000
570.700664	3708.000000	570.700664	3891.000000	570.700664	3845.000000	570.700664	3815.000000	570.700664	5641.000000	570.700664	4930.000000	570.700664	4798.000000	570.700664	4550.000000	570.700664	4480.000000	570.700664	4396.000000	570.700664	4623.000000	570.700664	4334.000000	570.700664	8536.000000	570.700664	6953.000000	570.700664	6344.000000	570.700664	6053.000000	570.700664	5868.000000	570.700664	5675.000000	570.700664	5106.000000	570.700664	4640.000000	570.700664	4505.000000	570.700664	7754.000000	570.700664	6007.000000	570.700664	5619.000000	570.700664	9018.000000	570.700664	6766.000000	570.700664	6178.000000	570.700664	5730.000000
