X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y
559.892568	11180.000000	559.892568	8737.000000	559.892568	7645.000000	559.892568	6941.000000	559.892568	6527.000000	559.892568	6206.000000	559.892568	5962.000000	559.892568	5868.000000	559.892568	16981.000000	559.892568	11844.000000	559.892568	9601.000000	559.892568	8121.000000	559.892568	7515.000000	559.892568	6866.000000	559.892568	10977.000000	559.892568	7746.000000	559.892568	6255.000000	559.892568	5704.000000	559.892568	5430.000000	559.892568	5215.000000	559.892568	5047.000000	559.892568	4911.000000	559.892568	4955.000000
560.613554	11048.000000	560.613554	8560.000000	560.613554	7678.000000	560.613554	7097.000000	560.613554	6619.000000	560.613554	6130.000000	560.613554	5987.000000	560.613554	5651.000000	560.613554	16675.000000	560.613554	11826.000000	560.613554	9426.000000	560.613554	8089.000000	560.613554	7333.000000	560.613554	6833.000000	560.613554	10900.000000	560.613554	7684.000000	560.613554	6312.000000	560.613554	5657.000000	560.613554	5326.000000	560.613554	5183.000000	560.613554	5023.000000	560.613554	4814.000000	560.613554	4767.000000
561.334477	10942.000000	561.334477	8721.000000	561.334477	7413.000000	561.334477	6972.000000	561.334477	6561.000000	561.334477	6148.000000	561.334477	5990.000000	561.334477	5664.000000	561.334477	16640.000000	561.334477	11755.000000	561.334477	9521.000000	561.334477	8040.000000	561.334477	7444.000000	561.334477	6782.000000	561.334477	10946.000000	561.334477	7528.000000	561.334477	6049.000000	561.334477	5644.000000	561.334477	5281.000000	561.334477	5092.000000	561.334477	4986.000000	561.334477	4825.000000	561.334477	4652.000000
562.055336	10790.000000	562.055336	8502.000000	562.055336	7452.000000	562.055336	6757.000000	562.055336	6519.000000	562.055336	6075.000000	562.055336	5837.000000	562.055336	5590.000000	562.055336	16744.000000	562.055336	11792.000000	562.055336	9394.000000	562.055336	8058.000000	562.055336	7408.000000	562.055336	6713.000000	562.055336	10849.000000	562.055336	7647.000000	562.055336	6107.000000	562.055336	5631.000000	562.055336	5147.000000	562.055336	5014.000000	562.055336	4947.000000	562.055336	4733.000000	562.055336	4683.000000
562.776130	10781.000000	562.776130	8530.000000	562.776130	7464.000000	562.776130	6783.000000	562.776130	6324.000000	562.776130	5912.000000	562.776130	5745.000000	562.776130	5446.000000	562.776130	16618.000000	562.776130	11646.000000	562.776130	9306.000000	562.776130	7885.000000	562.776130	7198.000000	562.776130	6639.000000	562.776130	10704.000000	562.776130	7576.000000	562.776130	6086.000000	562.776130	5516.000000	562.776130	5326.000000	562.776130	5033.000000	562.776130	4911.000000	562.776130	4722.000000	562.776130	4593.000000
563.496862	10808.000000	563.496862	8540.000000	563.496862	7408.000000	563.496862	6740.000000	563.496862	6284.000000	563.496862	5960.000000	563.496862	5704.000000	563.496862	5539.000000	563.496862	16685.000000	563.496862	11534.000000	563.496862	9245.000000	563.496862	7878.000000	563.496862	7252.000000	563.496862	6536.000000	563.496862	10761.000000	563.496862	7585.000000	563.496862	5951.000000	563.496862	5564.000000	563.496862	5135.000000	563.496862	5022.000000	563.496862	4904.000000	563.496862	4656.000000	563.496862	4639.000000
564.217529	10805.000000	564.217529	8343.000000	564.217529	7343.000000	564.217529	6828.000000	564.217529	6384.000000	564.217529	5817.000000	564.217529	5688.000000	564.217529	5380.000000	564.217529	16519.000000	564.217529	11559.000000	564.217529	9174.000000	564.217529	7822.000000	564.217529	7146.000000	564.217529	6598.000000	564.217529	10696.000000	564.217529	7544.000000	564.217529	5955.000000	564.217529	5470.000000	564.217529	5146.000000	564.217529	4941.000000	564.217529	4854.000000	564.217529	4589.000000	564.217529	4564.000000
564.938132	10678.000000	564.938132	8617.000000	564.938132	7396.000000	564.938132	6686.000000	564.938132	6130.000000	564.938132	5910.000000	564.938132	5678.000000	564.938132	5514.000000	564.938132	16497.000000	564.938132	11537.000000	564.938132	9227.000000	564.938132	8015.000000	564.938132	7055.000000	564.938132	6548.000000	564.938132	10651.000000	564.938132	7527.000000	564.938132	5905.000000	564.938132	5475.000000	564.938132	5091.000000	564.938132	4980.000000	564.938132	4852.000000	564.938132	4592.000000	564.938132	4617.000000
565.658672	10673.000000	565.658672	8289.000000	565.658672	7318.000000	565.658672	6685.000000	565.658672	6109.000000	565.658672	5832.000000	565.658672	5541.000000	565.658672	5408.000000	565.658672	16447.000000	565.658672	11402.000000	565.658672	9329.000000	565.658672	7801.000000	565.658672	6981.000000	565.658672	6543.000000	565.658672	10631.000000	565.658672	7434.000000	565.658672	5812.000000	565.658672	5378.000000	565.658672	5115.000000	565.658672	4968.000000	565.658672	4659.000000	565.658672	4583.000000	565.658672	4501.000000
566.379148	10725.000000	566.379148	8265.000000	566.379148	7319.000000	566.379148	6584.000000	566.379148	6119.000000	566.379148	5695.000000	566.379148	5472.000000	566.379148	5317.000000	566.379148	16579.000000	566.379148	11238.000000	566.379148	9139.000000	566.379148	7704.000000	566.379148	7054.000000	566.379148	6586.000000	566.379148	10567.000000	566.379148	7390.000000	566.379148	5733.000000	566.379148	5419.000000	566.379148	4984.000000	566.379148	4931.000000	566.379148	4727.000000	566.379148	4530.000000	566.379148	4440.000000
567.099560	10617.000000	567.099560	8346.000000	567.099560	7220.000000	567.099560	6569.000000	567.099560	6043.000000	567.099560	5637.000000	567.099560	5369.000000	567.099560	5355.000000	567.099560	16396.000000	567.099560	11399.000000	567.099560	9072.000000	567.099560	7789.000000	567.099560	6987.000000	567.099560	6516.000000	567.099560	10559.000000	567.099560	7360.000000	567.099560	5835.000000	567.099560	5382.000000	567.099560	4951.000000	567.099560	4802.000000	567.099560	4819.000000	567.099560	4578.000000	567.099560	4466.000000
567.819908	10591.000000	567.819908	8167.000000	567.819908	7140.000000	567.819908	6508.000000	567.819908	6134.000000	567.819908	5673.000000	567.819908	5403.000000	567.819908	5296.000000	567.819908	16577.000000	567.819908	11534.000000	567.819908	9230.000000	567.819908	7668.000000	567.819908	7040.000000	567.819908	6476.000000	567.819908	10791.000000	567.819908	7475.000000	567.819908	5762.000000	567.819908	5324.000000	567.819908	4957.000000	567.819908	4796.000000	567.819908	4689.000000	567.819908	4589.000000	567.819908	4409.000000
568.540193	10529.000000	568.540193	8124.000000	568.540193	7058.000000	568.540193	6493.000000	568.540193	6110.000000	568.540193	5624.000000	568.540193	5337.000000	568.540193	5256.000000	568.540193	16289.000000	568.540193	11170.000000	568.540193	9048.000000	568.540193	7539.000000	568.540193	6981.000000	568.540193	6404.000000	568.540193	10678.000000	568.540193	7299.000000	568.540193	5828.000000	568.540193	5295.000000	568.540193	4962.000000	568.540193	4864.000000	568.540193	4599.000000	568.540193	4396.000000	568.540193	4347.000000
569.260414	10553.000000	569.260414	8056.000000	569.260414	7150.000000	569.260414	6515.000000	569.260414	5959.000000	569.260414	5633.000000	569.260414	5303.000000	569.260414	5175.000000	569.260414	16184.000000	569.260414	11373.000000	569.260414	8897.000000	569.260414	7668.000000	569.260414	6854.000000	569.260414	6390.000000	569.260414	10489.000000	569.260414	7305.000000	569.260414	5814.000000	569.260414	5239.000000	569.260414	4941.000000	569.260414	4764.000000	569.260414	4516.000000	569.260414	4456.000000	569.260414	4253.000000
569.980571	10530.000000	569.980571	8236.000000	569.980571	7059.000000	569.980571	6438.000000	569.980571	5959.000000	569.980571	5592.000000	569.980571	5295.000000	569.980571	5094.000000	569.980571	16367.000000	569.980571	11199.000000	569.980571	9000.000000	569.980571	7670.000000	569.980571	6924.000000	569.980571	6323.000000	569.980571	10473.000000	569.980571	7175.000000	569.980571	5700.000000	569.980571	5088.000000	569.980571	4868.000000	569.980571	4687.000000	569.980571	4545.000000	569.980571	4369.000000	569.980571	4236.000000
570.700664	10287.000000	570.700664	8130.000000	570.700664	6872.000000	570.700664	6349.000000	570.700664	5800.000000	570.700664	5504.000000	570.700664	5198.000000	570.700664	5125.000000	570.700664	16403.000000	570.700664	11201.000000	570.700664	9088.000000	570.700664	7461.000000	570.700664	6780.000000	570.700664	6372.000000	570.700664	10463.000000	570.700664	7273.000000	570.700664	5742.000000	570.700664	5237.000000	570.700664	4981.000000	570.700664	4686.000000	570.700664	4572.000000	570.700664	4382.000000	570.700664	4225.000000
