X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y
559.892568	6803.000000	559.892568	6269.000000	559.892568	6065.000000	559.892568	5812.000000	559.892568	5678.000000	559.892568	5649.000000	559.892568	9572.000000	559.892568	7387.000000	559.892568	6618.000000	559.892568	6138.000000	559.892568	5859.000000	559.892568	5910.000000	559.892568	4788.000000	559.892568	8223.000000	559.892568	6488.000000	559.892568	4779.000000	559.892568	4410.000000	559.892568	4163.000000	559.892568	7515.000000	559.892568	6039.000000	559.892568	5556.000000	559.892568	5364.000000
560.613554	6749.000000	560.613554	6269.000000	560.613554	5932.000000	560.613554	5758.000000	560.613554	5725.000000	560.613554	5644.000000	560.613554	9615.000000	560.613554	7427.000000	560.613554	6568.000000	560.613554	6210.000000	560.613554	5878.000000	560.613554	5981.000000	560.613554	4753.000000	560.613554	8269.000000	560.613554	6513.000000	560.613554	4837.000000	560.613554	4325.000000	560.613554	4129.000000	560.613554	7385.000000	560.613554	5964.000000	560.613554	5379.000000	560.613554	5266.000000
561.334477	6664.000000	561.334477	6190.000000	561.334477	5896.000000	561.334477	5775.000000	561.334477	5559.000000	561.334477	5550.000000	561.334477	9718.000000	561.334477	7342.000000	561.334477	6498.000000	561.334477	6095.000000	561.334477	5828.000000	561.334477	5885.000000	561.334477	4660.000000	561.334477	8236.000000	561.334477	6396.000000	561.334477	4723.000000	561.334477	4291.000000	561.334477	4090.000000	561.334477	7386.000000	561.334477	5985.000000	561.334477	5352.000000	561.334477	5214.000000
562.055336	6615.000000	562.055336	6061.000000	562.055336	5901.000000	562.055336	5796.000000	562.055336	5715.000000	562.055336	5481.000000	562.055336	9505.000000	562.055336	7157.000000	562.055336	6504.000000	562.055336	5987.000000	562.055336	5779.000000	562.055336	5868.000000	562.055336	4680.000000	562.055336	8150.000000	562.055336	6297.000000	562.055336	4735.000000	562.055336	4116.000000	562.055336	3991.000000	562.055336	7242.000000	562.055336	5698.000000	562.055336	5315.000000	562.055336	5157.000000
562.776130	6555.000000	562.776130	6036.000000	562.776130	5820.000000	562.776130	5644.000000	562.776130	5559.000000	562.776130	5483.000000	562.776130	9512.000000	562.776130	7289.000000	562.776130	6245.000000	562.776130	5971.000000	562.776130	5708.000000	562.776130	5856.000000	562.776130	4583.000000	562.776130	7990.000000	562.776130	6212.000000	562.776130	4690.000000	562.776130	4102.000000	562.776130	4023.000000	562.776130	7126.000000	562.776130	5781.000000	562.776130	5337.000000	562.776130	5040.000000
563.496862	6395.000000	563.496862	6071.000000	563.496862	5823.000000	563.496862	5528.000000	563.496862	5389.000000	563.496862	5299.000000	563.496862	9508.000000	563.496862	7259.000000	563.496862	6381.000000	563.496862	5975.000000	563.496862	5639.000000	563.496862	5749.000000	563.496862	4607.000000	563.496862	8052.000000	563.496862	6163.000000	563.496862	4540.000000	563.496862	4118.000000	563.496862	3929.000000	563.496862	7166.000000	563.496862	5763.000000	563.496862	5244.000000	563.496862	4980.000000
564.217529	6579.000000	564.217529	6086.000000	564.217529	5738.000000	564.217529	5579.000000	564.217529	5336.000000	564.217529	5362.000000	564.217529	9487.000000	564.217529	7059.000000	564.217529	6283.000000	564.217529	5890.000000	564.217529	5590.000000	564.217529	5701.000000	564.217529	4569.000000	564.217529	7970.000000	564.217529	6099.000000	564.217529	4633.000000	564.217529	4095.000000	564.217529	3861.000000	564.217529	7166.000000	564.217529	5615.000000	564.217529	5165.000000	564.217529	4962.000000
564.938132	6349.000000	564.938132	5992.000000	564.938132	5625.000000	564.938132	5627.000000	564.938132	5373.000000	564.938132	5366.000000	564.938132	9337.000000	564.938132	7117.000000	564.938132	6306.000000	564.938132	5882.000000	564.938132	5577.000000	564.938132	5799.000000	564.938132	4518.000000	564.938132	7881.000000	564.938132	6222.000000	564.938132	4522.000000	564.938132	3989.000000	564.938132	3843.000000	564.938132	6948.000000	564.938132	5656.000000	564.938132	5149.000000	564.938132	4822.000000
565.658672	6351.000000	565.658672	5946.000000	565.658672	5682.000000	565.658672	5515.000000	565.658672	5339.000000	565.658672	5231.000000	565.658672	9359.000000	565.658672	7137.000000	565.658672	6216.000000	565.658672	5743.000000	565.658672	5548.000000	565.658672	5677.000000	565.658672	4494.000000	565.658672	7832.000000	565.658672	6054.000000	565.658672	4419.000000	565.658672	3888.000000	565.658672	3770.000000	565.658672	7129.000000	565.658672	5554.000000	565.658672	5072.000000	565.658672	4852.000000
566.379148	6302.000000	566.379148	5913.000000	566.379148	5701.000000	566.379148	5540.000000	566.379148	5397.000000	566.379148	5219.000000	566.379148	9283.000000	566.379148	7012.000000	566.379148	6163.000000	566.379148	5646.000000	566.379148	5399.000000	566.379148	5690.000000	566.379148	4395.000000	566.379148	7818.000000	566.379148	6086.000000	566.379148	4415.000000	566.379148	3937.000000	566.379148	3817.000000	566.379148	6924.000000	566.379148	5458.000000	566.379148	5013.000000	566.379148	4864.000000
567.099560	6255.000000	567.099560	5824.000000	567.099560	5520.000000	567.099560	5381.000000	567.099560	5342.000000	567.099560	5126.000000	567.099560	9239.000000	567.099560	6917.000000	567.099560	6210.000000	567.099560	5911.000000	567.099560	5416.000000	567.099560	5588.000000	567.099560	4391.000000	567.099560	7851.000000	567.099560	6116.000000	567.099560	4381.000000	567.099560	3897.000000	567.099560	3762.000000	567.099560	6931.000000	567.099560	5408.000000	567.099560	4972.000000	567.099560	4743.000000
567.819908	6253.000000	567.819908	5802.000000	567.819908	5576.000000	567.819908	5358.000000	567.819908	5225.000000	567.819908	5164.000000	567.819908	9121.000000	567.819908	7036.000000	567.819908	6230.000000	567.819908	5640.000000	567.819908	5426.000000	567.819908	5720.000000	567.819908	4475.000000	567.819908	7792.000000	567.819908	5982.000000	567.819908	4372.000000	567.819908	3860.000000	567.819908	3655.000000	567.819908	6853.000000	567.819908	5389.000000	567.819908	4973.000000	567.819908	4720.000000
568.540193	6202.000000	568.540193	5796.000000	568.540193	5578.000000	568.540193	5299.000000	568.540193	5257.000000	568.540193	5149.000000	568.540193	9212.000000	568.540193	6901.000000	568.540193	5921.000000	568.540193	5653.000000	568.540193	5361.000000	568.540193	5631.000000	568.540193	4312.000000	568.540193	7805.000000	568.540193	5994.000000	568.540193	4410.000000	568.540193	3793.000000	568.540193	3628.000000	568.540193	6791.000000	568.540193	5344.000000	568.540193	4921.000000	568.540193	4590.000000
569.260414	6167.000000	569.260414	5803.000000	569.260414	5488.000000	569.260414	5337.000000	569.260414	5219.000000	569.260414	5080.000000	569.260414	9244.000000	569.260414	6968.000000	569.260414	6007.000000	569.260414	5739.000000	569.260414	5349.000000	569.260414	5667.000000	569.260414	4406.000000	569.260414	7693.000000	569.260414	5916.000000	569.260414	4308.000000	569.260414	3695.000000	569.260414	3660.000000	569.260414	6708.000000	569.260414	5283.000000	569.260414	4922.000000	569.260414	4653.000000
569.980571	6219.000000	569.980571	5648.000000	569.980571	5299.000000	569.980571	5245.000000	569.980571	5318.000000	569.980571	5032.000000	569.980571	9035.000000	569.980571	6835.000000	569.980571	6072.000000	569.980571	5488.000000	569.980571	5246.000000	569.980571	5523.000000	569.980571	4318.000000	569.980571	7804.000000	569.980571	5935.000000	569.980571	4291.000000	569.980571	3757.000000	569.980571	3538.000000	569.980571	6733.000000	569.980571	5354.000000	569.980571	4784.000000	569.980571	4457.000000
570.700664	6175.000000	570.700664	5737.000000	570.700664	5380.000000	570.700664	5188.000000	570.700664	5233.000000	570.700664	4976.000000	570.700664	9102.000000	570.700664	6804.000000	570.700664	5990.000000	570.700664	5523.000000	570.700664	5298.000000	570.700664	5491.000000	570.700664	4339.000000	570.700664	7727.000000	570.700664	5911.000000	570.700664	4189.000000	570.700664	3804.000000	570.700664	3490.000000	570.700664	6699.000000	570.700664	5346.000000	570.700664	4815.000000	570.700664	4538.000000
571.420694	6108.000000	571.420694	5634.000000	571.420694	5428.000000	571.420694	5107.000000	571.420694	5102.000000	571.420694	5057.000000	571.420694	9065.000000	571.420694	6771.000000	571.420694	6021.000000	571.420694	5486.000000	571.420694	5291.000000	571.420694	5482.000000	571.420694	4210.000000	571.420694	7857.000000	571.420694	5893.000000	571.420694	4234.000000	571.420694	3713.000000	571.420694	3507.000000	571.420694	6777.000000	571.420694	5295.000000	571.420694	4724.000000	571.420694	4555.000000
572.140660	6047.000000	572.140660	5488.000000	572.140660	5495.000000	572.140660	5206.000000	572.140660	5002.000000	572.140660	4984.000000	572.140660	9216.000000	572.140660	6690.000000	572.140660	5960.000000	572.140660	5524.000000	572.140660	5155.000000	572.140660	5361.000000	572.140660	4123.000000	572.140660	7763.000000	572.140660	5876.000000	572.140660	4202.000000	572.140660	3626.000000	572.140660	3482.000000	572.140660	6638.000000	572.140660	5243.000000	572.140660	4799.000000	572.140660	4511.000000
572.860562	6200.000000	572.860562	5589.000000	572.860562	5319.000000	572.860562	5258.000000	572.860562	5029.000000	572.860562	4939.000000	572.860562	8879.000000	572.860562	6666.000000	572.860562	5802.000000	572.860562	5495.000000	572.860562	5189.000000	572.860562	5414.000000	572.860562	4188.000000	572.860562	7650.000000	572.860562	5798.000000	572.860562	4124.000000	572.860562	3666.000000	572.860562	3481.000000	572.860562	6655.000000	572.860562	5189.000000	572.860562	4693.000000	572.860562	4480.000000
573.580401	6068.000000	573.580401	5610.000000	573.580401	5332.000000	573.580401	5131.000000	573.580401	5112.000000	573.580401	4832.000000	573.580401	9002.000000	573.580401	6727.000000	573.580401	5890.000000	573.580401	5386.000000	573.580401	5234.000000	573.580401	5376.000000	573.580401	4188.000000	573.580401	7622.000000	573.580401	5772.000000	573.580401	4134.000000	573.580401	3620.000000	573.580401	3552.000000	573.580401	6729.000000	573.580401	5074.000000	573.580401	4617.000000	573.580401	4413.000000
574.300176	5944.000000	574.300176	5527.000000	574.300176	5132.000000	574.300176	5119.000000	574.300176	5048.000000	574.300176	4826.000000	574.300176	8981.000000	574.300176	6635.000000	574.300176	5869.000000	574.300176	5355.000000	574.300176	5154.000000	574.300176	5220.000000	574.300176	4187.000000	574.300176	7611.000000	574.300176	5752.000000	574.300176	4161.000000	574.300176	3587.000000	574.300176	3478.000000	574.300176	6579.000000	574.300176	5045.000000	574.300176	4516.000000	574.300176	4336.000000
575.019887	5944.000000	575.019887	5420.000000	575.019887	5248.000000	575.019887	5064.000000	575.019887	4861.000000	575.019887	4871.000000	575.019887	9021.000000	575.019887	6624.000000	575.019887	5861.000000	575.019887	5492.000000	575.019887	5176.000000	575.019887	5362.000000	575.019887	4038.000000	575.019887	7666.000000	575.019887	5756.000000	575.019887	4133.000000	575.019887	3541.000000	575.019887	3477.000000	575.019887	6403.000000	575.019887	5036.000000	575.019887	4602.000000	575.019887	4373.000000
575.739534	5901.000000	575.739534	5500.000000	575.739534	5163.000000	575.739534	5053.000000	575.739534	4931.000000	575.739534	4914.000000	575.739534	8906.000000	575.739534	6546.000000	575.739534	5822.000000	575.739534	5357.000000	575.739534	5083.000000	575.739534	5203.000000	575.739534	4040.000000	575.739534	7519.000000	575.739534	5599.000000	575.739534	4082.000000	575.739534	3577.000000	575.739534	3376.000000	575.739534	6520.000000	575.739534	5122.000000	575.739534	4593.000000	575.739534	4354.000000
576.459118	5802.000000	576.459118	5555.000000	576.459118	5165.000000	576.459118	5036.000000	576.459118	4780.000000	576.459118	4799.000000	576.459118	8976.000000	576.459118	6609.000000	576.459118	5779.000000	576.459118	5404.000000	576.459118	5090.000000	576.459118	5289.000000	576.459118	4139.000000	576.459118	7550.000000	576.459118	5780.000000	576.459118	4100.000000	576.459118	3543.000000	576.459118	3378.000000	576.459118	6500.000000	576.459118	4878.000000	576.459118	4539.000000	576.459118	4328.000000
577.178638	5879.000000	577.178638	5405.000000	577.178638	5145.000000	577.178638	4992.000000	577.178638	4937.000000	577.178638	4826.000000	577.178638	8857.000000	577.178638	6589.000000	577.178638	5747.000000	577.178638	5367.000000	577.178638	5001.000000	577.178638	5312.000000	577.178638	4083.000000	577.178638	7512.000000	577.178638	5794.000000	577.178638	4074.000000	577.178638	3468.000000	577.178638	3403.000000	577.178638	6444.000000	577.178638	4910.000000	577.178638	4561.000000	577.178638	4232.000000
577.898094	5923.000000	577.898094	5492.000000	577.898094	5084.000000	577.898094	4912.000000	577.898094	4844.000000	577.898094	4799.000000	577.898094	8826.000000	577.898094	6606.000000	577.898094	5672.000000	577.898094	5281.000000	577.898094	4978.000000	577.898094	5192.000000	577.898094	4059.000000	577.898094	7454.000000	577.898094	5661.000000	577.898094	3963.000000	577.898094	3571.000000	577.898094	3303.000000	577.898094	6397.000000	577.898094	4941.000000	577.898094	4381.000000	577.898094	4232.000000
578.617487	5801.000000	578.617487	5394.000000	578.617487	5048.000000	578.617487	4939.000000	578.617487	4770.000000	578.617487	4808.000000	578.617487	8897.000000	578.617487	6506.000000	578.617487	5709.000000	578.617487	5185.000000	578.617487	4918.000000	578.617487	5202.000000	578.617487	4022.000000	578.617487	7370.000000	578.617487	5725.000000	578.617487	4010.000000	578.617487	3521.000000	578.617487	3307.000000	578.617487	6403.000000	578.617487	4786.000000	578.617487	4446.000000	578.617487	4124.000000
579.336816	5785.000000	579.336816	5426.000000	579.336816	5098.000000	579.336816	5025.000000	579.336816	4841.000000	579.336816	4668.000000	579.336816	8721.000000	579.336816	6459.000000	579.336816	5641.000000	579.336816	5376.000000	579.336816	4890.000000	579.336816	5153.000000	579.336816	4007.000000	579.336816	7477.000000	579.336816	5597.000000	579.336816	3985.000000	579.336816	3426.000000	579.336816	3246.000000	579.336816	6357.000000	579.336816	4839.000000	579.336816	4463.000000	579.336816	4221.000000
