X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y
559.892568	4422.000000	559.892568	4122.000000	559.892568	4013.000000	559.892568	6116.000000	559.892568	4880.000000	559.892568	4634.000000	559.892568	4370.000000	559.892568	4255.000000	559.892568	4126.000000	559.892568	4772.000000	559.892568	4232.000000	559.892568	4089.000000	559.892568	4090.000000	559.892568	4005.000000	559.892568	7496.000000	559.892568	5653.000000	559.892568	5076.000000	559.892568	4765.000000	559.892568	4546.000000	559.892568	4466.000000	559.892568	5679.000000	559.892568	4823.000000	559.892568	4460.000000	559.892568	4267.000000	559.892568	7639.000000	559.892568	5655.000000
560.613554	4392.000000	560.613554	4113.000000	560.613554	4043.000000	560.613554	6188.000000	560.613554	4885.000000	560.613554	4446.000000	560.613554	4333.000000	560.613554	4330.000000	560.613554	4215.000000	560.613554	4809.000000	560.613554	4171.000000	560.613554	4026.000000	560.613554	3970.000000	560.613554	3849.000000	560.613554	7488.000000	560.613554	5611.000000	560.613554	5020.000000	560.613554	4596.000000	560.613554	4404.000000	560.613554	4328.000000	560.613554	5708.000000	560.613554	4744.000000	560.613554	4385.000000	560.613554	4223.000000	560.613554	7502.000000	560.613554	5632.000000
561.334477	4250.000000	561.334477	4149.000000	561.334477	3854.000000	561.334477	6155.000000	561.334477	4862.000000	561.334477	4437.000000	561.334477	4289.000000	561.334477	4141.000000	561.334477	4038.000000	561.334477	4781.000000	561.334477	4187.000000	561.334477	4039.000000	561.334477	3940.000000	561.334477	3840.000000	561.334477	7359.000000	561.334477	5600.000000	561.334477	5019.000000	561.334477	4613.000000	561.334477	4479.000000	561.334477	4247.000000	561.334477	5527.000000	561.334477	4607.000000	561.334477	4443.000000	561.334477	4190.000000	561.334477	7443.000000	561.334477	5639.000000
562.055336	4340.000000	562.055336	4071.000000	562.055336	3938.000000	562.055336	6076.000000	562.055336	4805.000000	562.055336	4398.000000	562.055336	4309.000000	562.055336	4064.000000	562.055336	4016.000000	562.055336	4661.000000	562.055336	4153.000000	562.055336	3991.000000	562.055336	3911.000000	562.055336	3723.000000	562.055336	7477.000000	562.055336	5620.000000	562.055336	5027.000000	562.055336	4636.000000	562.055336	4466.000000	562.055336	4275.000000	562.055336	5392.000000	562.055336	4680.000000	562.055336	4323.000000	562.055336	4079.000000	562.055336	7356.000000	562.055336	5618.000000
562.776130	4203.000000	562.776130	4023.000000	562.776130	3855.000000	562.776130	6058.000000	562.776130	4863.000000	562.776130	4397.000000	562.776130	4204.000000	562.776130	4122.000000	562.776130	4064.000000	562.776130	4629.000000	562.776130	3996.000000	562.776130	3989.000000	562.776130	3801.000000	562.776130	3737.000000	562.776130	7378.000000	562.776130	5594.000000	562.776130	4868.000000	562.776130	4618.000000	562.776130	4364.000000	562.776130	4223.000000	562.776130	5525.000000	562.776130	4574.000000	562.776130	4254.000000	562.776130	4186.000000	562.776130	7286.000000	562.776130	5700.000000
563.496862	4152.000000	563.496862	3948.000000	563.496862	3844.000000	563.496862	6127.000000	563.496862	4749.000000	563.496862	4382.000000	563.496862	4160.000000	563.496862	4089.000000	563.496862	3924.000000	563.496862	4576.000000	563.496862	4121.000000	563.496862	3901.000000	563.496862	3654.000000	563.496862	3714.000000	563.496862	7369.000000	563.496862	5504.000000	563.496862	4730.000000	563.496862	4507.000000	563.496862	4273.000000	563.496862	4181.000000	563.496862	5384.000000	563.496862	4502.000000	563.496862	4286.000000	563.496862	4045.000000	563.496862	7278.000000	563.496862	5436.000000
564.217529	4099.000000	564.217529	3891.000000	564.217529	3756.000000	564.217529	5900.000000	564.217529	4708.000000	564.217529	4339.000000	564.217529	4192.000000	564.217529	4050.000000	564.217529	3930.000000	564.217529	4497.000000	564.217529	3999.000000	564.217529	3840.000000	564.217529	3727.000000	564.217529	3709.000000	564.217529	7206.000000	564.217529	5533.000000	564.217529	4768.000000	564.217529	4443.000000	564.217529	4269.000000	564.217529	4212.000000	564.217529	5352.000000	564.217529	4522.000000	564.217529	4183.000000	564.217529	3959.000000	564.217529	7214.000000	564.217529	5338.000000
564.938132	4089.000000	564.938132	3895.000000	564.938132	3858.000000	564.938132	5901.000000	564.938132	4742.000000	564.938132	4221.000000	564.938132	4180.000000	564.938132	3993.000000	564.938132	3898.000000	564.938132	4593.000000	564.938132	3914.000000	564.938132	3800.000000	564.938132	3687.000000	564.938132	3649.000000	564.938132	7182.000000	564.938132	5312.000000	564.938132	4834.000000	564.938132	4433.000000	564.938132	4140.000000	564.938132	4065.000000	564.938132	5345.000000	564.938132	4367.000000	564.938132	4161.000000	564.938132	3922.000000	564.938132	7126.000000	564.938132	5498.000000
565.658672	4116.000000	565.658672	3851.000000	565.658672	3751.000000	565.658672	5806.000000	565.658672	4719.000000	565.658672	4204.000000	565.658672	4020.000000	565.658672	4011.000000	565.658672	3798.000000	565.658672	4445.000000	565.658672	3933.000000	565.658672	3823.000000	565.658672	3689.000000	565.658672	3619.000000	565.658672	7206.000000	565.658672	5322.000000	565.658672	4771.000000	565.658672	4569.000000	565.658672	4264.000000	565.658672	4163.000000	565.658672	5160.000000	565.658672	4430.000000	565.658672	4033.000000	565.658672	3902.000000	565.658672	7120.000000	565.658672	5383.000000
566.379148	4019.000000	566.379148	3820.000000	566.379148	3721.000000	566.379148	5843.000000	566.379148	4584.000000	566.379148	4309.000000	566.379148	4045.000000	566.379148	3880.000000	566.379148	3833.000000	566.379148	4419.000000	566.379148	3930.000000	566.379148	3753.000000	566.379148	3660.000000	566.379148	3639.000000	566.379148	7212.000000	566.379148	5332.000000	566.379148	4658.000000	566.379148	4434.000000	566.379148	4279.000000	566.379148	4143.000000	566.379148	5322.000000	566.379148	4365.000000	566.379148	4065.000000	566.379148	3977.000000	566.379148	7153.000000	566.379148	5356.000000
567.099560	3955.000000	567.099560	3788.000000	567.099560	3691.000000	567.099560	5747.000000	567.099560	4571.000000	567.099560	4096.000000	567.099560	4046.000000	567.099560	3830.000000	567.099560	3820.000000	567.099560	4404.000000	567.099560	3908.000000	567.099560	3788.000000	567.099560	3635.000000	567.099560	3582.000000	567.099560	7175.000000	567.099560	5275.000000	567.099560	4634.000000	567.099560	4326.000000	567.099560	4161.000000	567.099560	3999.000000	567.099560	5367.000000	567.099560	4353.000000	567.099560	4067.000000	567.099560	3849.000000	567.099560	7055.000000	567.099560	5233.000000
567.819908	3889.000000	567.819908	3706.000000	567.819908	3682.000000	567.819908	5829.000000	567.819908	4537.000000	567.819908	4211.000000	567.819908	3994.000000	567.819908	3807.000000	567.819908	3895.000000	567.819908	4401.000000	567.819908	3809.000000	567.819908	3593.000000	567.819908	3711.000000	567.819908	3573.000000	567.819908	7098.000000	567.819908	5243.000000	567.819908	4589.000000	567.819908	4423.000000	567.819908	4162.000000	567.819908	4012.000000	567.819908	5207.000000	567.819908	4339.000000	567.819908	4062.000000	567.819908	3878.000000	567.819908	7027.000000	567.819908	5340.000000
568.540193	3980.000000	568.540193	3774.000000	568.540193	3603.000000	568.540193	5734.000000	568.540193	4508.000000	568.540193	4185.000000	568.540193	3951.000000	568.540193	3797.000000	568.540193	3733.000000	568.540193	4351.000000	568.540193	3884.000000	568.540193	3593.000000	568.540193	3590.000000	568.540193	3476.000000	568.540193	7289.000000	568.540193	5259.000000	568.540193	4690.000000	568.540193	4314.000000	568.540193	4077.000000	568.540193	3980.000000	568.540193	5202.000000	568.540193	4305.000000	568.540193	4035.000000	568.540193	3828.000000	568.540193	6979.000000	568.540193	5325.000000
569.260414	3927.000000	569.260414	3745.000000	569.260414	3599.000000	569.260414	5748.000000	569.260414	4497.000000	569.260414	4075.000000	569.260414	3853.000000	569.260414	3740.000000	569.260414	3731.000000	569.260414	4400.000000	569.260414	3856.000000	569.260414	3655.000000	569.260414	3512.000000	569.260414	3474.000000	569.260414	7164.000000	569.260414	5267.000000	569.260414	4586.000000	569.260414	4238.000000	569.260414	4037.000000	569.260414	3971.000000	569.260414	5226.000000	569.260414	4271.000000	569.260414	3959.000000	569.260414	3893.000000	569.260414	7050.000000	569.260414	5167.000000
569.980571	3910.000000	569.980571	3665.000000	569.980571	3625.000000	569.980571	5661.000000	569.980571	4424.000000	569.980571	4078.000000	569.980571	3883.000000	569.980571	3804.000000	569.980571	3694.000000	569.980571	4297.000000	569.980571	3724.000000	569.980571	3514.000000	569.980571	3534.000000	569.980571	3413.000000	569.980571	7113.000000	569.980571	5259.000000	569.980571	4484.000000	569.980571	4245.000000	569.980571	4092.000000	569.980571	3916.000000	569.980571	5161.000000	569.980571	4269.000000	569.980571	3951.000000	569.980571	3709.000000	569.980571	6926.000000	569.980571	5203.000000
570.700664	3902.000000	570.700664	3567.000000	570.700664	3545.000000	570.700664	5649.000000	570.700664	4482.000000	570.700664	3999.000000	570.700664	3863.000000	570.700664	3783.000000	570.700664	3654.000000	570.700664	4317.000000	570.700664	3810.000000	570.700664	3620.000000	570.700664	3448.000000	570.700664	3421.000000	570.700664	6972.000000	570.700664	5137.000000	570.700664	4554.000000	570.700664	4374.000000	570.700664	4074.000000	570.700664	3957.000000	570.700664	5016.000000	570.700664	4322.000000	570.700664	3969.000000	570.700664	3830.000000	570.700664	6795.000000	570.700664	5154.000000
571.420694	3810.000000	571.420694	3657.000000	571.420694	3559.000000	571.420694	5734.000000	571.420694	4479.000000	571.420694	4018.000000	571.420694	3924.000000	571.420694	3785.000000	571.420694	3582.000000	571.420694	4302.000000	571.420694	3736.000000	571.420694	3570.000000	571.420694	3427.000000	571.420694	3351.000000	571.420694	7091.000000	571.420694	5183.000000	571.420694	4574.000000	571.420694	4249.000000	571.420694	3981.000000	571.420694	3883.000000	571.420694	5188.000000	571.420694	4180.000000	571.420694	3877.000000	571.420694	3755.000000	571.420694	6988.000000	571.420694	5191.000000
572.140660	3839.000000	572.140660	3529.000000	572.140660	3490.000000	572.140660	5647.000000	572.140660	4260.000000	572.140660	3940.000000	572.140660	3865.000000	572.140660	3652.000000	572.140660	3655.000000	572.140660	4231.000000	572.140660	3729.000000	572.140660	3469.000000	572.140660	3408.000000	572.140660	3429.000000	572.140660	7022.000000	572.140660	5204.000000	572.140660	4370.000000	572.140660	4264.000000	572.140660	3956.000000	572.140660	3846.000000	572.140660	5134.000000	572.140660	4279.000000	572.140660	3899.000000	572.140660	3743.000000	572.140660	6836.000000	572.140660	5035.000000
572.860562	3837.000000	572.860562	3549.000000	572.860562	3403.000000	572.860562	5544.000000	572.860562	4315.000000	572.860562	3984.000000	572.860562	3810.000000	572.860562	3683.000000	572.860562	3648.000000	572.860562	4227.000000	572.860562	3772.000000	572.860562	3565.000000	572.860562	3396.000000	572.860562	3300.000000	572.860562	6920.000000	572.860562	5052.000000	572.860562	4414.000000	572.860562	4188.000000	572.860562	3941.000000	572.860562	3826.000000	572.860562	5136.000000	572.860562	4198.000000	572.860562	3917.000000	572.860562	3817.000000	572.860562	6774.000000	572.860562	5082.000000
