X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y
559.892568	3710.000000	559.892568	8482.000000	559.892568	6175.000000	559.892568	5263.000000	559.892568	4854.000000	559.892568	4658.000000	559.892568	4354.000000	559.892568	4619.000000	559.892568	4266.000000	559.892568	4132.000000	559.892568	3987.000000	559.892568	3947.000000	559.892568	3893.000000	559.892568	6734.000000	559.892568	5480.000000	559.892568	4811.000000	559.892568	4496.000000	559.892568	4326.000000	559.892568	4114.000000	559.892568	6148.000000	559.892568	4732.000000	559.892568	4337.000000	559.892568	4134.000000	559.892568	4053.000000
560.613554	3665.000000	560.613554	8562.000000	560.613554	6016.000000	560.613554	5159.000000	560.613554	4859.000000	560.613554	4637.000000	560.613554	4407.000000	560.613554	4676.000000	560.613554	4151.000000	560.613554	4009.000000	560.613554	3995.000000	560.613554	3862.000000	560.613554	3931.000000	560.613554	6760.000000	560.613554	5384.000000	560.613554	4555.000000	560.613554	4457.000000	560.613554	4150.000000	560.613554	4110.000000	560.613554	6074.000000	560.613554	4752.000000	560.613554	4236.000000	560.613554	4173.000000	560.613554	4044.000000
561.334477	3603.000000	561.334477	8520.000000	561.334477	5994.000000	561.334477	5277.000000	561.334477	4843.000000	561.334477	4529.000000	561.334477	4308.000000	561.334477	4577.000000	561.334477	4275.000000	561.334477	4066.000000	561.334477	3922.000000	561.334477	3826.000000	561.334477	3828.000000	561.334477	6673.000000	561.334477	5401.000000	561.334477	4587.000000	561.334477	4299.000000	561.334477	4111.000000	561.334477	3959.000000	561.334477	6022.000000	561.334477	4633.000000	561.334477	4183.000000	561.334477	4059.000000	561.334477	3922.000000
562.055336	3641.000000	562.055336	8556.000000	562.055336	5962.000000	562.055336	5145.000000	562.055336	4723.000000	562.055336	4398.000000	562.055336	4281.000000	562.055336	4556.000000	562.055336	4146.000000	562.055336	3975.000000	562.055336	3864.000000	562.055336	3796.000000	562.055336	3774.000000	562.055336	6622.000000	562.055336	5391.000000	562.055336	4621.000000	562.055336	4325.000000	562.055336	4145.000000	562.055336	3956.000000	562.055336	5924.000000	562.055336	4560.000000	562.055336	4099.000000	562.055336	3895.000000	562.055336	3873.000000
562.776130	3555.000000	562.776130	8336.000000	562.776130	5972.000000	562.776130	5105.000000	562.776130	4649.000000	562.776130	4365.000000	562.776130	4238.000000	562.776130	4355.000000	562.776130	4080.000000	562.776130	3895.000000	562.776130	3888.000000	562.776130	3820.000000	562.776130	3710.000000	562.776130	6524.000000	562.776130	5353.000000	562.776130	4545.000000	562.776130	4306.000000	562.776130	3986.000000	562.776130	3930.000000	562.776130	5940.000000	562.776130	4601.000000	562.776130	4137.000000	562.776130	3999.000000	562.776130	3898.000000
563.496862	3548.000000	563.496862	8434.000000	563.496862	5842.000000	563.496862	5111.000000	563.496862	4716.000000	563.496862	4447.000000	563.496862	4087.000000	563.496862	4484.000000	563.496862	3993.000000	563.496862	3845.000000	563.496862	3777.000000	563.496862	3747.000000	563.496862	3702.000000	563.496862	6411.000000	563.496862	5235.000000	563.496862	4584.000000	563.496862	4168.000000	563.496862	3874.000000	563.496862	3769.000000	563.496862	5878.000000	563.496862	4467.000000	563.496862	4094.000000	563.496862	4000.000000	563.496862	3796.000000
564.217529	3449.000000	564.217529	8388.000000	564.217529	5916.000000	564.217529	5093.000000	564.217529	4717.000000	564.217529	4370.000000	564.217529	4186.000000	564.217529	4437.000000	564.217529	4043.000000	564.217529	3817.000000	564.217529	3750.000000	564.217529	3705.000000	564.217529	3618.000000	564.217529	6342.000000	564.217529	5078.000000	564.217529	4581.000000	564.217529	4211.000000	564.217529	3902.000000	564.217529	3827.000000	564.217529	5901.000000	564.217529	4375.000000	564.217529	4087.000000	564.217529	3876.000000	564.217529	3835.000000
564.938132	3448.000000	564.938132	8323.000000	564.938132	5782.000000	564.938132	5068.000000	564.938132	4701.000000	564.938132	4320.000000	564.938132	4103.000000	564.938132	4393.000000	564.938132	3904.000000	564.938132	3824.000000	564.938132	3756.000000	564.938132	3724.000000	564.938132	3614.000000	564.938132	6373.000000	564.938132	5081.000000	564.938132	4415.000000	564.938132	4136.000000	564.938132	3892.000000	564.938132	3819.000000	564.938132	5852.000000	564.938132	4442.000000	564.938132	4049.000000	564.938132	3837.000000	564.938132	3811.000000
565.658672	3414.000000	565.658672	8262.000000	565.658672	5755.000000	565.658672	4988.000000	565.658672	4528.000000	565.658672	4314.000000	565.658672	4102.000000	565.658672	4301.000000	565.658672	3861.000000	565.658672	3698.000000	565.658672	3693.000000	565.658672	3601.000000	565.658672	3567.000000	565.658672	6360.000000	565.658672	4985.000000	565.658672	4422.000000	565.658672	4031.000000	565.658672	3866.000000	565.658672	3675.000000	565.658672	5800.000000	565.658672	4467.000000	565.658672	3982.000000	565.658672	3819.000000	565.658672	3700.000000
566.379148	3448.000000	566.379148	8233.000000	566.379148	5836.000000	566.379148	5072.000000	566.379148	4567.000000	566.379148	4368.000000	566.379148	3961.000000	566.379148	4359.000000	566.379148	3944.000000	566.379148	3742.000000	566.379148	3675.000000	566.379148	3631.000000	566.379148	3549.000000	566.379148	6264.000000	566.379148	5032.000000	566.379148	4328.000000	566.379148	4114.000000	566.379148	3889.000000	566.379148	3756.000000	566.379148	5743.000000	566.379148	4330.000000	566.379148	3969.000000	566.379148	3874.000000	566.379148	3752.000000
567.099560	3369.000000	567.099560	8135.000000	567.099560	5751.000000	567.099560	4885.000000	567.099560	4479.000000	567.099560	4327.000000	567.099560	4064.000000	567.099560	4301.000000	567.099560	3837.000000	567.099560	3759.000000	567.099560	3663.000000	567.099560	3542.000000	567.099560	3488.000000	567.099560	6259.000000	567.099560	4989.000000	567.099560	4342.000000	567.099560	4067.000000	567.099560	3777.000000	567.099560	3593.000000	567.099560	5735.000000	567.099560	4411.000000	567.099560	3996.000000	567.099560	3838.000000	567.099560	3700.000000
567.819908	3374.000000	567.819908	8119.000000	567.819908	5744.000000	567.819908	4769.000000	567.819908	4503.000000	567.819908	4292.000000	567.819908	3973.000000	567.819908	4189.000000	567.819908	3814.000000	567.819908	3672.000000	567.819908	3523.000000	567.819908	3538.000000	567.819908	3423.000000	567.819908	6144.000000	567.819908	4969.000000	567.819908	4387.000000	567.819908	3987.000000	567.819908	3680.000000	567.819908	3675.000000	567.819908	5679.000000	567.819908	4288.000000	567.819908	3909.000000	567.819908	3770.000000	567.819908	3587.000000
568.540193	3293.000000	568.540193	8168.000000	568.540193	5769.000000	568.540193	4880.000000	568.540193	4520.000000	568.540193	4283.000000	568.540193	4041.000000	568.540193	4292.000000	568.540193	3810.000000	568.540193	3627.000000	568.540193	3506.000000	568.540193	3519.000000	568.540193	3452.000000	568.540193	6107.000000	568.540193	4957.000000	568.540193	4311.000000	568.540193	4057.000000	568.540193	3770.000000	568.540193	3601.000000	568.540193	5708.000000	568.540193	4294.000000	568.540193	3919.000000	568.540193	3729.000000	568.540193	3648.000000
569.260414	3388.000000	569.260414	8076.000000	569.260414	5665.000000	569.260414	4821.000000	569.260414	4497.000000	569.260414	4252.000000	569.260414	3960.000000	569.260414	4116.000000	569.260414	3761.000000	569.260414	3553.000000	569.260414	3500.000000	569.260414	3495.000000	569.260414	3497.000000	569.260414	6204.000000	569.260414	4835.000000	569.260414	4186.000000	569.260414	3933.000000	569.260414	3751.000000	569.260414	3619.000000	569.260414	5714.000000	569.260414	4189.000000	569.260414	3931.000000	569.260414	3795.000000	569.260414	3570.000000
569.980571	3195.000000	569.980571	8050.000000	569.980571	5596.000000	569.980571	4802.000000	569.980571	4297.000000	569.980571	4263.000000	569.980571	3970.000000	569.980571	4202.000000	569.980571	3729.000000	569.980571	3622.000000	569.980571	3495.000000	569.980571	3407.000000	569.980571	3417.000000	569.980571	6160.000000	569.980571	4955.000000	569.980571	4179.000000	569.980571	3922.000000	569.980571	3612.000000	569.980571	3487.000000	569.980571	5515.000000	569.980571	4226.000000	569.980571	3784.000000	569.980571	3612.000000	569.980571	3647.000000
