X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y
559.892568	2921.000000	559.892568	2986.000000	559.892568	2920.000000	559.892568	3046.000000	559.892568	3031.000000	559.892568	3046.000000	559.892568	3053.000000	559.892568	3073.000000	559.892568	3069.000000	559.892568	3110.000000
560.613554	2909.000000	560.613554	2900.000000	560.613554	2918.000000	560.613554	2999.000000	560.613554	3054.000000	560.613554	2977.000000	560.613554	2985.000000	560.613554	3040.000000	560.613554	2979.000000	560.613554	3099.000000
561.334477	2837.000000	561.334477	2783.000000	561.334477	2889.000000	561.334477	2969.000000	561.334477	2941.000000	561.334477	2866.000000	561.334477	2958.000000	561.334477	2962.000000	561.334477	3025.000000	561.334477	3051.000000
562.055336	2789.000000	562.055336	2876.000000	562.055336	2867.000000	562.055336	2946.000000	562.055336	2948.000000	562.055336	2946.000000	562.055336	2891.000000	562.055336	2960.000000	562.055336	3014.000000	562.055336	3050.000000
562.776130	2764.000000	562.776130	2764.000000	562.776130	2816.000000	562.776130	2831.000000	562.776130	2876.000000	562.776130	2848.000000	562.776130	2870.000000	562.776130	2949.000000	562.776130	2860.000000	562.776130	2920.000000
563.496862	2702.000000	563.496862	2705.000000	563.496862	2768.000000	563.496862	2915.000000	563.496862	2794.000000	563.496862	2896.000000	563.496862	2905.000000	563.496862	2832.000000	563.496862	2933.000000	563.496862	2916.000000
564.217529	2724.000000	564.217529	2713.000000	564.217529	2768.000000	564.217529	2867.000000	564.217529	2794.000000	564.217529	2865.000000	564.217529	2801.000000	564.217529	2830.000000	564.217529	2900.000000	564.217529	2874.000000
564.938132	2683.000000	564.938132	2665.000000	564.938132	2688.000000	564.938132	2806.000000	564.938132	2810.000000	564.938132	2862.000000	564.938132	2790.000000	564.938132	2826.000000	564.938132	2767.000000	564.938132	2843.000000
565.658672	2644.000000	565.658672	2717.000000	565.658672	2682.000000	565.658672	2768.000000	565.658672	2701.000000	565.658672	2824.000000	565.658672	2770.000000	565.658672	2759.000000	565.658672	2818.000000	565.658672	2916.000000
566.379148	2666.000000	566.379148	2578.000000	566.379148	2717.000000	566.379148	2752.000000	566.379148	2788.000000	566.379148	2732.000000	566.379148	2748.000000	566.379148	2762.000000	566.379148	2771.000000	566.379148	2833.000000
567.099560	2630.000000	567.099560	2639.000000	567.099560	2609.000000	567.099560	2700.000000	567.099560	2692.000000	567.099560	2779.000000	567.099560	2689.000000	567.099560	2724.000000	567.099560	2736.000000	567.099560	2793.000000
567.819908	2446.000000	567.819908	2627.000000	567.819908	2511.000000	567.819908	2652.000000	567.819908	2671.000000	567.819908	2692.000000	567.819908	2623.000000	567.819908	2719.000000	567.819908	2661.000000	567.819908	2733.000000
568.540193	2631.000000	568.540193	2632.000000	568.540193	2551.000000	568.540193	2718.000000	568.540193	2736.000000	568.540193	2680.000000	568.540193	2629.000000	568.540193	2634.000000	568.540193	2707.000000	568.540193	2706.000000
