X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y
559.892568	2577.000000	559.892568	2632.000000	559.892568	2549.000000	559.892568	2537.000000	559.892568	2575.000000	559.892568	2583.000000	559.892568	2555.000000	559.892568	2565.000000	559.892568	2535.000000
560.613554	2527.000000	560.613554	2568.000000	560.613554	2589.000000	560.613554	2577.000000	560.613554	2426.000000	560.613554	2463.000000	560.613554	2520.000000	560.613554	2546.000000	560.613554	2501.000000
561.334477	2529.000000	561.334477	2587.000000	561.334477	2476.000000	561.334477	2486.000000	561.334477	2516.000000	561.334477	2518.000000	561.334477	2570.000000	561.334477	2508.000000	561.334477	2534.000000
562.055336	2556.000000	562.055336	2522.000000	562.055336	2492.000000	562.055336	2440.000000	562.055336	2416.000000	562.055336	2442.000000	562.055336	2445.000000	562.055336	2459.000000	562.055336	2454.000000
562.776130	2477.000000	562.776130	2480.000000	562.776130	2482.000000	562.776130	2443.000000	562.776130	2422.000000	562.776130	2460.000000	562.776130	2424.000000	562.776130	2439.000000	562.776130	2466.000000
563.496862	2441.000000	563.496862	2486.000000	563.496862	2532.000000	563.496862	2437.000000	563.496862	2422.000000	563.496862	2433.000000	563.496862	2379.000000	563.496862	2374.000000	563.496862	2387.000000
564.217529	2393.000000	564.217529	2474.000000	564.217529	2337.000000	564.217529	2319.000000	564.217529	2454.000000	564.217529	2375.000000	564.217529	2368.000000	564.217529	2373.000000	564.217529	2305.000000
564.938132	2342.000000	564.938132	2390.000000	564.938132	2412.000000	564.938132	2388.000000	564.938132	2400.000000	564.938132	2379.000000	564.938132	2365.000000	564.938132	2333.000000	564.938132	2371.000000
565.658672	2369.000000	565.658672	2400.000000	565.658672	2355.000000	565.658672	2374.000000	565.658672	2323.000000	565.658672	2279.000000	565.658672	2312.000000	565.658672	2333.000000	565.658672	2432.000000
566.379148	2264.000000	566.379148	2417.000000	566.379148	2345.000000	566.379148	2318.000000	566.379148	2354.000000	566.379148	2357.000000	566.379148	2360.000000	566.379148	2287.000000	566.379148	2280.000000
567.099560	2303.000000	567.099560	2367.000000	567.099560	2305.000000	567.099560	2301.000000	567.099560	2244.000000	567.099560	2226.000000	567.099560	2308.000000	567.099560	2265.000000	567.099560	2327.000000
567.819908	2275.000000	567.819908	2296.000000	567.819908	2222.000000	567.819908	2338.000000	567.819908	2236.000000	567.819908	2233.000000	567.819908	2248.000000	567.819908	2253.000000	567.819908	2274.000000
568.540193	2339.000000	568.540193	2288.000000	568.540193	2292.000000	568.540193	2269.000000	568.540193	2259.000000	568.540193	2262.000000	568.540193	2194.000000	568.540193	2263.000000	568.540193	2260.000000
569.260414	2194.000000	569.260414	2300.000000	569.260414	2288.000000	569.260414	2247.000000	569.260414	2221.000000	569.260414	2163.000000	569.260414	2243.000000	569.260414	2198.000000	569.260414	2185.000000
569.980571	2254.000000	569.980571	2290.000000	569.980571	2227.000000	569.980571	2224.000000	569.980571	2274.000000	569.980571	2254.000000	569.980571	2237.000000	569.980571	2248.000000	569.980571	2168.000000
570.700664	2224.000000	570.700664	2182.000000	570.700664	2174.000000	570.700664	2210.000000	570.700664	2218.000000	570.700664	2167.000000	570.700664	2207.000000	570.700664	2208.000000	570.700664	2188.000000
571.420694	2187.000000	571.420694	2281.000000	571.420694	2227.000000	571.420694	2134.000000	571.420694	2174.000000	571.420694	2141.000000	571.420694	2150.000000	571.420694	2168.000000	571.420694	2216.000000
572.140660	2153.000000	572.140660	2143.000000	572.140660	2141.000000	572.140660	2142.000000	572.140660	2129.000000	572.140660	2125.000000	572.140660	2207.000000	572.140660	2196.000000	572.140660	2234.000000
572.860562	2216.000000	572.860562	2165.000000	572.860562	2118.000000	572.860562	2231.000000	572.860562	2163.000000	572.860562	2113.000000	572.860562	2150.000000	572.860562	2146.000000	572.860562	2175.000000
