X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y
559.892568	4537.000000	559.892568	4262.000000	559.892568	4168.000000	559.892568	4097.000000	559.892568	4068.000000	559.892568	4046.000000	559.892568	6145.000000	559.892568	5217.000000	559.892568	4892.000000	559.892568	4521.000000	559.892568	5893.000000	559.892568	4743.000000	559.892568	4451.000000	559.892568	4186.000000	559.892568	4041.000000
560.613554	4513.000000	560.613554	4240.000000	560.613554	4138.000000	560.613554	4072.000000	560.613554	3950.000000	560.613554	4118.000000	560.613554	6138.000000	560.613554	5090.000000	560.613554	4796.000000	560.613554	4611.000000	560.613554	5769.000000	560.613554	4896.000000	560.613554	4340.000000	560.613554	4131.000000	560.613554	4001.000000
561.334477	4422.000000	561.334477	4159.000000	561.334477	4030.000000	561.334477	4024.000000	561.334477	3901.000000	561.334477	4008.000000	561.334477	5941.000000	561.334477	5095.000000	561.334477	4823.000000	561.334477	4589.000000	561.334477	5832.000000	561.334477	4756.000000	561.334477	4360.000000	561.334477	4144.000000	561.334477	3980.000000
562.055336	4480.000000	562.055336	4137.000000	562.055336	4009.000000	562.055336	3950.000000	562.055336	3918.000000	562.055336	3923.000000	562.055336	5842.000000	562.055336	4963.000000	562.055336	4774.000000	562.055336	4439.000000	562.055336	5851.000000	562.055336	4699.000000	562.055336	4244.000000	562.055336	4111.000000	562.055336	3922.000000
562.776130	4487.000000	562.776130	3986.000000	562.776130	3980.000000	562.776130	3930.000000	562.776130	3799.000000	562.776130	3905.000000	562.776130	5751.000000	562.776130	4875.000000	562.776130	4642.000000	562.776130	4359.000000	562.776130	5757.000000	562.776130	4746.000000	562.776130	4317.000000	562.776130	4051.000000	562.776130	3900.000000
563.496862	4348.000000	563.496862	4015.000000	563.496862	3868.000000	563.496862	3896.000000	563.496862	3885.000000	563.496862	3897.000000	563.496862	5900.000000	563.496862	4865.000000	563.496862	4646.000000	563.496862	4333.000000	563.496862	5795.000000	563.496862	4653.000000	563.496862	4206.000000	563.496862	3976.000000	563.496862	3857.000000
564.217529	4256.000000	564.217529	3995.000000	564.217529	3844.000000	564.217529	3839.000000	564.217529	3826.000000	564.217529	3744.000000	564.217529	5738.000000	564.217529	4808.000000	564.217529	4600.000000	564.217529	4333.000000	564.217529	5738.000000	564.217529	4547.000000	564.217529	4189.000000	564.217529	3952.000000	564.217529	3898.000000
564.938132	4191.000000	564.938132	3928.000000	564.938132	3796.000000	564.938132	3800.000000	564.938132	3754.000000	564.938132	3683.000000	564.938132	5573.000000	564.938132	4735.000000	564.938132	4480.000000	564.938132	4322.000000	564.938132	5624.000000	564.938132	4613.000000	564.938132	4216.000000	564.938132	3916.000000	564.938132	3813.000000
565.658672	4236.000000	565.658672	3965.000000	565.658672	3726.000000	565.658672	3789.000000	565.658672	3649.000000	565.658672	3632.000000	565.658672	5584.000000	565.658672	4744.000000	565.658672	4424.000000	565.658672	4194.000000	565.658672	5664.000000	565.658672	4575.000000	565.658672	4127.000000	565.658672	3921.000000	565.658672	3819.000000
566.379148	4182.000000	566.379148	3782.000000	566.379148	3737.000000	566.379148	3687.000000	566.379148	3643.000000	566.379148	3611.000000	566.379148	5531.000000	566.379148	4654.000000	566.379148	4475.000000	566.379148	4131.000000	566.379148	5713.000000	566.379148	4425.000000	566.379148	4072.000000	566.379148	3863.000000	566.379148	3764.000000
567.099560	4146.000000	567.099560	3782.000000	567.099560	3699.000000	567.099560	3720.000000	567.099560	3559.000000	567.099560	3618.000000	567.099560	5465.000000	567.099560	4642.000000	567.099560	4381.000000	567.099560	4101.000000	567.099560	5693.000000	567.099560	4557.000000	567.099560	4133.000000	567.099560	3866.000000	567.099560	3756.000000
567.819908	4122.000000	567.819908	3759.000000	567.819908	3685.000000	567.819908	3680.000000	567.819908	3651.000000	567.819908	3516.000000	567.819908	5417.000000	567.819908	4569.000000	567.819908	4355.000000	567.819908	4029.000000	567.819908	5585.000000	567.819908	4411.000000	567.819908	4081.000000	567.819908	3799.000000	567.819908	3728.000000
568.540193	4086.000000	568.540193	3768.000000	568.540193	3680.000000	568.540193	3589.000000	568.540193	3577.000000	568.540193	3473.000000	568.540193	5374.000000	568.540193	4524.000000	568.540193	4321.000000	568.540193	3939.000000	568.540193	5539.000000	568.540193	4513.000000	568.540193	4152.000000	568.540193	3787.000000	568.540193	3649.000000
