X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y
559.892568	4373.000000	559.892568	4341.000000	559.892568	4302.000000	559.892568	4195.000000	559.892568	4232.000000	559.892568	2697.000000	559.892568	4902.000000	559.892568	5026.000000	559.892568	4650.000000	559.892568	4303.000000	559.892568	6070.000000	559.892568	5053.000000	559.892568	4622.000000
560.613554	4462.000000	560.613554	4110.000000	560.613554	4229.000000	560.613554	4185.000000	560.613554	4217.000000	560.613554	2641.000000	560.613554	4850.000000	560.613554	4847.000000	560.613554	4730.000000	560.613554	4219.000000	560.613554	6047.000000	560.613554	5007.000000	560.613554	4570.000000
561.334477	4403.000000	561.334477	4146.000000	561.334477	4223.000000	561.334477	4154.000000	561.334477	4228.000000	561.334477	2685.000000	561.334477	4770.000000	561.334477	4676.000000	561.334477	4672.000000	561.334477	4206.000000	561.334477	5972.000000	561.334477	4942.000000	561.334477	4563.000000
562.055336	4297.000000	562.055336	4094.000000	562.055336	4081.000000	562.055336	4085.000000	562.055336	4183.000000	562.055336	2661.000000	562.055336	4714.000000	562.055336	4779.000000	562.055336	4588.000000	562.055336	4136.000000	562.055336	5847.000000	562.055336	5053.000000	562.055336	4524.000000
562.776130	4323.000000	562.776130	4096.000000	562.776130	4116.000000	562.776130	4067.000000	562.776130	4083.000000	562.776130	2514.000000	562.776130	4697.000000	562.776130	4698.000000	562.776130	4529.000000	562.776130	4237.000000	562.776130	5860.000000	562.776130	4892.000000	562.776130	4497.000000
563.496862	4259.000000	563.496862	4037.000000	563.496862	4057.000000	563.496862	4123.000000	563.496862	4025.000000	563.496862	2583.000000	563.496862	4737.000000	563.496862	4605.000000	563.496862	4517.000000	563.496862	4160.000000	563.496862	5836.000000	563.496862	4771.000000	563.496862	4388.000000
564.217529	4210.000000	564.217529	4104.000000	564.217529	4078.000000	564.217529	4009.000000	564.217529	3906.000000	564.217529	2482.000000	564.217529	4594.000000	564.217529	4646.000000	564.217529	4389.000000	564.217529	4150.000000	564.217529	5987.000000	564.217529	4849.000000	564.217529	4550.000000
564.938132	4269.000000	564.938132	4006.000000	564.938132	3954.000000	564.938132	4071.000000	564.938132	4071.000000	564.938132	2539.000000	564.938132	4509.000000	564.938132	4574.000000	564.938132	4417.000000	564.938132	4042.000000	564.938132	5873.000000	564.938132	4774.000000	564.938132	4376.000000
565.658672	4090.000000	565.658672	3915.000000	565.658672	4012.000000	565.658672	3968.000000	565.658672	3910.000000	565.658672	2487.000000	565.658672	4578.000000	565.658672	4589.000000	565.658672	4290.000000	565.658672	4015.000000	565.658672	5678.000000	565.658672	4760.000000	565.658672	4430.000000
566.379148	4172.000000	566.379148	3961.000000	566.379148	3905.000000	566.379148	3945.000000	566.379148	3957.000000	566.379148	2468.000000	566.379148	4594.000000	566.379148	4518.000000	566.379148	4458.000000	566.379148	4007.000000	566.379148	5666.000000	566.379148	4774.000000	566.379148	4415.000000
567.099560	4051.000000	567.099560	3884.000000	567.099560	3802.000000	567.099560	3878.000000	567.099560	3887.000000	567.099560	2498.000000	567.099560	4427.000000	567.099560	4549.000000	567.099560	4361.000000	567.099560	3963.000000	567.099560	5799.000000	567.099560	4707.000000	567.099560	4430.000000
567.819908	4040.000000	567.819908	3948.000000	567.819908	3859.000000	567.819908	3858.000000	567.819908	3903.000000	567.819908	2364.000000	567.819908	4419.000000	567.819908	4469.000000	567.819908	4226.000000	567.819908	4026.000000	567.819908	5831.000000	567.819908	4658.000000	567.819908	4264.000000
568.540193	4031.000000	568.540193	3872.000000	568.540193	3784.000000	568.540193	3807.000000	568.540193	3766.000000	568.540193	2463.000000	568.540193	4440.000000	568.540193	4405.000000	568.540193	4121.000000	568.540193	4047.000000	568.540193	5741.000000	568.540193	4654.000000	568.540193	4344.000000
569.260414	3931.000000	569.260414	3729.000000	569.260414	3740.000000	569.260414	3790.000000	569.260414	3711.000000	569.260414	2481.000000	569.260414	4407.000000	569.260414	4362.000000	569.260414	4295.000000	569.260414	3970.000000	569.260414	5725.000000	569.260414	4671.000000	569.260414	4242.000000
569.980571	3953.000000	569.980571	3775.000000	569.980571	3775.000000	569.980571	3755.000000	569.980571	3683.000000	569.980571	2387.000000	569.980571	4319.000000	569.980571	4317.000000	569.980571	4288.000000	569.980571	4015.000000	569.980571	5633.000000	569.980571	4688.000000	569.980571	4239.000000
570.700664	4025.000000	570.700664	3715.000000	570.700664	3756.000000	570.700664	3759.000000	570.700664	3743.000000	570.700664	2392.000000	570.700664	4364.000000	570.700664	4217.000000	570.700664	4114.000000	570.700664	3867.000000	570.700664	5660.000000	570.700664	4668.000000	570.700664	4215.000000
571.420694	3973.000000	571.420694	3692.000000	571.420694	3621.000000	571.420694	3682.000000	571.420694	3684.000000	571.420694	2324.000000	571.420694	4227.000000	571.420694	4348.000000	571.420694	4129.000000	571.420694	3900.000000	571.420694	5711.000000	571.420694	4558.000000	571.420694	4225.000000
572.140660	3970.000000	572.140660	3698.000000	572.140660	3662.000000	572.140660	3687.000000	572.140660	3624.000000	572.140660	2348.000000	572.140660	4246.000000	572.140660	4263.000000	572.140660	4118.000000	572.140660	3788.000000	572.140660	5600.000000	572.140660	4655.000000	572.140660	4251.000000
