X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y
559.892568	4063.000000	559.892568	3518.000000	559.892568	3373.000000	559.892568	2795.000000	559.892568	3629.000000	559.892568	3310.000000	559.892568	3253.000000	559.892568	3161.000000	559.892568	3103.000000	559.892568	3093.000000	559.892568	3033.000000	559.892568	3032.000000
560.613554	4064.000000	560.613554	3482.000000	560.613554	3347.000000	560.613554	2781.000000	560.613554	3629.000000	560.613554	3235.000000	560.613554	3151.000000	560.613554	3072.000000	560.613554	3021.000000	560.613554	3017.000000	560.613554	3043.000000	560.613554	2985.000000
561.334477	4010.000000	561.334477	3407.000000	561.334477	3297.000000	561.334477	2748.000000	561.334477	3611.000000	561.334477	3181.000000	561.334477	3165.000000	561.334477	3029.000000	561.334477	3081.000000	561.334477	3023.000000	561.334477	2953.000000	561.334477	2950.000000
562.055336	4036.000000	562.055336	3447.000000	562.055336	3246.000000	562.055336	2698.000000	562.055336	3498.000000	562.055336	3229.000000	562.055336	3166.000000	562.055336	2996.000000	562.055336	2996.000000	562.055336	2988.000000	562.055336	2921.000000	562.055336	2901.000000
562.776130	3900.000000	562.776130	3435.000000	562.776130	3083.000000	562.776130	2721.000000	562.776130	3562.000000	562.776130	3060.000000	562.776130	3080.000000	562.776130	3049.000000	562.776130	2943.000000	562.776130	2936.000000	562.776130	2910.000000	562.776130	2913.000000
563.496862	3830.000000	563.496862	3339.000000	563.496862	3224.000000	563.496862	2686.000000	563.496862	3533.000000	563.496862	3079.000000	563.496862	3067.000000	563.496862	3023.000000	563.496862	3012.000000	563.496862	2877.000000	563.496862	2946.000000	563.496862	2844.000000
564.217529	3968.000000	564.217529	3436.000000	564.217529	3073.000000	564.217529	2644.000000	564.217529	3351.000000	564.217529	3029.000000	564.217529	3008.000000	564.217529	2939.000000	564.217529	2919.000000	564.217529	2910.000000	564.217529	2788.000000	564.217529	2786.000000
564.938132	3932.000000	564.938132	3356.000000	564.938132	3153.000000	564.938132	2594.000000	564.938132	3436.000000	564.938132	3112.000000	564.938132	3014.000000	564.938132	2845.000000	564.938132	2834.000000	564.938132	2835.000000	564.938132	2825.000000	564.938132	2774.000000
565.658672	3873.000000	565.658672	3280.000000	565.658672	3028.000000	565.658672	2566.000000	565.658672	3338.000000	565.658672	3109.000000	565.658672	3001.000000	565.658672	2833.000000	565.658672	2894.000000	565.658672	2759.000000	565.658672	2827.000000	565.658672	2800.000000
566.379148	3785.000000	566.379148	3262.000000	566.379148	3101.000000	566.379148	2560.000000	566.379148	3337.000000	566.379148	3045.000000	566.379148	2914.000000	566.379148	2865.000000	566.379148	2784.000000	566.379148	2753.000000	566.379148	2746.000000	566.379148	2755.000000
567.099560	3810.000000	567.099560	3210.000000	567.099560	3077.000000	567.099560	2586.000000	567.099560	3307.000000	567.099560	3035.000000	567.099560	2928.000000	567.099560	2770.000000	567.099560	2774.000000	567.099560	2778.000000	567.099560	2615.000000	567.099560	2697.000000
567.819908	3839.000000	567.819908	3211.000000	567.819908	3053.000000	567.819908	2517.000000	567.819908	3330.000000	567.819908	3042.000000	567.819908	2876.000000	567.819908	2752.000000	567.819908	2834.000000	567.819908	2729.000000	567.819908	2747.000000	567.819908	2653.000000
568.540193	3803.000000	568.540193	3198.000000	568.540193	3039.000000	568.540193	2545.000000	568.540193	3267.000000	568.540193	2934.000000	568.540193	2875.000000	568.540193	2806.000000	568.540193	2729.000000	568.540193	2705.000000	568.540193	2729.000000	568.540193	2696.000000
569.260414	3820.000000	569.260414	3167.000000	569.260414	3038.000000	569.260414	2534.000000	569.260414	3287.000000	569.260414	2951.000000	569.260414	2871.000000	569.260414	2736.000000	569.260414	2660.000000	569.260414	2692.000000	569.260414	2667.000000	569.260414	2680.000000
569.980571	3754.000000	569.980571	3152.000000	569.980571	3043.000000	569.980571	2436.000000	569.980571	3254.000000	569.980571	2843.000000	569.980571	2821.000000	569.980571	2756.000000	569.980571	2625.000000	569.980571	2691.000000	569.980571	2646.000000	569.980571	2698.000000
570.700664	3699.000000	570.700664	3150.000000	570.700664	3036.000000	570.700664	2448.000000	570.700664	3277.000000	570.700664	2926.000000	570.700664	2851.000000	570.700664	2740.000000	570.700664	2688.000000	570.700664	2608.000000	570.700664	2608.000000	570.700664	2623.000000
571.420694	3640.000000	571.420694	3099.000000	571.420694	3016.000000	571.420694	2444.000000	571.420694	3255.000000	571.420694	2826.000000	571.420694	2791.000000	571.420694	2804.000000	571.420694	2662.000000	571.420694	2678.000000	571.420694	2589.000000	571.420694	2544.000000
572.140660	3627.000000	572.140660	3104.000000	572.140660	3064.000000	572.140660	2453.000000	572.140660	3214.000000	572.140660	2832.000000	572.140660	2721.000000	572.140660	2652.000000	572.140660	2631.000000	572.140660	2627.000000	572.140660	2641.000000	572.140660	2563.000000
572.860562	3846.000000	572.860562	3096.000000	572.860562	2968.000000	572.860562	2513.000000	572.860562	3187.000000	572.860562	2835.000000	572.860562	2742.000000	572.860562	2680.000000	572.860562	2594.000000	572.860562	2584.000000	572.860562	2539.000000	572.860562	2504.000000
573.580401	3630.000000	573.580401	3090.000000	573.580401	2909.000000	573.580401	2435.000000	573.580401	3161.000000	573.580401	2897.000000	573.580401	2791.000000	573.580401	2643.000000	573.580401	2673.000000	573.580401	2625.000000	573.580401	2612.000000	573.580401	2506.000000
574.300176	3638.000000	574.300176	3048.000000	574.300176	2948.000000	574.300176	2353.000000	574.300176	3127.000000	574.300176	2760.000000	574.300176	2745.000000	574.300176	2664.000000	574.300176	2654.000000	574.300176	2502.000000	574.300176	2562.000000	574.300176	2516.000000
575.019887	3632.000000	575.019887	3095.000000	575.019887	2943.000000	575.019887	2444.000000	575.019887	3127.000000	575.019887	2818.000000	575.019887	2680.000000	575.019887	2583.000000	575.019887	2552.000000	575.019887	2542.000000	575.019887	2505.000000	575.019887	2465.000000
575.739534	3616.000000	575.739534	3101.000000	575.739534	2901.000000	575.739534	2372.000000	575.739534	3157.000000	575.739534	2771.000000	575.739534	2688.000000	575.739534	2645.000000	575.739534	2564.000000	575.739534	2548.000000	575.739534	2508.000000	575.739534	2513.000000
576.459118	3639.000000	576.459118	3102.000000	576.459118	2892.000000	576.459118	2412.000000	576.459118	3087.000000	576.459118	2783.000000	576.459118	2668.000000	576.459118	2531.000000	576.459118	2575.000000	576.459118	2543.000000	576.459118	2481.000000	576.459118	2448.000000
577.178638	3605.000000	577.178638	3023.000000	577.178638	2907.000000	577.178638	2388.000000	577.178638	3069.000000	577.178638	2714.000000	577.178638	2700.000000	577.178638	2517.000000	577.178638	2563.000000	577.178638	2576.000000	577.178638	2455.000000	577.178638	2414.000000
577.898094	3595.000000	577.898094	3046.000000	577.898094	2869.000000	577.898094	2341.000000	577.898094	2998.000000	577.898094	2767.000000	577.898094	2688.000000	577.898094	2502.000000	577.898094	2570.000000	577.898094	2491.000000	577.898094	2517.000000	577.898094	2482.000000
578.617487	3590.000000	578.617487	3055.000000	578.617487	2971.000000	578.617487	2327.000000	578.617487	3009.000000	578.617487	2629.000000	578.617487	2663.000000	578.617487	2553.000000	578.617487	2506.000000	578.617487	2493.000000	578.617487	2417.000000	578.617487	2378.000000
579.336816	3544.000000	579.336816	3003.000000	579.336816	2814.000000	579.336816	2402.000000	579.336816	2983.000000	579.336816	2694.000000	579.336816	2633.000000	579.336816	2521.000000	579.336816	2466.000000	579.336816	2411.000000	579.336816	2519.000000	579.336816	2452.000000
580.056081	3573.000000	580.056081	2974.000000	580.056081	2761.000000	580.056081	2286.000000	580.056081	3067.000000	580.056081	2642.000000	580.056081	2623.000000	580.056081	2546.000000	580.056081	2435.000000	580.056081	2424.000000	580.056081	2393.000000	580.056081	2432.000000
580.775283	3498.000000	580.775283	3007.000000	580.775283	2863.000000	580.775283	2326.000000	580.775283	2995.000000	580.775283	2688.000000	580.775283	2576.000000	580.775283	2533.000000	580.775283	2406.000000	580.775283	2388.000000	580.775283	2392.000000	580.775283	2382.000000
581.494421	3507.000000	581.494421	2994.000000	581.494421	2805.000000	581.494421	2325.000000	581.494421	2993.000000	581.494421	2662.000000	581.494421	2525.000000	581.494421	2538.000000	581.494421	2569.000000	581.494421	2391.000000	581.494421	2446.000000	581.494421	2302.000000
582.213495	3522.000000	582.213495	2951.000000	582.213495	2851.000000	582.213495	2358.000000	582.213495	2975.000000	582.213495	2672.000000	582.213495	2614.000000	582.213495	2471.000000	582.213495	2402.000000	582.213495	2350.000000	582.213495	2382.000000	582.213495	2345.000000
582.932506	3447.000000	582.932506	2967.000000	582.932506	2834.000000	582.932506	2314.000000	582.932506	2906.000000	582.932506	2612.000000	582.932506	2658.000000	582.932506	2469.000000	582.932506	2399.000000	582.932506	2359.000000	582.932506	2400.000000	582.932506	2391.000000
583.651453	3520.000000	583.651453	3012.000000	583.651453	2859.000000	583.651453	2230.000000	583.651453	2934.000000	583.651453	2643.000000	583.651453	2541.000000	583.651453	2453.000000	583.651453	2507.000000	583.651453	2384.000000	583.651453	2387.000000	583.651453	2278.000000
584.370336	3513.000000	584.370336	2964.000000	584.370336	2836.000000	584.370336	2310.000000	584.370336	2980.000000	584.370336	2594.000000	584.370336	2555.000000	584.370336	2461.000000	584.370336	2384.000000	584.370336	2406.000000	584.370336	2316.000000	584.370336	2352.000000
585.089156	3404.000000	585.089156	2923.000000	585.089156	2816.000000	585.089156	2302.000000	585.089156	2952.000000	585.089156	2614.000000	585.089156	2518.000000	585.089156	2447.000000	585.089156	2500.000000	585.089156	2503.000000	585.089156	2418.000000	585.089156	2329.000000
585.807912	3460.000000	585.807912	2919.000000	585.807912	2820.000000	585.807912	2218.000000	585.807912	2906.000000	585.807912	2589.000000	585.807912	2520.000000	585.807912	2374.000000	585.807912	2385.000000	585.807912	2314.000000	585.807912	2409.000000	585.807912	2325.000000
586.526605	3478.000000	586.526605	2921.000000	586.526605	2758.000000	586.526605	2305.000000	586.526605	2989.000000	586.526605	2603.000000	586.526605	2542.000000	586.526605	2483.000000	586.526605	2366.000000	586.526605	2299.000000	586.526605	2329.000000	586.526605	2343.000000
587.245234	3430.000000	587.245234	2880.000000	587.245234	2785.000000	587.245234	2207.000000	587.245234	2971.000000	587.245234	2614.000000	587.245234	2487.000000	587.245234	2415.000000	587.245234	2411.000000	587.245234	2363.000000	587.245234	2358.000000	587.245234	2351.000000
587.963800	3465.000000	587.963800	2944.000000	587.963800	2844.000000	587.963800	2225.000000	587.963800	2978.000000	587.963800	2593.000000	587.963800	2489.000000	587.963800	2446.000000	587.963800	2308.000000	587.963800	2341.000000	587.963800	2323.000000	587.963800	2232.000000
588.682301	3467.000000	588.682301	2947.000000	588.682301	2789.000000	588.682301	2226.000000	588.682301	2937.000000	588.682301	2544.000000	588.682301	2507.000000	588.682301	2383.000000	588.682301	2335.000000	588.682301	2322.000000	588.682301	2289.000000	588.682301	2256.000000
589.400740	3462.000000	589.400740	2849.000000	589.400740	2752.000000	589.400740	2282.000000	589.400740	2968.000000	589.400740	2569.000000	589.400740	2486.000000	589.400740	2452.000000	589.400740	2399.000000	589.400740	2324.000000	589.400740	2338.000000	589.400740	2323.000000
590.119115	3353.000000	590.119115	2952.000000	590.119115	2744.000000	590.119115	2202.000000	590.119115	2837.000000	590.119115	2521.000000	590.119115	2568.000000	590.119115	2449.000000	590.119115	2374.000000	590.119115	2310.000000	590.119115	2304.000000	590.119115	2259.000000
590.837426	3420.000000	590.837426	2909.000000	590.837426	2772.000000	590.837426	2247.000000	590.837426	2970.000000	590.837426	2556.000000	590.837426	2514.000000	590.837426	2433.000000	590.837426	2304.000000	590.837426	2358.000000	590.837426	2243.000000	590.837426	2251.000000
591.555673	3413.000000	591.555673	2850.000000	591.555673	2726.000000	591.555673	2200.000000	591.555673	2904.000000	591.555673	2543.000000	591.555673	2486.000000	591.555673	2373.000000	591.555673	2404.000000	591.555673	2324.000000	591.555673	2281.000000	591.555673	2200.000000
592.273857	3431.000000	592.273857	2803.000000	592.273857	2811.000000	592.273857	2246.000000	592.273857	2890.000000	592.273857	2516.000000	592.273857	2520.000000	592.273857	2404.000000	592.273857	2342.000000	592.273857	2309.000000	592.273857	2313.000000	592.273857	2263.000000
592.991978	3421.000000	592.991978	2862.000000	592.991978	2801.000000	592.991978	2227.000000	592.991978	2935.000000	592.991978	2574.000000	592.991978	2441.000000	592.991978	2384.000000	592.991978	2370.000000	592.991978	2342.000000	592.991978	2289.000000	592.991978	2305.000000
593.710035	3419.000000	593.710035	2834.000000	593.710035	2764.000000	593.710035	2250.000000	593.710035	2949.000000	593.710035	2499.000000	593.710035	2386.000000	593.710035	2362.000000	593.710035	2383.000000	593.710035	2296.000000	593.710035	2323.000000	593.710035	2261.000000
594.428028	3426.000000	594.428028	2883.000000	594.428028	2801.000000	594.428028	2191.000000	594.428028	2902.000000	594.428028	2572.000000	594.428028	2516.000000	594.428028	2373.000000	594.428028	2279.000000	594.428028	2340.000000	594.428028	2373.000000	594.428028	2300.000000
595.145958	3429.000000	595.145958	2855.000000	595.145958	2708.000000	595.145958	2191.000000	595.145958	2880.000000	595.145958	2523.000000	595.145958	2503.000000	595.145958	2332.000000	595.145958	2363.000000	595.145958	2277.000000	595.145958	2354.000000	595.145958	2236.000000
595.863824	3430.000000	595.863824	2856.000000	595.863824	2772.000000	595.863824	2210.000000	595.863824	2877.000000	595.863824	2559.000000	595.863824	2467.000000	595.863824	2314.000000	595.863824	2294.000000	595.863824	2327.000000	595.863824	2255.000000	595.863824	2302.000000
596.581627	3414.000000	596.581627	2913.000000	596.581627	2777.000000	596.581627	2134.000000	596.581627	2923.000000	596.581627	2484.000000	596.581627	2501.000000	596.581627	2371.000000	596.581627	2264.000000	596.581627	2297.000000	596.581627	2267.000000	596.581627	2273.000000
597.299367	3422.000000	597.299367	2927.000000	597.299367	2717.000000	597.299367	2188.000000	597.299367	2863.000000	597.299367	2546.000000	597.299367	2482.000000	597.299367	2407.000000	597.299367	2330.000000	597.299367	2374.000000	597.299367	2233.000000	597.299367	2255.000000
598.017042	3374.000000	598.017042	2876.000000	598.017042	2794.000000	598.017042	2268.000000	598.017042	2873.000000	598.017042	2540.000000	598.017042	2481.000000	598.017042	2394.000000	598.017042	2281.000000	598.017042	2319.000000	598.017042	2285.000000	598.017042	2255.000000
598.734655	3411.000000	598.734655	2897.000000	598.734655	2730.000000	598.734655	2159.000000	598.734655	2873.000000	598.734655	2489.000000	598.734655	2453.000000	598.734655	2428.000000	598.734655	2317.000000	598.734655	2286.000000	598.734655	2300.000000	598.734655	2286.000000
599.452204	3439.000000	599.452204	2964.000000	599.452204	2770.000000	599.452204	2240.000000	599.452204	2872.000000	599.452204	2475.000000	599.452204	2526.000000	599.452204	2380.000000	599.452204	2326.000000	599.452204	2298.000000	599.452204	2259.000000	599.452204	2238.000000
600.169689	3430.000000	600.169689	2861.000000	600.169689	2692.000000	600.169689	2161.000000	600.169689	2821.000000	600.169689	2582.000000	600.169689	2514.000000	600.169689	2387.000000	600.169689	2320.000000	600.169689	2310.000000	600.169689	2268.000000	600.169689	2216.000000
600.887111	3457.000000	600.887111	2811.000000	600.887111	2825.000000	600.887111	2132.000000	600.887111	2944.000000	600.887111	2496.000000	600.887111	2492.000000	600.887111	2337.000000	600.887111	2317.000000	600.887111	2265.000000	600.887111	2289.000000	600.887111	2268.000000
601.604469	3421.000000	601.604469	2846.000000	601.604469	2809.000000	601.604469	2179.000000	601.604469	2931.000000	601.604469	2549.000000	601.604469	2480.000000	601.604469	2378.000000	601.604469	2379.000000	601.604469	2362.000000	601.604469	2271.000000	601.604469	2238.000000
602.321764	3429.000000	602.321764	2938.000000	602.321764	2803.000000	602.321764	2207.000000	602.321764	2914.000000	602.321764	2579.000000	602.321764	2525.000000	602.321764	2417.000000	602.321764	2300.000000	602.321764	2237.000000	602.321764	2207.000000	602.321764	2218.000000
603.038995	3442.000000	603.038995	2854.000000	603.038995	2794.000000	603.038995	2241.000000	603.038995	2888.000000	603.038995	2553.000000	603.038995	2567.000000	603.038995	2442.000000	603.038995	2353.000000	603.038995	2322.000000	603.038995	2257.000000	603.038995	2286.000000
603.756163	3382.000000	603.756163	2968.000000	603.756163	2749.000000	603.756163	2214.000000	603.756163	2968.000000	603.756163	2609.000000	603.756163	2472.000000	603.756163	2379.000000	603.756163	2325.000000	603.756163	2359.000000	603.756163	2240.000000	603.756163	2278.000000
604.473268	3512.000000	604.473268	2885.000000	604.473268	2805.000000	604.473268	2210.000000	604.473268	2973.000000	604.473268	2525.000000	604.473268	2514.000000	604.473268	2390.000000	604.473268	2349.000000	604.473268	2386.000000	604.473268	2270.000000	604.473268	2302.000000
605.190309	3461.000000	605.190309	2864.000000	605.190309	2724.000000	605.190309	2237.000000	605.190309	2898.000000	605.190309	2563.000000	605.190309	2533.000000	605.190309	2467.000000	605.190309	2367.000000	605.190309	2380.000000	605.190309	2328.000000	605.190309	2262.000000
