X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y
559.892568	3242.000000	559.892568	3149.000000	559.892568	2881.000000	559.892568	3405.000000	559.892568	3046.000000	559.892568	2913.000000	559.892568	2968.000000	559.892568	2530.000000	559.892568	4421.000000	559.892568	3713.000000	559.892568	3289.000000	559.892568	3146.000000	559.892568	2977.000000	559.892568	2985.000000	559.892568	2951.000000	559.892568	2897.000000	559.892568	2857.000000	559.892568	2765.000000
560.613554	3139.000000	560.613554	3065.000000	560.613554	2838.000000	560.613554	3465.000000	560.613554	3138.000000	560.613554	2929.000000	560.613554	2855.000000	560.613554	2519.000000	560.613554	4359.000000	560.613554	3497.000000	560.613554	3272.000000	560.613554	3097.000000	560.613554	3021.000000	560.613554	2897.000000	560.613554	2914.000000	560.613554	2931.000000	560.613554	2756.000000	560.613554	2656.000000
561.334477	3246.000000	561.334477	3067.000000	561.334477	2857.000000	561.334477	3368.000000	561.334477	3069.000000	561.334477	2851.000000	561.334477	2828.000000	561.334477	2534.000000	561.334477	4411.000000	561.334477	3462.000000	561.334477	3216.000000	561.334477	2970.000000	561.334477	2995.000000	561.334477	2933.000000	561.334477	2860.000000	561.334477	2750.000000	561.334477	2741.000000	561.334477	2768.000000
562.055336	3105.000000	562.055336	3046.000000	562.055336	2730.000000	562.055336	3410.000000	562.055336	3079.000000	562.055336	2866.000000	562.055336	2838.000000	562.055336	2453.000000	562.055336	4285.000000	562.055336	3416.000000	562.055336	3188.000000	562.055336	2941.000000	562.055336	2892.000000	562.055336	2862.000000	562.055336	2798.000000	562.055336	2809.000000	562.055336	2752.000000	562.055336	2707.000000
562.776130	3115.000000	562.776130	2983.000000	562.776130	2732.000000	562.776130	3446.000000	562.776130	3048.000000	562.776130	2824.000000	562.776130	2819.000000	562.776130	2459.000000	562.776130	4218.000000	562.776130	3410.000000	562.776130	3250.000000	562.776130	2951.000000	562.776130	2886.000000	562.776130	2840.000000	562.776130	2764.000000	562.776130	2742.000000	562.776130	2722.000000	562.776130	2660.000000
563.496862	3098.000000	563.496862	2998.000000	563.496862	2683.000000	563.496862	3245.000000	563.496862	3091.000000	563.496862	2852.000000	563.496862	2826.000000	563.496862	2475.000000	563.496862	4237.000000	563.496862	3408.000000	563.496862	3149.000000	563.496862	2982.000000	563.496862	2935.000000	563.496862	2886.000000	563.496862	2754.000000	563.496862	2729.000000	563.496862	2728.000000	563.496862	2629.000000
564.217529	3067.000000	564.217529	3034.000000	564.217529	2785.000000	564.217529	3275.000000	564.217529	2988.000000	564.217529	2807.000000	564.217529	2761.000000	564.217529	2480.000000	564.217529	4253.000000	564.217529	3412.000000	564.217529	3127.000000	564.217529	2964.000000	564.217529	2790.000000	564.217529	2801.000000	564.217529	2638.000000	564.217529	2742.000000	564.217529	2658.000000	564.217529	2682.000000
564.938132	3034.000000	564.938132	2888.000000	564.938132	2652.000000	564.938132	3302.000000	564.938132	3001.000000	564.938132	2769.000000	564.938132	2737.000000	564.938132	2399.000000	564.938132	4153.000000	564.938132	3365.000000	564.938132	3083.000000	564.938132	2834.000000	564.938132	2794.000000	564.938132	2788.000000	564.938132	2785.000000	564.938132	2700.000000	564.938132	2675.000000	564.938132	2697.000000
565.658672	3049.000000	565.658672	2856.000000	565.658672	2593.000000	565.658672	3278.000000	565.658672	2969.000000	565.658672	2756.000000	565.658672	2819.000000	565.658672	2472.000000	565.658672	4202.000000	565.658672	3310.000000	565.658672	3076.000000	565.658672	2898.000000	565.658672	2915.000000	565.658672	2839.000000	565.658672	2677.000000	565.658672	2657.000000	565.658672	2647.000000	565.658672	2604.000000
566.379148	2953.000000	566.379148	2848.000000	566.379148	2617.000000	566.379148	3275.000000	566.379148	2943.000000	566.379148	2782.000000	566.379148	2735.000000	566.379148	2434.000000	566.379148	4158.000000	566.379148	3383.000000	566.379148	3039.000000	566.379148	2844.000000	566.379148	2771.000000	566.379148	2707.000000	566.379148	2696.000000	566.379148	2649.000000	566.379148	2640.000000	566.379148	2594.000000
567.099560	3007.000000	567.099560	2838.000000	567.099560	2639.000000	567.099560	3120.000000	567.099560	2857.000000	567.099560	2652.000000	567.099560	2695.000000	567.099560	2307.000000	567.099560	4259.000000	567.099560	3267.000000	567.099560	3056.000000	567.099560	2848.000000	567.099560	2712.000000	567.099560	2760.000000	567.099560	2725.000000	567.099560	2594.000000	567.099560	2639.000000	567.099560	2556.000000
567.819908	2975.000000	567.819908	2831.000000	567.819908	2699.000000	567.819908	3224.000000	567.819908	2875.000000	567.819908	2723.000000	567.819908	2721.000000	567.819908	2370.000000	567.819908	4083.000000	567.819908	3348.000000	567.819908	3092.000000	567.819908	2850.000000	567.819908	2798.000000	567.819908	2709.000000	567.819908	2758.000000	567.819908	2604.000000	567.819908	2640.000000	567.819908	2555.000000
568.540193	2932.000000	568.540193	2805.000000	568.540193	2543.000000	568.540193	3213.000000	568.540193	2879.000000	568.540193	2627.000000	568.540193	2713.000000	568.540193	2336.000000	568.540193	4171.000000	568.540193	3277.000000	568.540193	3000.000000	568.540193	2784.000000	568.540193	2741.000000	568.540193	2688.000000	568.540193	2620.000000	568.540193	2579.000000	568.540193	2586.000000	568.540193	2514.000000
569.260414	2874.000000	569.260414	2828.000000	569.260414	2573.000000	569.260414	3163.000000	569.260414	2820.000000	569.260414	2666.000000	569.260414	2641.000000	569.260414	2335.000000	569.260414	4098.000000	569.260414	3276.000000	569.260414	3050.000000	569.260414	2829.000000	569.260414	2728.000000	569.260414	2673.000000	569.260414	2581.000000	569.260414	2576.000000	569.260414	2587.000000	569.260414	2545.000000
569.980571	2963.000000	569.980571	2831.000000	569.980571	2449.000000	569.980571	3103.000000	569.980571	2867.000000	569.980571	2600.000000	569.980571	2695.000000	569.980571	2302.000000	569.980571	4085.000000	569.980571	3272.000000	569.980571	3050.000000	569.980571	2847.000000	569.980571	2705.000000	569.980571	2682.000000	569.980571	2610.000000	569.980571	2540.000000	569.980571	2527.000000	569.980571	2434.000000
570.700664	2961.000000	570.700664	2768.000000	570.700664	2552.000000	570.700664	3137.000000	570.700664	2833.000000	570.700664	2621.000000	570.700664	2711.000000	570.700664	2304.000000	570.700664	4108.000000	570.700664	3250.000000	570.700664	3052.000000	570.700664	2784.000000	570.700664	2741.000000	570.700664	2696.000000	570.700664	2577.000000	570.700664	2579.000000	570.700664	2569.000000	570.700664	2498.000000
571.420694	2843.000000	571.420694	2812.000000	571.420694	2546.000000	571.420694	3054.000000	571.420694	2806.000000	571.420694	2607.000000	571.420694	2703.000000	571.420694	2313.000000	571.420694	4107.000000	571.420694	3233.000000	571.420694	2919.000000	571.420694	2743.000000	571.420694	2732.000000	571.420694	2638.000000	571.420694	2577.000000	571.420694	2512.000000	571.420694	2585.000000	571.420694	2517.000000
572.140660	2813.000000	572.140660	2784.000000	572.140660	2517.000000	572.140660	3067.000000	572.140660	2803.000000	572.140660	2560.000000	572.140660	2705.000000	572.140660	2327.000000	572.140660	4076.000000	572.140660	3216.000000	572.140660	2973.000000	572.140660	2754.000000	572.140660	2659.000000	572.140660	2673.000000	572.140660	2551.000000	572.140660	2546.000000	572.140660	2532.000000	572.140660	2423.000000
572.860562	2864.000000	572.860562	2782.000000	572.860562	2477.000000	572.860562	3096.000000	572.860562	2710.000000	572.860562	2629.000000	572.860562	2630.000000	572.860562	2274.000000	572.860562	4099.000000	572.860562	3203.000000	572.860562	2970.000000	572.860562	2778.000000	572.860562	2700.000000	572.860562	2629.000000	572.860562	2570.000000	572.860562	2493.000000	572.860562	2484.000000	572.860562	2460.000000
573.580401	2817.000000	573.580401	2824.000000	573.580401	2488.000000	573.580401	3062.000000	573.580401	2778.000000	573.580401	2515.000000	573.580401	2563.000000	573.580401	2255.000000	573.580401	4023.000000	573.580401	3218.000000	573.580401	2996.000000	573.580401	2719.000000	573.580401	2658.000000	573.580401	2639.000000	573.580401	2556.000000	573.580401	2504.000000	573.580401	2463.000000	573.580401	2505.000000
574.300176	2770.000000	574.300176	2705.000000	574.300176	2525.000000	574.300176	2963.000000	574.300176	2761.000000	574.300176	2536.000000	574.300176	2614.000000	574.300176	2221.000000	574.300176	3907.000000	574.300176	3121.000000	574.300176	2910.000000	574.300176	2708.000000	574.300176	2624.000000	574.300176	2609.000000	574.300176	2521.000000	574.300176	2489.000000	574.300176	2487.000000	574.300176	2502.000000
575.019887	2757.000000	575.019887	2737.000000	575.019887	2453.000000	575.019887	3083.000000	575.019887	2713.000000	575.019887	2571.000000	575.019887	2650.000000	575.019887	2215.000000	575.019887	3930.000000	575.019887	3175.000000	575.019887	2854.000000	575.019887	2780.000000	575.019887	2633.000000	575.019887	2555.000000	575.019887	2509.000000	575.019887	2506.000000	575.019887	2366.000000	575.019887	2459.000000
575.739534	2809.000000	575.739534	2695.000000	575.739534	2389.000000	575.739534	3007.000000	575.739534	2698.000000	575.739534	2503.000000	575.739534	2572.000000	575.739534	2175.000000	575.739534	3943.000000	575.739534	3200.000000	575.739534	2927.000000	575.739534	2696.000000	575.739534	2700.000000	575.739534	2555.000000	575.739534	2550.000000	575.739534	2431.000000	575.739534	2425.000000	575.739534	2390.000000
576.459118	2768.000000	576.459118	2655.000000	576.459118	2404.000000	576.459118	3012.000000	576.459118	2724.000000	576.459118	2576.000000	576.459118	2614.000000	576.459118	2156.000000	576.459118	4025.000000	576.459118	3244.000000	576.459118	2937.000000	576.459118	2580.000000	576.459118	2617.000000	576.459118	2541.000000	576.459118	2494.000000	576.459118	2483.000000	576.459118	2464.000000	576.459118	2406.000000
577.178638	2781.000000	577.178638	2670.000000	577.178638	2446.000000	577.178638	3005.000000	577.178638	2716.000000	577.178638	2532.000000	577.178638	2635.000000	577.178638	2276.000000	577.178638	3859.000000	577.178638	3218.000000	577.178638	2861.000000	577.178638	2717.000000	577.178638	2547.000000	577.178638	2629.000000	577.178638	2506.000000	577.178638	2383.000000	577.178638	2402.000000	577.178638	2400.000000
577.898094	2802.000000	577.898094	2710.000000	577.898094	2441.000000	577.898094	2894.000000	577.898094	2666.000000	577.898094	2453.000000	577.898094	2656.000000	577.898094	2165.000000	577.898094	3879.000000	577.898094	3128.000000	577.898094	2916.000000	577.898094	2692.000000	577.898094	17573.000000	577.898094	2560.000000	577.898094	2528.000000	577.898094	2462.000000	577.898094	2425.000000	577.898094	2415.000000
578.617487	2686.000000	578.617487	2637.000000	578.617487	2361.000000	578.617487	2999.000000	578.617487	2624.000000	578.617487	2445.000000	578.617487	2562.000000	578.617487	2187.000000	578.617487	3957.000000	578.617487	3102.000000	578.617487	2878.000000	578.617487	2638.000000	578.617487	5480.000000	578.617487	2524.000000	578.617487	2456.000000	578.617487	2375.000000	578.617487	2395.000000	578.617487	2324.000000
579.336816	2680.000000	579.336816	2650.000000	579.336816	2383.000000	579.336816	2936.000000	579.336816	2649.000000	579.336816	2425.000000	579.336816	2575.000000	579.336816	2216.000000	579.336816	3991.000000	579.336816	3110.000000	579.336816	2864.000000	579.336816	2706.000000	579.336816	4695.000000	579.336816	2642.000000	579.336816	2468.000000	579.336816	2469.000000	579.336816	2409.000000	579.336816	2383.000000
580.056081	2741.000000	580.056081	2618.000000	580.056081	2375.000000	580.056081	2933.000000	580.056081	2626.000000	580.056081	2359.000000	580.056081	2525.000000	580.056081	2202.000000	580.056081	3821.000000	580.056081	3102.000000	580.056081	2836.000000	580.056081	2626.000000	580.056081	4384.000000	580.056081	2494.000000	580.056081	2462.000000	580.056081	2351.000000	580.056081	2383.000000	580.056081	2296.000000
580.775283	2738.000000	580.775283	2640.000000	580.775283	2324.000000	580.775283	2909.000000	580.775283	2685.000000	580.775283	2431.000000	580.775283	2531.000000	580.775283	2105.000000	580.775283	3929.000000	580.775283	3076.000000	580.775283	2883.000000	580.775283	2644.000000	580.775283	5487.000000	580.775283	2506.000000	580.775283	2505.000000	580.775283	2391.000000	580.775283	2283.000000	580.775283	2356.000000
581.494421	2639.000000	581.494421	2539.000000	581.494421	2369.000000	581.494421	2925.000000	581.494421	2610.000000	581.494421	2377.000000	581.494421	2507.000000	581.494421	2175.000000	581.494421	3876.000000	581.494421	3092.000000	581.494421	2774.000000	581.494421	2617.000000	581.494421	3957.000000	581.494421	2549.000000	581.494421	2400.000000	581.494421	2320.000000	581.494421	2404.000000	581.494421	2337.000000
582.213495	2609.000000	582.213495	2618.000000	582.213495	2342.000000	582.213495	2840.000000	582.213495	2665.000000	582.213495	2455.000000	582.213495	2532.000000	582.213495	2125.000000	582.213495	3855.000000	582.213495	3053.000000	582.213495	2797.000000	582.213495	2551.000000	582.213495	2770.000000	582.213495	2421.000000	582.213495	2483.000000	582.213495	2332.000000	582.213495	2326.000000	582.213495	2260.000000
582.932506	2665.000000	582.932506	2616.000000	582.932506	2405.000000	582.932506	2952.000000	582.932506	2573.000000	582.932506	2389.000000	582.932506	2489.000000	582.932506	2116.000000	582.932506	3983.000000	582.932506	3095.000000	582.932506	2810.000000	582.932506	2573.000000	582.932506	2500.000000	582.932506	2463.000000	582.932506	2389.000000	582.932506	2352.000000	582.932506	2374.000000	582.932506	2318.000000
583.651453	2669.000000	583.651453	2604.000000	583.651453	2301.000000	583.651453	2870.000000	583.651453	2609.000000	583.651453	2377.000000	583.651453	2505.000000	583.651453	2135.000000	583.651453	3831.000000	583.651453	3021.000000	583.651453	2837.000000	583.651453	2614.000000	583.651453	2491.000000	583.651453	2451.000000	583.651453	2351.000000	583.651453	2325.000000	583.651453	2289.000000	583.651453	2300.000000
584.370336	2674.000000	584.370336	2572.000000	584.370336	2330.000000	584.370336	2936.000000	584.370336	2517.000000	584.370336	2375.000000	584.370336	2497.000000	584.370336	2069.000000	584.370336	3948.000000	584.370336	3026.000000	584.370336	2800.000000	584.370336	2536.000000	584.370336	2536.000000	584.370336	2464.000000	584.370336	2450.000000	584.370336	2364.000000	584.370336	2367.000000	584.370336	2284.000000
585.089156	2667.000000	585.089156	2623.000000	585.089156	2312.000000	585.089156	2844.000000	585.089156	2558.000000	585.089156	2381.000000	585.089156	2605.000000	585.089156	2133.000000	585.089156	3925.000000	585.089156	3067.000000	585.089156	2823.000000	585.089156	2516.000000	585.089156	2488.000000	585.089156	2465.000000	585.089156	2374.000000	585.089156	2366.000000	585.089156	2301.000000	585.089156	2241.000000
585.807912	2635.000000	585.807912	2591.000000	585.807912	2352.000000	585.807912	2863.000000	585.807912	2577.000000	585.807912	2412.000000	585.807912	2543.000000	585.807912	2172.000000	585.807912	3797.000000	585.807912	2984.000000	585.807912	2782.000000	585.807912	2539.000000	585.807912	2531.000000	585.807912	2479.000000	585.807912	2361.000000	585.807912	2349.000000	585.807912	2342.000000	585.807912	2328.000000
