X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y
559.892568	4072.000000	559.892568	3562.000000	559.892568	3404.000000	559.892568	3410.000000	559.892568	3269.000000	559.892568	3051.000000	559.892568	2873.000000	559.892568	2778.000000	559.892568	3398.000000	559.892568	3061.000000	559.892568	2701.000000	559.892568	3279.000000	559.892568	2956.000000	559.892568	2864.000000
560.613554	4084.000000	560.613554	3541.000000	560.613554	3360.000000	560.613554	3278.000000	560.613554	3182.000000	560.613554	2928.000000	560.613554	2845.000000	560.613554	2616.000000	560.613554	3347.000000	560.613554	3009.000000	560.613554	2676.000000	560.613554	3241.000000	560.613554	2942.000000	560.613554	2864.000000
561.334477	4027.000000	561.334477	3514.000000	561.334477	3315.000000	561.334477	3275.000000	561.334477	3206.000000	561.334477	3046.000000	561.334477	2710.000000	561.334477	2689.000000	561.334477	3338.000000	561.334477	2948.000000	561.334477	2707.000000	561.334477	3246.000000	561.334477	2916.000000	561.334477	2786.000000
562.055336	4059.000000	562.055336	3477.000000	562.055336	3283.000000	562.055336	3276.000000	562.055336	3151.000000	562.055336	2965.000000	562.055336	2746.000000	562.055336	2638.000000	562.055336	3300.000000	562.055336	2943.000000	562.055336	2649.000000	562.055336	3277.000000	562.055336	2905.000000	562.055336	2738.000000
562.776130	3951.000000	562.776130	3404.000000	562.776130	3272.000000	562.776130	3156.000000	562.776130	3216.000000	562.776130	2898.000000	562.776130	2758.000000	562.776130	2539.000000	562.776130	3284.000000	562.776130	2945.000000	562.776130	2583.000000	562.776130	3199.000000	562.776130	2891.000000	562.776130	2805.000000
563.496862	3852.000000	563.496862	3442.000000	563.496862	3294.000000	563.496862	3196.000000	563.496862	3123.000000	563.496862	2844.000000	563.496862	2778.000000	563.496862	2582.000000	563.496862	3237.000000	563.496862	2921.000000	563.496862	2593.000000	563.496862	3193.000000	563.496862	2821.000000	563.496862	2733.000000
564.217529	3910.000000	564.217529	3393.000000	564.217529	3295.000000	564.217529	3171.000000	564.217529	3015.000000	564.217529	2873.000000	564.217529	2703.000000	564.217529	2595.000000	564.217529	3235.000000	564.217529	2872.000000	564.217529	2515.000000	564.217529	3087.000000	564.217529	2841.000000	564.217529	2720.000000
564.938132	3822.000000	564.938132	3421.000000	564.938132	3167.000000	564.938132	3128.000000	564.938132	3073.000000	564.938132	2760.000000	564.938132	2667.000000	564.938132	2457.000000	564.938132	3122.000000	564.938132	2911.000000	564.938132	2532.000000	564.938132	3083.000000	564.938132	2803.000000	564.938132	2660.000000
565.658672	3893.000000	565.658672	3377.000000	565.658672	3224.000000	565.658672	3115.000000	565.658672	3090.000000	565.658672	2823.000000	565.658672	2586.000000	565.658672	2503.000000	565.658672	3172.000000	565.658672	2839.000000	565.658672	2484.000000	565.658672	3018.000000	565.658672	2766.000000	565.658672	2687.000000
566.379148	3886.000000	566.379148	3415.000000	566.379148	3180.000000	566.379148	3115.000000	566.379148	3048.000000	566.379148	2778.000000	566.379148	2692.000000	566.379148	2519.000000	566.379148	3140.000000	566.379148	2834.000000	566.379148	2526.000000	566.379148	3048.000000	566.379148	2785.000000	566.379148	2594.000000
