X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y
559.892568	3415.000000	559.892568	3187.000000	559.892568	3138.000000	559.892568	3017.000000	559.892568	3718.000000	559.892568	3195.000000	559.892568	2987.000000	559.892568	2622.000000	559.892568	2276.000000	559.892568	2112.000000
560.613554	3351.000000	560.613554	3160.000000	560.613554	2988.000000	560.613554	3088.000000	560.613554	3599.000000	560.613554	3205.000000	560.613554	2981.000000	560.613554	2605.000000	560.613554	2210.000000	560.613554	2216.000000
561.334477	3301.000000	561.334477	3071.000000	561.334477	3056.000000	561.334477	2960.000000	561.334477	3682.000000	561.334477	3155.000000	561.334477	2897.000000	561.334477	2571.000000	561.334477	2151.000000	561.334477	2119.000000
562.055336	3169.000000	562.055336	3075.000000	562.055336	3077.000000	562.055336	2963.000000	562.055336	3608.000000	562.055336	3155.000000	562.055336	2943.000000	562.055336	2530.000000	562.055336	2229.000000	562.055336	2090.000000
562.776130	3244.000000	562.776130	3011.000000	562.776130	2879.000000	562.776130	2951.000000	562.776130	3593.000000	562.776130	3028.000000	562.776130	2854.000000	562.776130	2548.000000	562.776130	2162.000000	562.776130	2081.000000
563.496862	3172.000000	563.496862	2978.000000	563.496862	2990.000000	563.496862	2901.000000	563.496862	3685.000000	563.496862	3095.000000	563.496862	2864.000000	563.496862	2485.000000	563.496862	2149.000000	563.496862	2034.000000
564.217529	3187.000000	564.217529	3020.000000	564.217529	2833.000000	564.217529	2875.000000	564.217529	3644.000000	564.217529	3011.000000	564.217529	2879.000000	564.217529	2513.000000	564.217529	2159.000000	564.217529	2028.000000
564.938132	3215.000000	564.938132	2890.000000	564.938132	2924.000000	564.938132	2837.000000	564.938132	3597.000000	564.938132	3077.000000	564.938132	2901.000000	564.938132	2575.000000	564.938132	2193.000000	564.938132	2100.000000
565.658672	3186.000000	565.658672	2935.000000	565.658672	2765.000000	565.658672	2822.000000	565.658672	3568.000000	565.658672	2995.000000	565.658672	2780.000000	565.658672	2522.000000	565.658672	2194.000000	565.658672	2070.000000
566.379148	3173.000000	566.379148	2982.000000	566.379148	2792.000000	566.379148	2822.000000	566.379148	3544.000000	566.379148	3026.000000	566.379148	2808.000000	566.379148	2488.000000	566.379148	2155.000000	566.379148	2050.000000
567.099560	3084.000000	567.099560	2905.000000	567.099560	2810.000000	567.099560	2766.000000	567.099560	3442.000000	567.099560	2980.000000	567.099560	2804.000000	567.099560	2432.000000	567.099560	2084.000000	567.099560	2050.000000
567.819908	3214.000000	567.819908	2913.000000	567.819908	2800.000000	567.819908	2703.000000	567.819908	3492.000000	567.819908	2936.000000	567.819908	2762.000000	567.819908	2458.000000	567.819908	2052.000000	567.819908	1980.000000
568.540193	3070.000000	568.540193	2842.000000	568.540193	2765.000000	568.540193	2753.000000	568.540193	3440.000000	568.540193	2950.000000	568.540193	2748.000000	568.540193	2390.000000	568.540193	2055.000000	568.540193	1983.000000
569.260414	3013.000000	569.260414	2816.000000	569.260414	2755.000000	569.260414	2749.000000	569.260414	3469.000000	569.260414	2982.000000	569.260414	2736.000000	569.260414	2457.000000	569.260414	2032.000000	569.260414	2051.000000
569.980571	2991.000000	569.980571	2799.000000	569.980571	2700.000000	569.980571	2753.000000	569.980571	3505.000000	569.980571	2955.000000	569.980571	2715.000000	569.980571	2424.000000	569.980571	2083.000000	569.980571	1931.000000
570.700664	3045.000000	570.700664	2792.000000	570.700664	2681.000000	570.700664	2651.000000	570.700664	3517.000000	570.700664	2942.000000	570.700664	2716.000000	570.700664	2380.000000	570.700664	2140.000000	570.700664	1968.000000
571.420694	2993.000000	571.420694	2833.000000	571.420694	2744.000000	571.420694	2606.000000	571.420694	3478.000000	571.420694	2845.000000	571.420694	2744.000000	571.420694	2401.000000	571.420694	2102.000000	571.420694	1997.000000
572.140660	2987.000000	572.140660	2727.000000	572.140660	2670.000000	572.140660	2633.000000	572.140660	3384.000000	572.140660	2789.000000	572.140660	2699.000000	572.140660	2407.000000	572.140660	1989.000000	572.140660	1972.000000
572.860562	2982.000000	572.860562	2727.000000	572.860562	2687.000000	572.860562	2629.000000	572.860562	3453.000000	572.860562	2887.000000	572.860562	2682.000000	572.860562	2375.000000	572.860562	2051.000000	572.860562	1977.000000
573.580401	2956.000000	573.580401	2654.000000	573.580401	2783.000000	573.580401	2612.000000	573.580401	3386.000000	573.580401	2907.000000	573.580401	2665.000000	573.580401	2453.000000	573.580401	2032.000000	573.580401	1926.000000
574.300176	2863.000000	574.300176	2748.000000	574.300176	2596.000000	574.300176	2615.000000	574.300176	3382.000000	574.300176	2883.000000	574.300176	2683.000000	574.300176	2346.000000	574.300176	2048.000000	574.300176	1954.000000
575.019887	2861.000000	575.019887	2653.000000	575.019887	2604.000000	575.019887	2554.000000	575.019887	3498.000000	575.019887	2938.000000	575.019887	2692.000000	575.019887	2367.000000	575.019887	2050.000000	575.019887	1916.000000
575.739534	2962.000000	575.739534	2606.000000	575.739534	2674.000000	575.739534	2552.000000	575.739534	3416.000000	575.739534	2893.000000	575.739534	2697.000000	575.739534	2311.000000	575.739534	2033.000000	575.739534	1920.000000
576.459118	2798.000000	576.459118	2669.000000	576.459118	2517.000000	576.459118	2587.000000	576.459118	3424.000000	576.459118	2820.000000	576.459118	2638.000000	576.459118	2402.000000	576.459118	1931.000000	576.459118	1917.000000
577.178638	2878.000000	577.178638	2670.000000	577.178638	2572.000000	577.178638	2447.000000	577.178638	3388.000000	577.178638	2830.000000	577.178638	2621.000000	577.178638	2345.000000	577.178638	2027.000000	577.178638	1918.000000
577.898094	2826.000000	577.898094	2702.000000	577.898094	2534.000000	577.898094	2480.000000	577.898094	3292.000000	577.898094	2872.000000	577.898094	2603.000000	577.898094	2385.000000	577.898094	1991.000000	577.898094	1918.000000
578.617487	2840.000000	578.617487	2599.000000	578.617487	2549.000000	578.617487	2550.000000	578.617487	3413.000000	578.617487	2928.000000	578.617487	2581.000000	578.617487	2428.000000	578.617487	1987.000000	578.617487	1928.000000
579.336816	2859.000000	579.336816	2555.000000	579.336816	2457.000000	579.336816	2431.000000	579.336816	3301.000000	579.336816	2826.000000	579.336816	2597.000000	579.336816	2321.000000	579.336816	1947.000000	579.336816	1879.000000
580.056081	2800.000000	580.056081	2581.000000	580.056081	2515.000000	580.056081	2480.000000	580.056081	3300.000000	580.056081	2750.000000	580.056081	2581.000000	580.056081	2403.000000	580.056081	1962.000000	580.056081	1886.000000
580.775283	2796.000000	580.775283	2639.000000	580.775283	2505.000000	580.775283	2450.000000	580.775283	3331.000000	580.775283	2766.000000	580.775283	2563.000000	580.775283	2388.000000	580.775283	1913.000000	580.775283	1877.000000
581.494421	2800.000000	581.494421	2542.000000	581.494421	2467.000000	581.494421	2417.000000	581.494421	3314.000000	581.494421	2765.000000	581.494421	2559.000000	581.494421	2342.000000	581.494421	1969.000000	581.494421	1831.000000
582.213495	2776.000000	582.213495	2588.000000	582.213495	2451.000000	582.213495	2422.000000	582.213495	3252.000000	582.213495	2719.000000	582.213495	2493.000000	582.213495	2374.000000	582.213495	1960.000000	582.213495	1925.000000
582.932506	2739.000000	582.932506	2560.000000	582.932506	2455.000000	582.932506	2438.000000	582.932506	3325.000000	582.932506	2753.000000	582.932506	2535.000000	582.932506	2329.000000	582.932506	1954.000000	582.932506	1921.000000
583.651453	2731.000000	583.651453	2552.000000	583.651453	2466.000000	583.651453	2391.000000	583.651453	3260.000000	583.651453	2783.000000	583.651453	2507.000000	583.651453	2295.000000	583.651453	1939.000000	583.651453	1878.000000
584.370336	2735.000000	584.370336	2542.000000	584.370336	2441.000000	584.370336	2382.000000	584.370336	3280.000000	584.370336	2703.000000	584.370336	2510.000000	584.370336	2340.000000	584.370336	1963.000000	584.370336	1883.000000
585.089156	2801.000000	585.089156	2448.000000	585.089156	2460.000000	585.089156	2405.000000	585.089156	3277.000000	585.089156	2793.000000	585.089156	2567.000000	585.089156	2312.000000	585.089156	1952.000000	585.089156	1841.000000
585.807912	2804.000000	585.807912	2570.000000	585.807912	2433.000000	585.807912	2395.000000	585.807912	3268.000000	585.807912	2731.000000	585.807912	2508.000000	585.807912	2274.000000	585.807912	1908.000000	585.807912	1894.000000
586.526605	2675.000000	586.526605	2479.000000	586.526605	2434.000000	586.526605	2413.000000	586.526605	3303.000000	586.526605	2832.000000	586.526605	2580.000000	586.526605	2276.000000	586.526605	1901.000000	586.526605	1850.000000
587.245234	2704.000000	587.245234	2526.000000	587.245234	2431.000000	587.245234	2441.000000	587.245234	3195.000000	587.245234	2679.000000	587.245234	2530.000000	587.245234	2306.000000	587.245234	1939.000000	587.245234	1792.000000
587.963800	2720.000000	587.963800	2517.000000	587.963800	2452.000000	587.963800	2410.000000	587.963800	3204.000000	587.963800	2684.000000	587.963800	2533.000000	587.963800	2322.000000	587.963800	1954.000000	587.963800	1851.000000
588.682301	2659.000000	588.682301	2420.000000	588.682301	2440.000000	588.682301	2343.000000	588.682301	3209.000000	588.682301	2709.000000	588.682301	2565.000000	588.682301	2326.000000	588.682301	1914.000000	588.682301	1804.000000
589.400740	2705.000000	589.400740	2468.000000	589.400740	2451.000000	589.400740	2334.000000	589.400740	3210.000000	589.400740	2620.000000	589.400740	2502.000000	589.400740	2292.000000	589.400740	1841.000000	589.400740	1861.000000
590.119115	2720.000000	590.119115	2455.000000	590.119115	2390.000000	590.119115	2309.000000	590.119115	3167.000000	590.119115	2676.000000	590.119115	2511.000000	590.119115	2244.000000	590.119115	1981.000000	590.119115	1853.000000
590.837426	2633.000000	590.837426	2477.000000	590.837426	2417.000000	590.837426	2351.000000	590.837426	3300.000000	590.837426	2617.000000	590.837426	2445.000000	590.837426	2247.000000	590.837426	1913.000000	590.837426	1889.000000
591.555673	2712.000000	591.555673	2537.000000	591.555673	2436.000000	591.555673	2428.000000	591.555673	3222.000000	591.555673	2691.000000	591.555673	2478.000000	591.555673	2338.000000	591.555673	1849.000000	591.555673	1816.000000
