X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y
559.892568	7261.000000	559.892568	6300.000000	559.892568	6047.000000	559.892568	5911.000000	559.892568	6204.000000	559.892568	5112.000000	559.892568	7663.000000	559.892568	5772.000000	559.892568	5127.000000	559.892568	4780.000000	559.892568	4736.000000
560.613554	7214.000000	560.613554	6279.000000	560.613554	6017.000000	560.613554	5677.000000	560.613554	6092.000000	560.613554	5086.000000	560.613554	7748.000000	560.613554	5760.000000	560.613554	5145.000000	560.613554	4754.000000	560.613554	4646.000000
561.334477	7198.000000	561.334477	6065.000000	561.334477	5815.000000	561.334477	5671.000000	561.334477	6060.000000	561.334477	4940.000000	561.334477	7729.000000	561.334477	5689.000000	561.334477	5098.000000	561.334477	4686.000000	561.334477	4643.000000
562.055336	7091.000000	562.055336	6081.000000	562.055336	5791.000000	562.055336	5590.000000	562.055336	5996.000000	562.055336	4969.000000	562.055336	7698.000000	562.055336	5623.000000	562.055336	5049.000000	562.055336	4636.000000	562.055336	4541.000000
562.776130	7113.000000	562.776130	5967.000000	562.776130	5617.000000	562.776130	5583.000000	562.776130	5924.000000	562.776130	4868.000000	562.776130	7541.000000	562.776130	5560.000000	562.776130	4981.000000	562.776130	4656.000000	562.776130	4541.000000
563.496862	6902.000000	563.496862	6010.000000	563.496862	5605.000000	563.496862	5481.000000	563.496862	5787.000000	563.496862	4850.000000	563.496862	7650.000000	563.496862	5624.000000	563.496862	4894.000000	563.496862	4770.000000	563.496862	4631.000000
564.217529	6884.000000	564.217529	5876.000000	564.217529	5529.000000	564.217529	5522.000000	564.217529	5681.000000	564.217529	4735.000000	564.217529	7583.000000	564.217529	5557.000000	564.217529	4945.000000	564.217529	4594.000000	564.217529	4617.000000
564.938132	6864.000000	564.938132	5797.000000	564.938132	5472.000000	564.938132	5400.000000	564.938132	5672.000000	564.938132	4691.000000	564.938132	7479.000000	564.938132	5574.000000	564.938132	4893.000000	564.938132	4537.000000	564.938132	4436.000000
565.658672	6733.000000	565.658672	5785.000000	565.658672	5484.000000	565.658672	5360.000000	565.658672	5573.000000	565.658672	4575.000000	565.658672	7624.000000	565.658672	5523.000000	565.658672	4943.000000	565.658672	4474.000000	565.658672	4417.000000
566.379148	6731.000000	566.379148	5747.000000	566.379148	5462.000000	566.379148	5303.000000	566.379148	5575.000000	566.379148	4604.000000	566.379148	7527.000000	566.379148	5439.000000	566.379148	4785.000000	566.379148	4497.000000	566.379148	4357.000000
567.099560	6707.000000	567.099560	5716.000000	567.099560	5336.000000	567.099560	5152.000000	567.099560	5478.000000	567.099560	4557.000000	567.099560	7530.000000	567.099560	5508.000000	567.099560	4869.000000	567.099560	4439.000000	567.099560	4312.000000
567.819908	6625.000000	567.819908	5555.000000	567.819908	5399.000000	567.819908	5218.000000	567.819908	5495.000000	567.819908	4474.000000	567.819908	7475.000000	567.819908	5470.000000	567.819908	4862.000000	567.819908	4488.000000	567.819908	4308.000000
568.540193	6645.000000	568.540193	5669.000000	568.540193	5296.000000	568.540193	5193.000000	568.540193	5439.000000	568.540193	4480.000000	568.540193	7503.000000	568.540193	5344.000000	568.540193	4744.000000	568.540193	4430.000000	568.540193	4389.000000
569.260414	6511.000000	569.260414	5450.000000	569.260414	5334.000000	569.260414	5091.000000	569.260414	5364.000000	569.260414	4419.000000	569.260414	7480.000000	569.260414	5383.000000	569.260414	4852.000000	569.260414	4333.000000	569.260414	4253.000000
569.980571	6393.000000	569.980571	5450.000000	569.980571	5137.000000	569.980571	5056.000000	569.980571	5299.000000	569.980571	4382.000000	569.980571	7314.000000	569.980571	5425.000000	569.980571	4783.000000	569.980571	4418.000000	569.980571	4165.000000
570.700664	6364.000000	570.700664	5487.000000	570.700664	5108.000000	570.700664	5076.000000	570.700664	5305.000000	570.700664	4283.000000	570.700664	7368.000000	570.700664	5396.000000	570.700664	4788.000000	570.700664	4347.000000	570.700664	4232.000000
571.420694	6389.000000	571.420694	5405.000000	571.420694	5153.000000	571.420694	5029.000000	571.420694	5246.000000	571.420694	4255.000000	571.420694	7553.000000	571.420694	5364.000000	571.420694	4749.000000	571.420694	4444.000000	571.420694	4148.000000
572.140660	6454.000000	572.140660	5270.000000	572.140660	5087.000000	572.140660	4985.000000	572.140660	5253.000000	572.140660	4173.000000	572.140660	7533.000000	572.140660	5379.000000	572.140660	4700.000000	572.140660	4373.000000	572.140660	4149.000000
572.860562	6371.000000	572.860562	5313.000000	572.860562	5022.000000	572.860562	4950.000000	572.860562	5173.000000	572.860562	4147.000000	572.860562	7362.000000	572.860562	5295.000000	572.860562	4650.000000	572.860562	4354.000000	572.860562	4061.000000
573.580401	6208.000000	573.580401	5379.000000	573.580401	4984.000000	573.580401	4847.000000	573.580401	5152.000000	573.580401	4076.000000	573.580401	7408.000000	573.580401	5285.000000	573.580401	4640.000000	573.580401	4372.000000	573.580401	4112.000000
