X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y
559.892568	5657.000000	559.892568	4805.000000	559.892568	5750.000000	559.892568	4781.000000	559.892568	4714.000000	559.892568	38307.000000	559.892568	5160.000000	559.892568	5423.000000	559.892568	5088.000000	559.892568	5261.000000	559.892568	4982.000000	559.892568	5500.000000	559.892568	5024.000000
560.613554	5666.000000	560.613554	4811.000000	560.613554	5754.000000	560.613554	4711.000000	560.613554	4565.000000	560.613554	38325.000000	560.613554	5078.000000	560.613554	5307.000000	560.613554	5150.000000	560.613554	5258.000000	560.613554	4910.000000	560.613554	5371.000000	560.613554	5011.000000
561.334477	5527.000000	561.334477	4765.000000	561.334477	5798.000000	561.334477	4698.000000	561.334477	4615.000000	561.334477	38382.000000	561.334477	5096.000000	561.334477	5409.000000	561.334477	4997.000000	561.334477	5255.000000	561.334477	4911.000000	561.334477	5304.000000	561.334477	4971.000000
562.055336	5483.000000	562.055336	4796.000000	562.055336	5655.000000	562.055336	4696.000000	562.055336	4616.000000	562.055336	38144.000000	562.055336	4957.000000	562.055336	5153.000000	562.055336	4957.000000	562.055336	5179.000000	562.055336	4972.000000	562.055336	5162.000000	562.055336	4937.000000
562.776130	5391.000000	562.776130	4695.000000	562.776130	5622.000000	562.776130	4612.000000	562.776130	4647.000000	562.776130	38563.000000	562.776130	4911.000000	562.776130	5159.000000	562.776130	4878.000000	562.776130	5192.000000	562.776130	4960.000000	562.776130	5334.000000	562.776130	4960.000000
563.496862	5410.000000	563.496862	4590.000000	563.496862	5566.000000	563.496862	4682.000000	563.496862	4460.000000	563.496862	38547.000000	563.496862	4975.000000	563.496862	5179.000000	563.496862	4872.000000	563.496862	5041.000000	563.496862	4910.000000	563.496862	5165.000000	563.496862	4917.000000
564.217529	5321.000000	564.217529	4533.000000	564.217529	5597.000000	564.217529	4492.000000	564.217529	4530.000000	564.217529	38313.000000	564.217529	4836.000000	564.217529	5167.000000	564.217529	4789.000000	564.217529	5066.000000	564.217529	4909.000000	564.217529	5116.000000	564.217529	4746.000000
564.938132	5212.000000	564.938132	4585.000000	564.938132	5551.000000	564.938132	4578.000000	564.938132	4548.000000	564.938132	38466.000000	564.938132	4820.000000	564.938132	5124.000000	564.938132	4807.000000	564.938132	5045.000000	564.938132	4855.000000	564.938132	5111.000000	564.938132	4773.000000
565.658672	5267.000000	565.658672	4526.000000	565.658672	5457.000000	565.658672	4478.000000	565.658672	4600.000000	565.658672	38481.000000	565.658672	4837.000000	565.658672	5001.000000	565.658672	4779.000000	565.658672	5011.000000	565.658672	4853.000000	565.658672	5105.000000	565.658672	4714.000000
566.379148	5071.000000	566.379148	4558.000000	566.379148	5396.000000	566.379148	4525.000000	566.379148	4481.000000	566.379148	38350.000000	566.379148	4829.000000	566.379148	5103.000000	566.379148	4773.000000	566.379148	5020.000000	566.379148	4805.000000	566.379148	5114.000000	566.379148	4745.000000
567.099560	5124.000000	567.099560	4379.000000	567.099560	5373.000000	567.099560	4523.000000	567.099560	4415.000000	567.099560	38219.000000	567.099560	4805.000000	567.099560	4927.000000	567.099560	4717.000000	567.099560	4928.000000	567.099560	4719.000000	567.099560	4912.000000	567.099560	4715.000000
567.819908	5089.000000	567.819908	4404.000000	567.819908	5498.000000	567.819908	4377.000000	567.819908	4461.000000	567.819908	38501.000000	567.819908	4772.000000	567.819908	4974.000000	567.819908	4804.000000	567.819908	4955.000000	567.819908	4738.000000	567.819908	5020.000000	567.819908	4694.000000
568.540193	5139.000000	568.540193	4386.000000	568.540193	5363.000000	568.540193	4409.000000	568.540193	4388.000000	568.540193	38372.000000	568.540193	4675.000000	568.540193	5011.000000	568.540193	4697.000000	568.540193	4908.000000	568.540193	4785.000000	568.540193	4979.000000	568.540193	4670.000000
569.260414	4949.000000	569.260414	4227.000000	569.260414	5334.000000	569.260414	4353.000000	569.260414	4378.000000	569.260414	38071.000000	569.260414	4629.000000	569.260414	4884.000000	569.260414	4747.000000	569.260414	4808.000000	569.260414	4726.000000	569.260414	4872.000000	569.260414	4689.000000
569.980571	4972.000000	569.980571	4360.000000	569.980571	5363.000000	569.980571	4384.000000	569.980571	4347.000000	569.980571	38294.000000	569.980571	4675.000000	569.980571	4818.000000	569.980571	4634.000000	569.980571	4769.000000	569.980571	4704.000000	569.980571	4948.000000	569.980571	4570.000000
570.700664	4963.000000	570.700664	4294.000000	570.700664	5341.000000	570.700664	4333.000000	570.700664	4315.000000	570.700664	38371.000000	570.700664	4673.000000	570.700664	4809.000000	570.700664	4747.000000	570.700664	4773.000000	570.700664	4561.000000	570.700664	4923.000000	570.700664	4651.000000
571.420694	4975.000000	571.420694	4231.000000	571.420694	5337.000000	571.420694	4305.000000	571.420694	4343.000000	571.420694	38552.000000	571.420694	4553.000000	571.420694	4900.000000	571.420694	4839.000000	571.420694	4834.000000	571.420694	4694.000000	571.420694	4859.000000	571.420694	4523.000000
572.140660	4886.000000	572.140660	4186.000000	572.140660	5280.000000	572.140660	4346.000000	572.140660	4291.000000	572.140660	38548.000000	572.140660	4680.000000	572.140660	4850.000000	572.140660	4537.000000	572.140660	4783.000000	572.140660	4585.000000	572.140660	4793.000000	572.140660	4597.000000
572.860562	4798.000000	572.860562	4183.000000	572.860562	5310.000000	572.860562	4218.000000	572.860562	4390.000000	572.860562	38451.000000	572.860562	4621.000000	572.860562	4740.000000	572.860562	4538.000000	572.860562	4773.000000	572.860562	4524.000000	572.860562	4780.000000	572.860562	4630.000000
573.580401	4865.000000	573.580401	4247.000000	573.580401	5221.000000	573.580401	4259.000000	573.580401	4246.000000	573.580401	38508.000000	573.580401	4679.000000	573.580401	4860.000000	573.580401	4607.000000	573.580401	4766.000000	573.580401	4481.000000	573.580401	4756.000000	573.580401	4496.000000
574.300176	4876.000000	574.300176	4119.000000	574.300176	5319.000000	574.300176	4289.000000	574.300176	4356.000000	574.300176	38325.000000	574.300176	4543.000000	574.300176	4830.000000	574.300176	4611.000000	574.300176	4709.000000	574.300176	4480.000000	574.300176	4730.000000	574.300176	4454.000000
575.019887	4791.000000	575.019887	4023.000000	575.019887	5219.000000	575.019887	4252.000000	575.019887	4249.000000	575.019887	38259.000000	575.019887	4545.000000	575.019887	4846.000000	575.019887	4585.000000	575.019887	4652.000000	575.019887	4396.000000	575.019887	4683.000000	575.019887	4461.000000
575.739534	4747.000000	575.739534	4064.000000	575.739534	5210.000000	575.739534	4213.000000	575.739534	4269.000000	575.739534	38525.000000	575.739534	4446.000000	575.739534	4661.000000	575.739534	4454.000000	575.739534	4608.000000	575.739534	4469.000000	575.739534	4712.000000	575.739534	4416.000000
576.459118	4722.000000	576.459118	4016.000000	576.459118	5053.000000	576.459118	4276.000000	576.459118	4248.000000	576.459118	38432.000000	576.459118	4466.000000	576.459118	4674.000000	576.459118	4498.000000	576.459118	4573.000000	576.459118	4528.000000	576.459118	4716.000000	576.459118	4439.000000
577.178638	4742.000000	577.178638	4024.000000	577.178638	5155.000000	577.178638	4165.000000	577.178638	4353.000000	577.178638	38383.000000	577.178638	4471.000000	577.178638	4717.000000	577.178638	4568.000000	577.178638	4643.000000	577.178638	4515.000000	577.178638	4625.000000	577.178638	4397.000000
577.898094	4720.000000	577.898094	3957.000000	577.898094	5161.000000	577.898094	4098.000000	577.898094	4138.000000	577.898094	38770.000000	577.898094	4480.000000	577.898094	4733.000000	577.898094	4477.000000	577.898094	4583.000000	577.898094	4462.000000	577.898094	4616.000000	577.898094	4413.000000
578.617487	4683.000000	578.617487	3982.000000	578.617487	5082.000000	578.617487	4132.000000	578.617487	4269.000000	578.617487	38662.000000	578.617487	4421.000000	578.617487	4608.000000	578.617487	4469.000000	578.617487	4579.000000	578.617487	4466.000000	578.617487	4749.000000	578.617487	4404.000000
579.336816	4636.000000	579.336816	3925.000000	579.336816	5063.000000	579.336816	4125.000000	579.336816	4185.000000	579.336816	38491.000000	579.336816	4424.000000	579.336816	4545.000000	579.336816	4457.000000	579.336816	4594.000000	579.336816	4451.000000	579.336816	4582.000000	579.336816	4383.000000
580.056081	4643.000000	580.056081	3971.000000	580.056081	5094.000000	580.056081	4016.000000	580.056081	4285.000000	580.056081	38688.000000	580.056081	4431.000000	580.056081	4635.000000	580.056081	4403.000000	580.056081	4415.000000	580.056081	4374.000000	580.056081	4591.000000	580.056081	4358.000000
580.775283	4633.000000	580.775283	3934.000000	580.775283	4894.000000	580.775283	4088.000000	580.775283	4272.000000	580.775283	38691.000000	580.775283	4462.000000	580.775283	4602.000000	580.775283	4359.000000	580.775283	4513.000000	580.775283	4396.000000	580.775283	4548.000000	580.775283	4325.000000
581.494421	4523.000000	581.494421	3930.000000	581.494421	4974.000000	581.494421	4153.000000	581.494421	4220.000000	581.494421	38691.000000	581.494421	4346.000000	581.494421	4589.000000	581.494421	4307.000000	581.494421	4523.000000	581.494421	4457.000000	581.494421	4656.000000	581.494421	4276.000000
582.213495	4434.000000	582.213495	3900.000000	582.213495	5033.000000	582.213495	4101.000000	582.213495	4160.000000	582.213495	38528.000000	582.213495	4328.000000	582.213495	4614.000000	582.213495	4389.000000	582.213495	4518.000000	582.213495	4290.000000	582.213495	4631.000000	582.213495	4270.000000
