X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y
559.892568	3878.000000	559.892568	3009.000000	559.892568	3686.000000	559.892568	6254.000000	559.892568	5534.000000	559.892568	5253.000000	559.892568	5206.000000	559.892568	5117.000000	559.892568	3617.000000	559.892568	3658.000000
560.613554	3955.000000	560.613554	2965.000000	560.613554	3663.000000	560.613554	6082.000000	560.613554	5482.000000	560.613554	5313.000000	560.613554	5251.000000	560.613554	5076.000000	560.613554	3566.000000	560.613554	3587.000000
561.334477	3907.000000	561.334477	2944.000000	561.334477	3636.000000	561.334477	6017.000000	561.334477	5477.000000	561.334477	5233.000000	561.334477	5107.000000	561.334477	4991.000000	561.334477	3549.000000	561.334477	3522.000000
562.055336	3888.000000	562.055336	2982.000000	562.055336	3659.000000	562.055336	6106.000000	562.055336	5378.000000	562.055336	5204.000000	562.055336	4940.000000	562.055336	5003.000000	562.055336	3474.000000	562.055336	3572.000000
562.776130	3818.000000	562.776130	3003.000000	562.776130	3630.000000	562.776130	6079.000000	562.776130	5371.000000	562.776130	5189.000000	562.776130	4962.000000	562.776130	4851.000000	562.776130	3517.000000	562.776130	3478.000000
563.496862	3820.000000	563.496862	2865.000000	563.496862	3621.000000	563.496862	5779.000000	563.496862	5130.000000	563.496862	5089.000000	563.496862	4872.000000	563.496862	4896.000000	563.496862	3357.000000	563.496862	3436.000000
564.217529	3827.000000	564.217529	2847.000000	564.217529	3600.000000	564.217529	5895.000000	564.217529	5173.000000	564.217529	5062.000000	564.217529	4822.000000	564.217529	4908.000000	564.217529	3424.000000	564.217529	3328.000000
564.938132	3862.000000	564.938132	2827.000000	564.938132	3494.000000	564.938132	5780.000000	564.938132	5198.000000	564.938132	4932.000000	564.938132	4805.000000	564.938132	4652.000000	564.938132	3406.000000	564.938132	3460.000000
565.658672	3829.000000	565.658672	2860.000000	565.658672	3556.000000	565.658672	5724.000000	565.658672	5101.000000	565.658672	4940.000000	565.658672	4731.000000	565.658672	4687.000000	565.658672	3263.000000	565.658672	3363.000000
566.379148	3837.000000	566.379148	2768.000000	566.379148	3430.000000	566.379148	5692.000000	566.379148	5038.000000	566.379148	4824.000000	566.379148	4752.000000	566.379148	4630.000000	566.379148	3331.000000	566.379148	3227.000000
567.099560	3741.000000	567.099560	2760.000000	567.099560	3470.000000	567.099560	5829.000000	567.099560	5048.000000	567.099560	4804.000000	567.099560	4682.000000	567.099560	4673.000000	567.099560	3402.000000	567.099560	3252.000000
567.819908	3641.000000	567.819908	2756.000000	567.819908	3407.000000	567.819908	5648.000000	567.819908	4963.000000	567.819908	4847.000000	567.819908	4609.000000	567.819908	4545.000000	567.819908	3309.000000	567.819908	3179.000000
568.540193	3660.000000	568.540193	2758.000000	568.540193	3373.000000	568.540193	5635.000000	568.540193	4945.000000	568.540193	4734.000000	568.540193	4650.000000	568.540193	4481.000000	568.540193	3274.000000	568.540193	3291.000000
569.260414	3652.000000	569.260414	2692.000000	569.260414	3392.000000	569.260414	5475.000000	569.260414	4936.000000	569.260414	4733.000000	569.260414	4535.000000	569.260414	4489.000000	569.260414	3255.000000	569.260414	3212.000000
569.980571	3705.000000	569.980571	2698.000000	569.980571	3364.000000	569.980571	5588.000000	569.980571	4937.000000	569.980571	4637.000000	569.980571	4526.000000	569.980571	4488.000000	569.980571	3163.000000	569.980571	3221.000000
570.700664	3748.000000	570.700664	2675.000000	570.700664	3391.000000	570.700664	5577.000000	570.700664	4838.000000	570.700664	4626.000000	570.700664	4530.000000	570.700664	4411.000000	570.700664	3184.000000	570.700664	3188.000000
571.420694	3760.000000	571.420694	2620.000000	571.420694	3404.000000	571.420694	5572.000000	571.420694	4947.000000	571.420694	4547.000000	571.420694	4545.000000	571.420694	4405.000000	571.420694	3140.000000	571.420694	3147.000000
572.140660	3636.000000	572.140660	2663.000000	572.140660	3451.000000	572.140660	5439.000000	572.140660	4751.000000	572.140660	4541.000000	572.140660	4510.000000	572.140660	4311.000000	572.140660	3180.000000	572.140660	3149.000000
572.860562	3645.000000	572.860562	2636.000000	572.860562	3359.000000	572.860562	5493.000000	572.860562	4682.000000	572.860562	4652.000000	572.860562	4416.000000	572.860562	4279.000000	572.860562	3092.000000	572.860562	3160.000000
573.580401	3649.000000	573.580401	2649.000000	573.580401	3338.000000	573.580401	5342.000000	573.580401	4735.000000	573.580401	4480.000000	573.580401	4333.000000	573.580401	4301.000000	573.580401	3147.000000	573.580401	3123.000000
574.300176	3574.000000	574.300176	2620.000000	574.300176	3301.000000	574.300176	5328.000000	574.300176	4623.000000	574.300176	4529.000000	574.300176	4374.000000	574.300176	4296.000000	574.300176	3088.000000	574.300176	3099.000000
575.019887	3695.000000	575.019887	2530.000000	575.019887	3345.000000	575.019887	5310.000000	575.019887	4698.000000	575.019887	4392.000000	575.019887	4212.000000	575.019887	4218.000000	575.019887	3054.000000	575.019887	3053.000000
575.739534	3618.000000	575.739534	2568.000000	575.739534	3256.000000	575.739534	5318.000000	575.739534	4737.000000	575.739534	4315.000000	575.739534	4265.000000	575.739534	4198.000000	575.739534	3070.000000	575.739534	3014.000000
576.459118	3574.000000	576.459118	2576.000000	576.459118	3224.000000	576.459118	5270.000000	576.459118	4638.000000	576.459118	4344.000000	576.459118	4236.000000	576.459118	4201.000000	576.459118	3067.000000	576.459118	3056.000000
577.178638	3609.000000	577.178638	2542.000000	577.178638	3307.000000	577.178638	5195.000000	577.178638	4619.000000	577.178638	4230.000000	577.178638	4235.000000	577.178638	4201.000000	577.178638	2990.000000	577.178638	2957.000000
577.898094	3644.000000	577.898094	2528.000000	577.898094	3290.000000	577.898094	5238.000000	577.898094	4514.000000	577.898094	4342.000000	577.898094	4291.000000	577.898094	4117.000000	577.898094	3019.000000	577.898094	2945.000000
578.617487	3608.000000	578.617487	2503.000000	578.617487	3265.000000	578.617487	5191.000000	578.617487	4558.000000	578.617487	4266.000000	578.617487	4144.000000	578.617487	4111.000000	578.617487	3006.000000	578.617487	2903.000000
579.336816	3587.000000	579.336816	2511.000000	579.336816	3241.000000	579.336816	5178.000000	579.336816	4526.000000	579.336816	4316.000000	579.336816	4124.000000	579.336816	3985.000000	579.336816	2996.000000	579.336816	2979.000000
580.056081	3533.000000	580.056081	2527.000000	580.056081	3193.000000	580.056081	5125.000000	580.056081	4522.000000	580.056081	4228.000000	580.056081	4036.000000	580.056081	4028.000000	580.056081	3017.000000	580.056081	2890.000000
580.775283	3507.000000	580.775283	2467.000000	580.775283	3205.000000	580.775283	5121.000000	580.775283	4450.000000	580.775283	4236.000000	580.775283	4099.000000	580.775283	3993.000000	580.775283	2982.000000	580.775283	2892.000000
581.494421	3589.000000	581.494421	2469.000000	581.494421	3257.000000	581.494421	5074.000000	581.494421	4420.000000	581.494421	4190.000000	581.494421	4027.000000	581.494421	3868.000000	581.494421	3031.000000	581.494421	2844.000000
