X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y
559.892568	6285.000000	559.892568	6789.000000	559.892568	6118.000000	559.892568	5402.000000	559.892568	5546.000000	559.892568	5829.000000	559.892568	5462.000000	559.892568	4491.000000	559.892568	5150.000000	559.892568	3561.000000	559.892568	5885.000000
560.613554	6226.000000	560.613554	6714.000000	560.613554	6218.000000	560.613554	5349.000000	560.613554	5480.000000	560.613554	5805.000000	560.613554	5491.000000	560.613554	4552.000000	560.613554	5142.000000	560.613554	3498.000000	560.613554	5757.000000
561.334477	6151.000000	561.334477	6623.000000	561.334477	6085.000000	561.334477	5362.000000	561.334477	5402.000000	561.334477	5802.000000	561.334477	5556.000000	561.334477	4548.000000	561.334477	5159.000000	561.334477	3569.000000	561.334477	5730.000000
562.055336	6047.000000	562.055336	6491.000000	562.055336	6117.000000	562.055336	5250.000000	562.055336	5364.000000	562.055336	5634.000000	562.055336	5460.000000	562.055336	4482.000000	562.055336	5150.000000	562.055336	3413.000000	562.055336	5636.000000
562.776130	5961.000000	562.776130	6407.000000	562.776130	5902.000000	562.776130	5244.000000	562.776130	5238.000000	562.776130	5681.000000	562.776130	5508.000000	562.776130	4459.000000	562.776130	5083.000000	562.776130	3429.000000	562.776130	5499.000000
563.496862	5968.000000	563.496862	6442.000000	563.496862	5838.000000	563.496862	5255.000000	563.496862	5290.000000	563.496862	5760.000000	563.496862	5451.000000	563.496862	4422.000000	563.496862	4975.000000	563.496862	3400.000000	563.496862	5550.000000
564.217529	5894.000000	564.217529	6452.000000	564.217529	5856.000000	564.217529	5219.000000	564.217529	5257.000000	564.217529	5672.000000	564.217529	5383.000000	564.217529	4360.000000	564.217529	5123.000000	564.217529	3353.000000	564.217529	5438.000000
564.938132	5856.000000	564.938132	6485.000000	564.938132	5813.000000	564.938132	5170.000000	564.938132	5263.000000	564.938132	5592.000000	564.938132	5249.000000	564.938132	4365.000000	564.938132	5000.000000	564.938132	3370.000000	564.938132	5447.000000
565.658672	5915.000000	565.658672	6303.000000	565.658672	5755.000000	565.658672	5175.000000	565.658672	5198.000000	565.658672	5636.000000	565.658672	5436.000000	565.658672	4415.000000	565.658672	4978.000000	565.658672	3383.000000	565.658672	5549.000000
566.379148	5901.000000	566.379148	6282.000000	566.379148	5726.000000	566.379148	5141.000000	566.379148	5144.000000	566.379148	5678.000000	566.379148	5327.000000	566.379148	4355.000000	566.379148	4941.000000	566.379148	3319.000000	566.379148	5412.000000
567.099560	5651.000000	567.099560	6308.000000	567.099560	5652.000000	567.099560	5131.000000	567.099560	5279.000000	567.099560	5666.000000	567.099560	5337.000000	567.099560	4392.000000	567.099560	5020.000000	567.099560	3303.000000	567.099560	5253.000000
567.819908	5698.000000	567.819908	6177.000000	567.819908	5577.000000	567.819908	5190.000000	567.819908	5135.000000	567.819908	5487.000000	567.819908	5272.000000	567.819908	4348.000000	567.819908	4986.000000	567.819908	3334.000000	567.819908	5397.000000
568.540193	5749.000000	568.540193	6131.000000	568.540193	5555.000000	568.540193	5154.000000	568.540193	5148.000000	568.540193	5455.000000	568.540193	5311.000000	568.540193	4315.000000	568.540193	4909.000000	568.540193	3274.000000	568.540193	5406.000000
569.260414	5701.000000	569.260414	6143.000000	569.260414	5590.000000	569.260414	5038.000000	569.260414	5085.000000	569.260414	5489.000000	569.260414	5346.000000	569.260414	4319.000000	569.260414	4912.000000	569.260414	3272.000000	569.260414	5275.000000
569.980571	5587.000000	569.980571	6051.000000	569.980571	5573.000000	569.980571	5028.000000	569.980571	5163.000000	569.980571	5455.000000	569.980571	5314.000000	569.980571	4305.000000	569.980571	4930.000000	569.980571	3226.000000	569.980571	5245.000000
570.700664	5495.000000	570.700664	6025.000000	570.700664	5442.000000	570.700664	4928.000000	570.700664	4945.000000	570.700664	5474.000000	570.700664	5237.000000	570.700664	4234.000000	570.700664	4972.000000	570.700664	3270.000000	570.700664	5239.000000
571.420694	5511.000000	571.420694	6051.000000	571.420694	5325.000000	571.420694	4915.000000	571.420694	4991.000000	571.420694	5422.000000	571.420694	5225.000000	571.420694	4350.000000	571.420694	4955.000000	571.420694	3265.000000	571.420694	5365.000000
572.140660	5419.000000	572.140660	5945.000000	572.140660	5412.000000	572.140660	4962.000000	572.140660	5070.000000	572.140660	5457.000000	572.140660	5138.000000	572.140660	4223.000000	572.140660	4765.000000	572.140660	3164.000000	572.140660	5301.000000
572.860562	5430.000000	572.860562	5938.000000	572.860562	5359.000000	572.860562	5044.000000	572.860562	5048.000000	572.860562	5413.000000	572.860562	5302.000000	572.860562	4190.000000	572.860562	4824.000000	572.860562	3179.000000	572.860562	5204.000000
573.580401	5350.000000	573.580401	5914.000000	573.580401	5321.000000	573.580401	4961.000000	573.580401	4995.000000	573.580401	5363.000000	573.580401	5126.000000	573.580401	4277.000000	573.580401	4823.000000	573.580401	3208.000000	573.580401	5261.000000
574.300176	5391.000000	574.300176	5879.000000	574.300176	5252.000000	574.300176	5001.000000	574.300176	4932.000000	574.300176	5453.000000	574.300176	5243.000000	574.300176	4166.000000	574.300176	4797.000000	574.300176	3174.000000	574.300176	5131.000000
575.019887	5275.000000	575.019887	5886.000000	575.019887	5340.000000	575.019887	4995.000000	575.019887	4813.000000	575.019887	5303.000000	575.019887	5199.000000	575.019887	4156.000000	575.019887	4784.000000	575.019887	3119.000000	575.019887	5108.000000
575.739534	5331.000000	575.739534	5842.000000	575.739534	5286.000000	575.739534	4924.000000	575.739534	4892.000000	575.739534	5391.000000	575.739534	5143.000000	575.739534	4221.000000	575.739534	4828.000000	575.739534	3120.000000	575.739534	5022.000000
576.459118	5336.000000	576.459118	5868.000000	576.459118	5194.000000	576.459118	4919.000000	576.459118	4920.000000	576.459118	5443.000000	576.459118	5141.000000	576.459118	4076.000000	576.459118	4676.000000	576.459118	3092.000000	576.459118	4971.000000
577.178638	5220.000000	577.178638	5833.000000	577.178638	5116.000000	577.178638	4928.000000	577.178638	4858.000000	577.178638	5966.000000	577.178638	5163.000000	577.178638	4132.000000	577.178638	4715.000000	577.178638	3084.000000	577.178638	4929.000000
577.898094	5255.000000	577.898094	5795.000000	577.898094	5264.000000	577.898094	4918.000000	577.898094	4943.000000	577.898094	6249.000000	577.898094	5162.000000	577.898094	4139.000000	577.898094	4771.000000	577.898094	3054.000000	577.898094	5038.000000
578.617487	5157.000000	578.617487	5619.000000	578.617487	5141.000000	578.617487	4767.000000	578.617487	4811.000000	578.617487	5948.000000	578.617487	5166.000000	578.617487	4165.000000	578.617487	4724.000000	578.617487	3009.000000	578.617487	4864.000000
579.336816	5246.000000	579.336816	5809.000000	579.336816	5084.000000	579.336816	4701.000000	579.336816	4861.000000	579.336816	5422.000000	579.336816	5021.000000	579.336816	4090.000000	579.336816	4719.000000	579.336816	3034.000000	579.336816	4854.000000
