X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y
559.892568	5844.000000	559.892568	5935.000000	559.892568	4600.000000	559.892568	8553.000000	559.892568	5164.000000	559.892568	6261.000000	559.892568	5234.000000	559.892568	4833.000000	559.892568	4301.000000	559.892568	4187.000000	559.892568	6842.000000	559.892568	4082.000000
560.613554	5903.000000	560.613554	6019.000000	560.613554	4413.000000	560.613554	8537.000000	560.613554	5142.000000	560.613554	6249.000000	560.613554	5277.000000	560.613554	4763.000000	560.613554	4267.000000	560.613554	4073.000000	560.613554	6830.000000	560.613554	3996.000000
561.334477	5793.000000	561.334477	5948.000000	561.334477	4520.000000	561.334477	8551.000000	561.334477	5122.000000	561.334477	6159.000000	561.334477	5258.000000	561.334477	4698.000000	561.334477	4159.000000	561.334477	4045.000000	561.334477	6798.000000	561.334477	3975.000000
562.055336	5782.000000	562.055336	5933.000000	562.055336	4513.000000	562.055336	8411.000000	562.055336	5165.000000	562.055336	6163.000000	562.055336	5127.000000	562.055336	4619.000000	562.055336	4208.000000	562.055336	3998.000000	562.055336	7014.000000	562.055336	4037.000000
562.776130	5693.000000	562.776130	6012.000000	562.776130	4414.000000	562.776130	8289.000000	562.776130	5015.000000	562.776130	6173.000000	562.776130	5123.000000	562.776130	4683.000000	562.776130	4126.000000	562.776130	3875.000000	562.776130	6747.000000	562.776130	3864.000000
563.496862	5683.000000	563.496862	5946.000000	563.496862	4460.000000	563.496862	8371.000000	563.496862	5026.000000	563.496862	5973.000000	563.496862	5039.000000	563.496862	4525.000000	563.496862	4031.000000	563.496862	3898.000000	563.496862	6820.000000	563.496862	3952.000000
564.217529	5575.000000	564.217529	5883.000000	564.217529	4398.000000	564.217529	8370.000000	564.217529	4990.000000	564.217529	6016.000000	564.217529	4976.000000	564.217529	4545.000000	564.217529	4088.000000	564.217529	3901.000000	564.217529	6668.000000	564.217529	3852.000000
564.938132	5541.000000	564.938132	5845.000000	564.938132	4433.000000	564.938132	8359.000000	564.938132	5063.000000	564.938132	5982.000000	564.938132	4950.000000	564.938132	4557.000000	564.938132	3908.000000	564.938132	3914.000000	564.938132	6697.000000	564.938132	3874.000000
565.658672	5458.000000	565.658672	5829.000000	565.658672	4447.000000	565.658672	8429.000000	565.658672	5034.000000	565.658672	5935.000000	565.658672	4942.000000	565.658672	4475.000000	565.658672	4000.000000	565.658672	3772.000000	565.658672	6685.000000	565.658672	3824.000000
566.379148	5491.000000	566.379148	5903.000000	566.379148	4373.000000	566.379148	8374.000000	566.379148	4908.000000	566.379148	5842.000000	566.379148	4820.000000	566.379148	4433.000000	566.379148	3875.000000	566.379148	3829.000000	566.379148	6610.000000	566.379148	3872.000000
567.099560	5345.000000	567.099560	5772.000000	567.099560	4328.000000	567.099560	8358.000000	567.099560	4918.000000	567.099560	5941.000000	567.099560	4917.000000	567.099560	4368.000000	567.099560	3975.000000	567.099560	3783.000000	567.099560	6630.000000	567.099560	3885.000000
567.819908	5381.000000	567.819908	5780.000000	567.819908	4311.000000	567.819908	8244.000000	567.819908	4856.000000	567.819908	5867.000000	567.819908	4915.000000	567.819908	4410.000000	567.819908	3903.000000	567.819908	3763.000000	567.819908	6706.000000	567.819908	3775.000000
568.540193	5355.000000	568.540193	5829.000000	568.540193	4360.000000	568.540193	8311.000000	568.540193	4946.000000	568.540193	5862.000000	568.540193	4959.000000	568.540193	4242.000000	568.540193	3810.000000	568.540193	3707.000000	568.540193	6693.000000	568.540193	3875.000000
569.260414	5212.000000	569.260414	5766.000000	569.260414	4313.000000	569.260414	8230.000000	569.260414	4914.000000	569.260414	5829.000000	569.260414	4819.000000	569.260414	4264.000000	569.260414	3796.000000	569.260414	3597.000000	569.260414	6690.000000	569.260414	3815.000000
569.980571	5350.000000	569.980571	5790.000000	569.980571	4256.000000	569.980571	8275.000000	569.980571	4918.000000	569.980571	5902.000000	569.980571	4834.000000	569.980571	4218.000000	569.980571	3675.000000	569.980571	3639.000000	569.980571	6602.000000	569.980571	3849.000000
570.700664	5265.000000	570.700664	5692.000000	570.700664	4293.000000	570.700664	8316.000000	570.700664	4784.000000	570.700664	5781.000000	570.700664	4784.000000	570.700664	4208.000000	570.700664	3817.000000	570.700664	3629.000000	570.700664	6618.000000	570.700664	3854.000000
571.420694	5188.000000	571.420694	5767.000000	571.420694	4271.000000	571.420694	8200.000000	571.420694	4847.000000	571.420694	5829.000000	571.420694	4750.000000	571.420694	4171.000000	571.420694	3767.000000	571.420694	3633.000000	571.420694	6527.000000	571.420694	3782.000000
572.140660	5205.000000	572.140660	5779.000000	572.140660	4403.000000	572.140660	7994.000000	572.140660	4919.000000	572.140660	5590.000000	572.140660	4875.000000	572.140660	4151.000000	572.140660	3724.000000	572.140660	3619.000000	572.140660	6621.000000	572.140660	3749.000000
572.860562	5183.000000	572.860562	5883.000000	572.860562	4313.000000	572.860562	8116.000000	572.860562	4852.000000	572.860562	5709.000000	572.860562	4799.000000	572.860562	4141.000000	572.860562	3703.000000	572.860562	3585.000000	572.860562	6579.000000	572.860562	3724.000000
573.580401	5092.000000	573.580401	5753.000000	573.580401	4187.000000	573.580401	8280.000000	573.580401	4872.000000	573.580401	5707.000000	573.580401	4720.000000	573.580401	4104.000000	573.580401	3670.000000	573.580401	3546.000000	573.580401	6519.000000	573.580401	3706.000000
574.300176	5143.000000	574.300176	5682.000000	574.300176	4196.000000	574.300176	8240.000000	574.300176	4776.000000	574.300176	5732.000000	574.300176	4724.000000	574.300176	3980.000000	574.300176	3539.000000	574.300176	3486.000000	574.300176	6443.000000	574.300176	3743.000000
575.019887	4960.000000	575.019887	5693.000000	575.019887	4257.000000	575.019887	8062.000000	575.019887	4684.000000	575.019887	5657.000000	575.019887	4686.000000	575.019887	4103.000000	575.019887	3660.000000	575.019887	3493.000000	575.019887	6620.000000	575.019887	3737.000000
