X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y
559.892568	2835.000000	559.892568	1944.000000	559.892568	2163.000000	559.892568	1914.000000	559.892568	1767.000000	559.892568	1690.000000	559.892568	2078.000000	559.892568	3196.000000	559.892568	2175.000000	559.892568	2055.000000	559.892568	1545.000000	559.892568	2083.000000	559.892568	39966.000000	559.892568	1871.000000	559.892568	2095.000000
560.613554	2723.000000	560.613554	1924.000000	560.613554	2168.000000	560.613554	2025.000000	560.613554	1782.000000	560.613554	1655.000000	560.613554	2042.000000	560.613554	3208.000000	560.613554	2224.000000	560.613554	2042.000000	560.613554	1510.000000	560.613554	2016.000000	560.613554	39931.000000	560.613554	1870.000000	560.613554	2023.000000
561.334477	2749.000000	561.334477	1982.000000	561.334477	2120.000000	561.334477	1892.000000	561.334477	1740.000000	561.334477	1678.000000	561.334477	2013.000000	561.334477	3162.000000	561.334477	2143.000000	561.334477	2063.000000	561.334477	1470.000000	561.334477	2005.000000	561.334477	40034.000000	561.334477	1751.000000	561.334477	1981.000000
562.055336	2707.000000	562.055336	1896.000000	562.055336	2023.000000	562.055336	1917.000000	562.055336	1758.000000	562.055336	1671.000000	562.055336	2036.000000	562.055336	3168.000000	562.055336	2207.000000	562.055336	2066.000000	562.055336	1467.000000	562.055336	1990.000000	562.055336	39909.000000	562.055336	1784.000000	562.055336	2027.000000
562.776130	2751.000000	562.776130	1883.000000	562.776130	2032.000000	562.776130	1874.000000	562.776130	1763.000000	562.776130	1649.000000	562.776130	2065.000000	562.776130	3261.000000	562.776130	2173.000000	562.776130	2008.000000	562.776130	1483.000000	562.776130	2009.000000	562.776130	39990.000000	562.776130	1771.000000	562.776130	1967.000000
563.496862	2745.000000	563.496862	1821.000000	563.496862	2097.000000	563.496862	1856.000000	563.496862	1668.000000	563.496862	1677.000000	563.496862	2030.000000	563.496862	3189.000000	563.496862	2202.000000	563.496862	2050.000000	563.496862	1530.000000	563.496862	1975.000000	563.496862	40089.000000	563.496862	1735.000000	563.496862	2065.000000
564.217529	2662.000000	564.217529	1937.000000	564.217529	2033.000000	564.217529	1909.000000	564.217529	1742.000000	564.217529	1595.000000	564.217529	1986.000000	564.217529	3145.000000	564.217529	2165.000000	564.217529	2034.000000	564.217529	1523.000000	564.217529	2008.000000	564.217529	40154.000000	564.217529	1798.000000	564.217529	1990.000000
564.938132	2667.000000	564.938132	1816.000000	564.938132	2017.000000	564.938132	1901.000000	564.938132	1690.000000	564.938132	1661.000000	564.938132	2025.000000	564.938132	3229.000000	564.938132	2137.000000	564.938132	2003.000000	564.938132	1445.000000	564.938132	1951.000000	564.938132	39999.000000	564.938132	1782.000000	564.938132	2065.000000
565.658672	2602.000000	565.658672	1844.000000	565.658672	2025.000000	565.658672	1907.000000	565.658672	1655.000000	565.658672	1611.000000	565.658672	2040.000000	565.658672	3161.000000	565.658672	2157.000000	565.658672	2012.000000	565.658672	1454.000000	565.658672	1940.000000	565.658672	39980.000000	565.658672	1704.000000	565.658672	1936.000000
566.379148	2776.000000	566.379148	1839.000000	566.379148	2014.000000	566.379148	1861.000000	566.379148	1663.000000	566.379148	1605.000000	566.379148	1998.000000	566.379148	3109.000000	566.379148	2129.000000	566.379148	1955.000000	566.379148	1484.000000	566.379148	1919.000000	566.379148	40027.000000	566.379148	1752.000000	566.379148	2034.000000
567.099560	2633.000000	567.099560	1793.000000	567.099560	1994.000000	567.099560	1787.000000	567.099560	1704.000000	567.099560	1605.000000	567.099560	1964.000000	567.099560	3152.000000	567.099560	2176.000000	567.099560	2009.000000	567.099560	1495.000000	567.099560	1934.000000	567.099560	39977.000000	567.099560	1696.000000	567.099560	1945.000000
567.819908	2603.000000	567.819908	1854.000000	567.819908	2020.000000	567.819908	1865.000000	567.819908	1648.000000	567.819908	1648.000000	567.819908	2012.000000	567.819908	3129.000000	567.819908	2128.000000	567.819908	1930.000000	567.819908	1464.000000	567.819908	1944.000000	567.819908	40086.000000	567.819908	1745.000000	567.819908	1946.000000
568.540193	2633.000000	568.540193	1800.000000	568.540193	1956.000000	568.540193	1776.000000	568.540193	1690.000000	568.540193	1608.000000	568.540193	1945.000000	568.540193	3234.000000	568.540193	2112.000000	568.540193	1967.000000	568.540193	1472.000000	568.540193	1899.000000	568.540193	39663.000000	568.540193	1713.000000	568.540193	1915.000000
569.260414	2638.000000	569.260414	1872.000000	569.260414	1920.000000	569.260414	1797.000000	569.260414	1643.000000	569.260414	1569.000000	569.260414	1978.000000	569.260414	3125.000000	569.260414	2126.000000	569.260414	1934.000000	569.260414	1409.000000	569.260414	1948.000000	569.260414	39661.000000	569.260414	1706.000000	569.260414	1935.000000
569.980571	2661.000000	569.980571	1795.000000	569.980571	1963.000000	569.980571	1816.000000	569.980571	1667.000000	569.980571	1605.000000	569.980571	2005.000000	569.980571	3000.000000	569.980571	2144.000000	569.980571	1948.000000	569.980571	1426.000000	569.980571	1939.000000	569.980571	40015.000000	569.980571	1709.000000	569.980571	1941.000000
570.700664	2598.000000	570.700664	1806.000000	570.700664	1929.000000	570.700664	1787.000000	570.700664	1650.000000	570.700664	1545.000000	570.700664	1932.000000	570.700664	3143.000000	570.700664	2061.000000	570.700664	1952.000000	570.700664	1431.000000	570.700664	1908.000000	570.700664	40263.000000	570.700664	1676.000000	570.700664	1929.000000
571.420694	2578.000000	571.420694	1756.000000	571.420694	1978.000000	571.420694	1785.000000	571.420694	1676.000000	571.420694	1615.000000	571.420694	1966.000000	571.420694	3132.000000	571.420694	2141.000000	571.420694	1874.000000	571.420694	1489.000000	571.420694	1915.000000	571.420694	39976.000000	571.420694	1670.000000	571.420694	1923.000000
572.140660	2664.000000	572.140660	1797.000000	572.140660	1908.000000	572.140660	1786.000000	572.140660	1643.000000	572.140660	1566.000000	572.140660	1946.000000	572.140660	3172.000000	572.140660	2105.000000	572.140660	1875.000000	572.140660	1447.000000	572.140660	1903.000000	572.140660	39689.000000	572.140660	1692.000000	572.140660	1902.000000
572.860562	2563.000000	572.860562	1747.000000	572.860562	1890.000000	572.860562	1825.000000	572.860562	1637.000000	572.860562	1587.000000	572.860562	1870.000000	572.860562	3118.000000	572.860562	2080.000000	572.860562	1925.000000	572.860562	1421.000000	572.860562	1865.000000	572.860562	39848.000000	572.860562	1721.000000	572.860562	1901.000000
573.580401	2542.000000	573.580401	1744.000000	573.580401	1911.000000	573.580401	1783.000000	573.580401	1653.000000	573.580401	1525.000000	573.580401	1944.000000	573.580401	3101.000000	573.580401	2148.000000	573.580401	1899.000000	573.580401	1463.000000	573.580401	1889.000000	573.580401	40441.000000	573.580401	1723.000000	573.580401	1933.000000
574.300176	2675.000000	574.300176	1725.000000	574.300176	1948.000000	574.300176	1731.000000	574.300176	1660.000000	574.300176	1537.000000	574.300176	1962.000000	574.300176	3089.000000	574.300176	2135.000000	574.300176	1878.000000	574.300176	1417.000000	574.300176	1868.000000	574.300176	40026.000000	574.300176	1697.000000	574.300176	1921.000000
575.019887	2574.000000	575.019887	1779.000000	575.019887	1902.000000	575.019887	1780.000000	575.019887	1650.000000	575.019887	1581.000000	575.019887	1886.000000	575.019887	3044.000000	575.019887	2112.000000	575.019887	1868.000000	575.019887	1414.000000	575.019887	1866.000000	575.019887	40213.000000	575.019887	1680.000000	575.019887	1890.000000
