X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y
559.892568	2166.000000	559.892568	2335.000000	559.892568	2067.000000	559.892568	2196.000000	559.892568	1860.000000	559.892568	1986.000000	559.892568	2424.000000	559.892568	2712.000000	559.892568	1891.000000	559.892568	1706.000000	559.892568	2316.000000	559.892568	2919.000000	559.892568	2406.000000	559.892568	3384.000000	559.892568	2396.000000	559.892568	3267.000000	559.892568	3527.000000	559.892568	2140.000000	559.892568	1942.000000	559.892568	2276.000000
560.613554	2198.000000	560.613554	2309.000000	560.613554	2102.000000	560.613554	2199.000000	560.613554	1875.000000	560.613554	1957.000000	560.613554	2468.000000	560.613554	2581.000000	560.613554	1868.000000	560.613554	1651.000000	560.613554	2288.000000	560.613554	2911.000000	560.613554	2434.000000	560.613554	3368.000000	560.613554	2395.000000	560.613554	3169.000000	560.613554	3487.000000	560.613554	2185.000000	560.613554	1989.000000	560.613554	2255.000000
561.334477	2208.000000	561.334477	2334.000000	561.334477	2036.000000	561.334477	2229.000000	561.334477	1803.000000	561.334477	1960.000000	561.334477	2433.000000	561.334477	2594.000000	561.334477	1880.000000	561.334477	1632.000000	561.334477	2373.000000	561.334477	2947.000000	561.334477	2382.000000	561.334477	3386.000000	561.334477	2389.000000	561.334477	3205.000000	561.334477	3533.000000	561.334477	2156.000000	561.334477	1984.000000	561.334477	2262.000000
562.055336	2168.000000	562.055336	2275.000000	562.055336	2097.000000	562.055336	2164.000000	562.055336	1880.000000	562.055336	1887.000000	562.055336	2345.000000	562.055336	2582.000000	562.055336	1898.000000	562.055336	1620.000000	562.055336	2340.000000	562.055336	2876.000000	562.055336	2382.000000	562.055336	3404.000000	562.055336	2312.000000	562.055336	3252.000000	562.055336	3507.000000	562.055336	2177.000000	562.055336	1946.000000	562.055336	2324.000000
562.776130	2091.000000	562.776130	2294.000000	562.776130	2084.000000	562.776130	2154.000000	562.776130	1816.000000	562.776130	1960.000000	562.776130	2344.000000	562.776130	2557.000000	562.776130	1896.000000	562.776130	1730.000000	562.776130	2332.000000	562.776130	2826.000000	562.776130	2424.000000	562.776130	3398.000000	562.776130	2326.000000	562.776130	3083.000000	562.776130	3461.000000	562.776130	2109.000000	562.776130	1885.000000	562.776130	2257.000000
563.496862	2137.000000	563.496862	2271.000000	563.496862	2027.000000	563.496862	2147.000000	563.496862	1805.000000	563.496862	1964.000000	563.496862	2392.000000	563.496862	2537.000000	563.496862	1812.000000	563.496862	1633.000000	563.496862	2292.000000	563.496862	2894.000000	563.496862	2310.000000	563.496862	3332.000000	563.496862	2358.000000	563.496862	3190.000000	563.496862	3466.000000	563.496862	2068.000000	563.496862	1895.000000	563.496862	2289.000000
564.217529	2130.000000	564.217529	2223.000000	564.217529	2038.000000	564.217529	2176.000000	564.217529	1856.000000	564.217529	1949.000000	564.217529	2383.000000	564.217529	2581.000000	564.217529	1827.000000	564.217529	1587.000000	564.217529	2331.000000	564.217529	2817.000000	564.217529	2336.000000	564.217529	3320.000000	564.217529	2294.000000	564.217529	3070.000000	564.217529	3491.000000	564.217529	2129.000000	564.217529	1860.000000	564.217529	2251.000000
564.938132	2126.000000	564.938132	2249.000000	564.938132	2020.000000	564.938132	2137.000000	564.938132	1850.000000	564.938132	1908.000000	564.938132	2399.000000	564.938132	2547.000000	564.938132	1851.000000	564.938132	1600.000000	564.938132	2305.000000	564.938132	2824.000000	564.938132	2409.000000	564.938132	3356.000000	564.938132	2311.000000	564.938132	3104.000000	564.938132	3420.000000	564.938132	2127.000000	564.938132	1844.000000	564.938132	2248.000000
565.658672	2093.000000	565.658672	2145.000000	565.658672	2013.000000	565.658672	2221.000000	565.658672	1844.000000	565.658672	1921.000000	565.658672	2357.000000	565.658672	2505.000000	565.658672	1875.000000	565.658672	1638.000000	565.658672	2316.000000	565.658672	2869.000000	565.658672	2336.000000	565.658672	3372.000000	565.658672	2343.000000	565.658672	3155.000000	565.658672	3362.000000	565.658672	2116.000000	565.658672	1837.000000	565.658672	2267.000000
566.379148	2109.000000	566.379148	2238.000000	566.379148	2032.000000	566.379148	2238.000000	566.379148	1812.000000	566.379148	1946.000000	566.379148	2308.000000	566.379148	2552.000000	566.379148	1845.000000	566.379148	1640.000000	566.379148	2311.000000	566.379148	2843.000000	566.379148	2373.000000	566.379148	3263.000000	566.379148	2275.000000	566.379148	3159.000000	566.379148	3418.000000	566.379148	2031.000000	566.379148	1846.000000	566.379148	2276.000000
