X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y
559.892568	1599.000000	559.892568	2267.000000	559.892568	1879.000000	559.892568	1791.000000	559.892568	7991.000000	559.892568	4652.000000	559.892568	1824.000000	559.892568	6347.000000	559.892568	6639.000000
560.613554	1580.000000	560.613554	2212.000000	560.613554	1909.000000	560.613554	1763.000000	560.613554	7897.000000	560.613554	4711.000000	560.613554	1848.000000	560.613554	6421.000000	560.613554	6784.000000
561.334477	1587.000000	561.334477	2327.000000	561.334477	1873.000000	561.334477	1765.000000	561.334477	8046.000000	561.334477	4584.000000	561.334477	1859.000000	561.334477	6349.000000	561.334477	6708.000000
562.055336	1583.000000	562.055336	2171.000000	562.055336	1840.000000	562.055336	1754.000000	562.055336	7925.000000	562.055336	4579.000000	562.055336	1875.000000	562.055336	6192.000000	562.055336	6802.000000
562.776130	1613.000000	562.776130	2199.000000	562.776130	1895.000000	562.776130	1779.000000	562.776130	8006.000000	562.776130	4602.000000	562.776130	1855.000000	562.776130	6349.000000	562.776130	6795.000000
563.496862	1529.000000	563.496862	2212.000000	563.496862	1837.000000	563.496862	1742.000000	563.496862	7830.000000	563.496862	4582.000000	563.496862	1817.000000	563.496862	6323.000000	563.496862	6649.000000
564.217529	1535.000000	564.217529	2194.000000	564.217529	1858.000000	564.217529	1734.000000	564.217529	7896.000000	564.217529	4620.000000	564.217529	1811.000000	564.217529	6457.000000	564.217529	6704.000000
564.938132	1518.000000	564.938132	2139.000000	564.938132	1829.000000	564.938132	1698.000000	564.938132	7878.000000	564.938132	4684.000000	564.938132	1756.000000	564.938132	6532.000000	564.938132	6607.000000
565.658672	1569.000000	565.658672	2204.000000	565.658672	1833.000000	565.658672	1710.000000	565.658672	7938.000000	565.658672	4652.000000	565.658672	1793.000000	565.658672	6206.000000	565.658672	6673.000000
566.379148	1561.000000	566.379148	2217.000000	566.379148	1795.000000	566.379148	1706.000000	566.379148	7967.000000	566.379148	4629.000000	566.379148	1722.000000	566.379148	6344.000000	566.379148	6697.000000
567.099560	1517.000000	567.099560	2139.000000	567.099560	1797.000000	567.099560	1697.000000	567.099560	7817.000000	567.099560	4588.000000	567.099560	1789.000000	567.099560	6302.000000	567.099560	6699.000000
567.819908	1514.000000	567.819908	2147.000000	567.819908	1815.000000	567.819908	1635.000000	567.819908	7975.000000	567.819908	4659.000000	567.819908	1796.000000	567.819908	6287.000000	567.819908	6660.000000
568.540193	1539.000000	568.540193	2130.000000	568.540193	1817.000000	568.540193	1688.000000	568.540193	7945.000000	568.540193	4657.000000	568.540193	1783.000000	568.540193	6354.000000	568.540193	6623.000000
569.260414	1483.000000	569.260414	2125.000000	569.260414	1787.000000	569.260414	1654.000000	569.260414	7857.000000	569.260414	4521.000000	569.260414	1782.000000	569.260414	6303.000000	569.260414	6785.000000
569.980571	1525.000000	569.980571	2065.000000	569.980571	1740.000000	569.980571	1614.000000	569.980571	7907.000000	569.980571	4606.000000	569.980571	1762.000000	569.980571	6154.000000	569.980571	6646.000000
570.700664	1501.000000	570.700664	2103.000000	570.700664	1703.000000	570.700664	1590.000000	570.700664	7991.000000	570.700664	4562.000000	570.700664	1739.000000	570.700664	6344.000000	570.700664	6605.000000
571.420694	1525.000000	571.420694	2115.000000	571.420694	1731.000000	571.420694	1636.000000	571.420694	7920.000000	571.420694	4606.000000	571.420694	1704.000000	571.420694	6312.000000	571.420694	6734.000000
572.140660	1499.000000	572.140660	2076.000000	572.140660	1711.000000	572.140660	1678.000000	572.140660	7864.000000	572.140660	4562.000000	572.140660	1740.000000	572.140660	6301.000000	572.140660	6730.000000
572.860562	1544.000000	572.860562	2113.000000	572.860562	1713.000000	572.860562	1653.000000	572.860562	7803.000000	572.860562	4629.000000	572.860562	1819.000000	572.860562	6277.000000	572.860562	6788.000000
573.580401	1496.000000	573.580401	2075.000000	573.580401	1756.000000	573.580401	1650.000000	573.580401	7890.000000	573.580401	4534.000000	573.580401	1740.000000	573.580401	6345.000000	573.580401	6648.000000
574.300176	1476.000000	574.300176	2069.000000	574.300176	1685.000000	574.300176	1566.000000	574.300176	7937.000000	574.300176	4564.000000	574.300176	1700.000000	574.300176	6277.000000	574.300176	6649.000000
575.019887	1500.000000	575.019887	2086.000000	575.019887	1717.000000	575.019887	1582.000000	575.019887	7926.000000	575.019887	4601.000000	575.019887	1761.000000	575.019887	6422.000000	575.019887	6673.000000
575.739534	1501.000000	575.739534	2038.000000	575.739534	1707.000000	575.739534	1591.000000	575.739534	7863.000000	575.739534	4645.000000	575.739534	1771.000000	575.739534	6231.000000	575.739534	6640.000000
576.459118	1515.000000	576.459118	2103.000000	576.459118	1696.000000	576.459118	1570.000000	576.459118	7671.000000	576.459118	4544.000000	576.459118	1687.000000	576.459118	6203.000000	576.459118	6670.000000
577.178638	1472.000000	577.178638	2096.000000	577.178638	1706.000000	577.178638	1611.000000	577.178638	7925.000000	577.178638	4577.000000	577.178638	1684.000000	577.178638	6291.000000	577.178638	6701.000000
577.898094	1455.000000	577.898094	2053.000000	577.898094	1659.000000	577.898094	1571.000000	577.898094	7946.000000	577.898094	4642.000000	577.898094	1720.000000	577.898094	6290.000000	577.898094	6736.000000
578.617487	1512.000000	578.617487	2070.000000	578.617487	1679.000000	578.617487	1580.000000	578.617487	7965.000000	578.617487	4600.000000	578.617487	1651.000000	578.617487	6390.000000	578.617487	6555.000000
579.336816	1445.000000	579.336816	2079.000000	579.336816	1679.000000	579.336816	1603.000000	579.336816	7819.000000	579.336816	4606.000000	579.336816	1680.000000	579.336816	6299.000000	579.336816	6659.000000
580.056081	1454.000000	580.056081	2006.000000	580.056081	1693.000000	580.056081	1543.000000	580.056081	7935.000000	580.056081	4527.000000	580.056081	1670.000000	580.056081	6381.000000	580.056081	6694.000000
580.775283	1519.000000	580.775283	2051.000000	580.775283	1646.000000	580.775283	1552.000000	580.775283	7821.000000	580.775283	4538.000000	580.775283	1652.000000	580.775283	6303.000000	580.775283	6598.000000
581.494421	1494.000000	581.494421	2078.000000	581.494421	1700.000000	581.494421	1537.000000	581.494421	7959.000000	581.494421	4561.000000	581.494421	1654.000000	581.494421	6359.000000	581.494421	6576.000000
582.213495	1437.000000	582.213495	2035.000000	582.213495	1671.000000	582.213495	1630.000000	582.213495	7855.000000	582.213495	4668.000000	582.213495	1647.000000	582.213495	6338.000000	582.213495	6754.000000
582.932506	1497.000000	582.932506	2066.000000	582.932506	1717.000000	582.932506	1526.000000	582.932506	7828.000000	582.932506	4569.000000	582.932506	1639.000000	582.932506	6266.000000	582.932506	6611.000000
583.651453	1479.000000	583.651453	2002.000000	583.651453	1697.000000	583.651453	1576.000000	583.651453	7893.000000	583.651453	4692.000000	583.651453	1642.000000	583.651453	6263.000000	583.651453	6600.000000
584.370336	1457.000000	584.370336	2048.000000	584.370336	1684.000000	584.370336	1552.000000	584.370336	7863.000000	584.370336	4648.000000	584.370336	1692.000000	584.370336	6259.000000	584.370336	6695.000000
585.089156	1473.000000	585.089156	2002.000000	585.089156	1606.000000	585.089156	1567.000000	585.089156	7995.000000	585.089156	4585.000000	585.089156	1674.000000	585.089156	6304.000000	585.089156	6625.000000
585.807912	1465.000000	585.807912	2046.000000	585.807912	1645.000000	585.807912	1562.000000	585.807912	7919.000000	585.807912	4595.000000	585.807912	1665.000000	585.807912	6273.000000	585.807912	6753.000000
586.526605	1481.000000	586.526605	2013.000000	586.526605	1640.000000	586.526605	1535.000000	586.526605	7776.000000	586.526605	4595.000000	586.526605	1681.000000	586.526605	6265.000000	586.526605	6707.000000
587.245234	1451.000000	587.245234	2001.000000	587.245234	1620.000000	587.245234	1583.000000	587.245234	7740.000000	587.245234	4578.000000	587.245234	1609.000000	587.245234	6306.000000	587.245234	6698.000000
587.963800	1421.000000	587.963800	2028.000000	587.963800	1655.000000	587.963800	1554.000000	587.963800	7698.000000	587.963800	4534.000000	587.963800	1664.000000	587.963800	6306.000000	587.963800	6660.000000
588.682301	1446.000000	588.682301	2036.000000	588.682301	1642.000000	588.682301	1522.000000	588.682301	7860.000000	588.682301	4558.000000	588.682301	1633.000000	588.682301	6317.000000	588.682301	6538.000000
589.400740	1460.000000	589.400740	2056.000000	589.400740	1657.000000	589.400740	1528.000000	589.400740	7829.000000	589.400740	4488.000000	589.400740	1675.000000	589.400740	6326.000000	589.400740	6509.000000
590.119115	1413.000000	590.119115	2014.000000	590.119115	1644.000000	590.119115	1521.000000	590.119115	7954.000000	590.119115	4523.000000	590.119115	1637.000000	590.119115	6168.000000	590.119115	6710.000000
590.837426	1446.000000	590.837426	2080.000000	590.837426	1615.000000	590.837426	1520.000000	590.837426	7845.000000	590.837426	4554.000000	590.837426	1646.000000	590.837426	6208.000000	590.837426	6546.000000
591.555673	1487.000000	591.555673	2021.000000	591.555673	1596.000000	591.555673	1562.000000	591.555673	7760.000000	591.555673	4600.000000	591.555673	1568.000000	591.555673	6253.000000	591.555673	6644.000000
592.273857	1471.000000	592.273857	2076.000000	592.273857	1641.000000	592.273857	1553.000000	592.273857	7902.000000	592.273857	4540.000000	592.273857	1674.000000	592.273857	6301.000000	592.273857	6616.000000
592.991978	1468.000000	592.991978	2078.000000	592.991978	1634.000000	592.991978	1578.000000	592.991978	7870.000000	592.991978	4481.000000	592.991978	1601.000000	592.991978	6333.000000	592.991978	6604.000000
593.710035	1525.000000	593.710035	2022.000000	593.710035	1615.000000	593.710035	1511.000000	593.710035	7942.000000	593.710035	4501.000000	593.710035	1680.000000	593.710035	6208.000000	593.710035	6705.000000
594.428028	1426.000000	594.428028	2003.000000	594.428028	1614.000000	594.428028	1504.000000	594.428028	7807.000000	594.428028	4535.000000	594.428028	1630.000000	594.428028	6279.000000	594.428028	6688.000000
595.145958	1405.000000	595.145958	2028.000000	595.145958	1624.000000	595.145958	1542.000000	595.145958	8042.000000	595.145958	4484.000000	595.145958	1623.000000	595.145958	6195.000000	595.145958	6655.000000
595.863824	1429.000000	595.863824	2074.000000	595.863824	1656.000000	595.863824	1547.000000	595.863824	7859.000000	595.863824	4575.000000	595.863824	1657.000000	595.863824	6224.000000	595.863824	6620.000000
596.581627	1534.000000	596.581627	2002.000000	596.581627	1668.000000	596.581627	1531.000000	596.581627	7825.000000	596.581627	4594.000000	596.581627	1676.000000	596.581627	6291.000000	596.581627	6665.000000
597.299367	1433.000000	597.299367	2029.000000	597.299367	1599.000000	597.299367	1481.000000	597.299367	7899.000000	597.299367	4612.000000	597.299367	1651.000000	597.299367	6384.000000	597.299367	6580.000000
598.017042	1445.000000	598.017042	2032.000000	598.017042	1676.000000	598.017042	1542.000000	598.017042	7812.000000	598.017042	4504.000000	598.017042	1620.000000	598.017042	6301.000000	598.017042	6666.000000
598.734655	1479.000000	598.734655	2081.000000	598.734655	1632.000000	598.734655	1522.000000	598.734655	8005.000000	598.734655	4502.000000	598.734655	1678.000000	598.734655	6422.000000	598.734655	6754.000000
599.452204	1480.000000	599.452204	2023.000000	599.452204	1585.000000	599.452204	1541.000000	599.452204	7978.000000	599.452204	4499.000000	599.452204	1669.000000	599.452204	6274.000000	599.452204	6582.000000
600.169689	1484.000000	600.169689	2046.000000	600.169689	1611.000000	600.169689	1527.000000	600.169689	7924.000000	600.169689	4527.000000	600.169689	1675.000000	600.169689	6337.000000	600.169689	6732.000000
600.887111	1452.000000	600.887111	2026.000000	600.887111	1663.000000	600.887111	1498.000000	600.887111	7931.000000	600.887111	4581.000000	600.887111	1635.000000	600.887111	6299.000000	600.887111	6653.000000
601.604469	1498.000000	601.604469	1959.000000	601.604469	1649.000000	601.604469	1555.000000	601.604469	8107.000000	601.604469	4640.000000	601.604469	1647.000000	601.604469	6387.000000	601.604469	6711.000000
602.321764	1437.000000	602.321764	2009.000000	602.321764	1646.000000	602.321764	1539.000000	602.321764	8049.000000	602.321764	4514.000000	602.321764	1651.000000	602.321764	6299.000000	602.321764	6658.000000
603.038995	1501.000000	603.038995	2053.000000	603.038995	1659.000000	603.038995	1546.000000	603.038995	7998.000000	603.038995	4670.000000	603.038995	1660.000000	603.038995	6162.000000	603.038995	6739.000000
603.756163	1447.000000	603.756163	2055.000000	603.756163	1630.000000	603.756163	1492.000000	603.756163	8116.000000	603.756163	4590.000000	603.756163	1635.000000	603.756163	6291.000000	603.756163	6766.000000
604.473268	1423.000000	604.473268	2006.000000	604.473268	1666.000000	604.473268	1524.000000	604.473268	8075.000000	604.473268	4691.000000	604.473268	1624.000000	604.473268	6278.000000	604.473268	6858.000000
605.190309	1485.000000	605.190309	2018.000000	605.190309	1613.000000	605.190309	1565.000000	605.190309	7950.000000	605.190309	4739.000000	605.190309	1617.000000	605.190309	6331.000000	605.190309	6834.000000
605.907287	1463.000000	605.907287	2107.000000	605.907287	1686.000000	605.907287	1539.000000	605.907287	8068.000000	605.907287	4625.000000	605.907287	1676.000000	605.907287	6316.000000	605.907287	6651.000000
606.624201	1487.000000	606.624201	2030.000000	606.624201	1648.000000	606.624201	1556.000000	606.624201	8021.000000	606.624201	4637.000000	606.624201	1712.000000	606.624201	6331.000000	606.624201	6771.000000
607.341052	1439.000000	607.341052	2051.000000	607.341052	1687.000000	607.341052	1522.000000	607.341052	8036.000000	607.341052	4770.000000	607.341052	1655.000000	607.341052	6391.000000	607.341052	6730.000000
608.057839	1439.000000	608.057839	2080.000000	608.057839	1635.000000	608.057839	1539.000000	608.057839	8090.000000	608.057839	4618.000000	608.057839	1714.000000	608.057839	6469.000000	608.057839	6924.000000
608.774563	1460.000000	608.774563	2093.000000	608.774563	1664.000000	608.774563	1548.000000	608.774563	8050.000000	608.774563	4659.000000	608.774563	1643.000000	608.774563	6354.000000	608.774563	6977.000000
609.491224	1485.000000	609.491224	2112.000000	609.491224	1667.000000	609.491224	1598.000000	609.491224	8190.000000	609.491224	4724.000000	609.491224	1672.000000	609.491224	6394.000000	609.491224	6833.000000
610.207821	1508.000000	610.207821	2115.000000	610.207821	1702.000000	610.207821	1551.000000	610.207821	8019.000000	610.207821	4658.000000	610.207821	1640.000000	610.207821	6400.000000	610.207821	6749.000000
610.924355	1463.000000	610.924355	2072.000000	610.924355	1705.000000	610.924355	1586.000000	610.924355	8113.000000	610.924355	4731.000000	610.924355	1691.000000	610.924355	6401.000000	610.924355	6817.000000
611.640825	1497.000000	611.640825	2019.000000	611.640825	1643.000000	611.640825	1534.000000	611.640825	8079.000000	611.640825	4648.000000	611.640825	1649.000000	611.640825	6356.000000	611.640825	6736.000000
612.357232	1484.000000	612.357232	2094.000000	612.357232	1664.000000	612.357232	1563.000000	612.357232	8066.000000	612.357232	4720.000000	612.357232	1653.000000	612.357232	6367.000000	612.357232	6800.000000
613.073576	1470.000000	613.073576	2090.000000	613.073576	1668.000000	613.073576	1529.000000	613.073576	8043.000000	613.073576	4653.000000	613.073576	1670.000000	613.073576	6403.000000	613.073576	6881.000000
613.789856	1492.000000	613.789856	2065.000000	613.789856	1637.000000	613.789856	1541.000000	613.789856	8027.000000	613.789856	4687.000000	613.789856	1629.000000	613.789856	6359.000000	613.789856	6865.000000
614.506073	1479.000000	614.506073	2101.000000	614.506073	1655.000000	614.506073	1555.000000	614.506073	8146.000000	614.506073	4601.000000	614.506073	1636.000000	614.506073	6320.000000	614.506073	6813.000000
615.222226	1520.000000	615.222226	2017.000000	615.222226	1709.000000	615.222226	1527.000000	615.222226	7949.000000	615.222226	4637.000000	615.222226	1746.000000	615.222226	6433.000000	615.222226	6890.000000
615.938316	1490.000000	615.938316	2103.000000	615.938316	1641.000000	615.938316	1582.000000	615.938316	7885.000000	615.938316	4658.000000	615.938316	1698.000000	615.938316	6345.000000	615.938316	6717.000000
616.654343	1474.000000	616.654343	2022.000000	616.654343	1675.000000	616.654343	1569.000000	616.654343	8070.000000	616.654343	4570.000000	616.654343	1695.000000	616.654343	6369.000000	616.654343	6882.000000
617.370307	1511.000000	617.370307	2051.000000	617.370307	1729.000000	617.370307	1568.000000	617.370307	7948.000000	617.370307	4597.000000	617.370307	1715.000000	617.370307	6355.000000	617.370307	6773.000000
618.086207	1461.000000	618.086207	2104.000000	618.086207	1667.000000	618.086207	1608.000000	618.086207	8124.000000	618.086207	4710.000000	618.086207	1706.000000	618.086207	6397.000000	618.086207	6832.000000
618.802044	1499.000000	618.802044	2159.000000	618.802044	1705.000000	618.802044	1593.000000	618.802044	8146.000000	618.802044	4640.000000	618.802044	1739.000000	618.802044	6301.000000	618.802044	6895.000000
619.517817	1483.000000	619.517817	2103.000000	619.517817	1731.000000	619.517817	1621.000000	619.517817	7954.000000	619.517817	4660.000000	619.517817	1735.000000	619.517817	6509.000000	619.517817	6763.000000
620.233527	1514.000000	620.233527	2139.000000	620.233527	1668.000000	620.233527	1601.000000	620.233527	8164.000000	620.233527	4679.000000	620.233527	1732.000000	620.233527	6471.000000	620.233527	6828.000000
620.949174	1526.000000	620.949174	2104.000000	620.949174	1704.000000	620.949174	1630.000000	620.949174	8159.000000	620.949174	4729.000000	620.949174	1726.000000	620.949174	6459.000000	620.949174	6803.000000
621.664758	1459.000000	621.664758	2137.000000	621.664758	1732.000000	621.664758	1658.000000	621.664758	8167.000000	621.664758	4662.000000	621.664758	1811.000000	621.664758	6597.000000	621.664758	6784.000000
622.380278	1479.000000	622.380278	2099.000000	622.380278	1738.000000	622.380278	1589.000000	622.380278	8154.000000	622.380278	4576.000000	622.380278	1681.000000	622.380278	6476.000000	622.380278	6911.000000
623.095735	1529.000000	623.095735	2119.000000	623.095735	1755.000000	623.095735	1640.000000	623.095735	8077.000000	623.095735	4585.000000	623.095735	1797.000000	623.095735	6481.000000	623.095735	6734.000000
623.811129	1503.000000	623.811129	2111.000000	623.811129	1655.000000	623.811129	1630.000000	623.811129	8134.000000	623.811129	4675.000000	623.811129	1766.000000	623.811129	6366.000000	623.811129	6810.000000
624.526459	1505.000000	624.526459	2120.000000	624.526459	1782.000000	624.526459	1608.000000	624.526459	8041.000000	624.526459	4607.000000	624.526459	1704.000000	624.526459	6474.000000	624.526459	6830.000000
625.241726	1568.000000	625.241726	2125.000000	625.241726	1697.000000	625.241726	1603.000000	625.241726	8232.000000	625.241726	4730.000000	625.241726	1762.000000	625.241726	6606.000000	625.241726	6922.000000
625.956930	1470.000000	625.956930	2112.000000	625.956930	1726.000000	625.956930	1581.000000	625.956930	8124.000000	625.956930	4647.000000	625.956930	1757.000000	625.956930	6565.000000	625.956930	6858.000000
626.672071	1481.000000	626.672071	2066.000000	626.672071	1745.000000	626.672071	1615.000000	626.672071	8133.000000	626.672071	4671.000000	626.672071	1720.000000	626.672071	6577.000000	626.672071	6736.000000
627.387148	1504.000000	627.387148	2079.000000	627.387148	1742.000000	627.387148	1571.000000	627.387148	8126.000000	627.387148	4773.000000	627.387148	1743.000000	627.387148	6471.000000	627.387148	6784.000000
628.102162	1547.000000	628.102162	2087.000000	628.102162	1681.000000	628.102162	1637.000000	628.102162	8221.000000	628.102162	4662.000000	628.102162	1690.000000	628.102162	6552.000000	628.102162	6925.000000
628.817113	1527.000000	628.817113	2111.000000	628.817113	1702.000000	628.817113	1617.000000	628.817113	8089.000000	628.817113	4693.000000	628.817113	1689.000000	628.817113	6492.000000	628.817113	6901.000000
629.532001	1463.000000	629.532001	2114.000000	629.532001	1725.000000	629.532001	1630.000000	629.532001	8173.000000	629.532001	4723.000000	629.532001	1716.000000	629.532001	6495.000000	629.532001	6849.000000
630.246825	1436.000000	630.246825	2045.000000	630.246825	1706.000000	630.246825	1619.000000	630.246825	8256.000000	630.246825	4674.000000	630.246825	1659.000000	630.246825	6503.000000	630.246825	6887.000000
630.961587	1459.000000	630.961587	2118.000000	630.961587	1685.000000	630.961587	1533.000000	630.961587	8235.000000	630.961587	4833.000000	630.961587	1696.000000	630.961587	6407.000000	630.961587	6819.000000
631.676285	1527.000000	631.676285	2093.000000	631.676285	1650.000000	631.676285	1622.000000	631.676285	8098.000000	631.676285	4715.000000	631.676285	1707.000000	631.676285	6537.000000	631.676285	6804.000000
632.390919	1515.000000	632.390919	2056.000000	632.390919	1706.000000	632.390919	1561.000000	632.390919	8121.000000	632.390919	4760.000000	632.390919	1666.000000	632.390919	6303.000000	632.390919	6943.000000
633.105491	1467.000000	633.105491	2029.000000	633.105491	1664.000000	633.105491	1536.000000	633.105491	8153.000000	633.105491	4752.000000	633.105491	1714.000000	633.105491	6470.000000	633.105491	6884.000000
633.819999	1539.000000	633.819999	2079.000000	633.819999	1698.000000	633.819999	1493.000000	633.819999	8130.000000	633.819999	4570.000000	633.819999	1656.000000	633.819999	6415.000000	633.819999	6935.000000
634.534444	1510.000000	634.534444	2047.000000	634.534444	1638.000000	634.534444	1580.000000	634.534444	8148.000000	634.534444	4732.000000	634.534444	1663.000000	634.534444	6442.000000	634.534444	6789.000000
635.248826	1508.000000	635.248826	1997.000000	635.248826	1694.000000	635.248826	1567.000000	635.248826	8138.000000	635.248826	4797.000000	635.248826	1693.000000	635.248826	6470.000000	635.248826	6968.000000
635.963145	1503.000000	635.963145	2105.000000	635.963145	1685.000000	635.963145	1540.000000	635.963145	8274.000000	635.963145	4703.000000	635.963145	1729.000000	635.963145	6359.000000	635.963145	6926.000000
636.677401	1456.000000	636.677401	2017.000000	636.677401	1679.000000	636.677401	1559.000000	636.677401	8181.000000	636.677401	4642.000000	636.677401	1690.000000	636.677401	6595.000000	636.677401	6891.000000
637.391593	1494.000000	637.391593	2043.000000	637.391593	1704.000000	637.391593	1521.000000	637.391593	8213.000000	637.391593	4751.000000	637.391593	1719.000000	637.391593	6594.000000	637.391593	6957.000000
638.105723	1529.000000	638.105723	2088.000000	638.105723	1643.000000	638.105723	1531.000000	638.105723	8062.000000	638.105723	4715.000000	638.105723	1671.000000	638.105723	6547.000000	638.105723	6832.000000
638.819789	1473.000000	638.819789	2042.000000	638.819789	1636.000000	638.819789	1500.000000	638.819789	8130.000000	638.819789	4775.000000	638.819789	1673.000000	638.819789	6654.000000	638.819789	6873.000000
639.533792	1464.000000	639.533792	2020.000000	639.533792	1656.000000	639.533792	1517.000000	639.533792	8127.000000	639.533792	4791.000000	639.533792	1671.000000	639.533792	6422.000000	639.533792	6898.000000
640.247732	1514.000000	640.247732	2028.000000	640.247732	1607.000000	640.247732	1517.000000	640.247732	8224.000000	640.247732	4799.000000	640.247732	1665.000000	640.247732	6450.000000	640.247732	6761.000000
640.961608	1450.000000	640.961608	2056.000000	640.961608	1685.000000	640.961608	1507.000000	640.961608	8252.000000	640.961608	4798.000000	640.961608	1702.000000	640.961608	6529.000000	640.961608	6992.000000
641.675422	1518.000000	641.675422	2102.000000	641.675422	1618.000000	641.675422	1561.000000	641.675422	8182.000000	641.675422	4707.000000	641.675422	1637.000000	641.675422	6536.000000	641.675422	6912.000000
642.389172	1470.000000	642.389172	2050.000000	642.389172	1583.000000	642.389172	1556.000000	642.389172	8307.000000	642.389172	4818.000000	642.389172	1661.000000	642.389172	6592.000000	642.389172	6996.000000
643.102860	1490.000000	643.102860	2104.000000	643.102860	1684.000000	643.102860	1525.000000	643.102860	8195.000000	643.102860	4777.000000	643.102860	1636.000000	643.102860	6472.000000	643.102860	7012.000000
643.816484	1460.000000	643.816484	2055.000000	643.816484	1654.000000	643.816484	1503.000000	643.816484	8425.000000	643.816484	4758.000000	643.816484	1662.000000	643.816484	6573.000000	643.816484	6972.000000
644.530045	1506.000000	644.530045	2090.000000	644.530045	1673.000000	644.530045	1546.000000	644.530045	8209.000000	644.530045	4740.000000	644.530045	1684.000000	644.530045	6482.000000	644.530045	6922.000000
645.243543	1503.000000	645.243543	2093.000000	645.243543	1621.000000	645.243543	1548.000000	645.243543	8331.000000	645.243543	4749.000000	645.243543	1655.000000	645.243543	6483.000000	645.243543	6957.000000
645.956978	1439.000000	645.956978	2076.000000	645.956978	1709.000000	645.956978	1551.000000	645.956978	8324.000000	645.956978	4853.000000	645.956978	1672.000000	645.956978	6498.000000	645.956978	6946.000000
646.670350	1496.000000	646.670350	2038.000000	646.670350	1630.000000	646.670350	1528.000000	646.670350	8270.000000	646.670350	4816.000000	646.670350	1631.000000	646.670350	6474.000000	646.670350	6941.000000
647.383659	1489.000000	647.383659	2079.000000	647.383659	1661.000000	647.383659	1539.000000	647.383659	8364.000000	647.383659	4772.000000	647.383659	1694.000000	647.383659	6511.000000	647.383659	7107.000000
648.096904	1464.000000	648.096904	2020.000000	648.096904	1636.000000	648.096904	1536.000000	648.096904	8345.000000	648.096904	4820.000000	648.096904	1667.000000	648.096904	6637.000000	648.096904	6855.000000
