X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y
559.892568	1575.000000	559.892568	1906.000000	559.892568	1787.000000	559.892568	39069.000000	559.892568	1617.000000	559.892568	1481.000000	559.892568	1445.000000	559.892568	2533.000000	559.892568	2258.000000	559.892568	2332.000000	559.892568	2981.000000	559.892568	2452.000000	559.892568	2785.000000	559.892568	2355.000000
560.613554	1496.000000	560.613554	1945.000000	560.613554	1785.000000	560.613554	39048.000000	560.613554	1628.000000	560.613554	1502.000000	560.613554	1460.000000	560.613554	2395.000000	560.613554	2238.000000	560.613554	2367.000000	560.613554	3065.000000	560.613554	2388.000000	560.613554	2819.000000	560.613554	2237.000000
561.334477	1537.000000	561.334477	1963.000000	561.334477	1760.000000	561.334477	39329.000000	561.334477	1608.000000	561.334477	1531.000000	561.334477	1485.000000	561.334477	2473.000000	561.334477	2215.000000	561.334477	2283.000000	561.334477	2998.000000	561.334477	2446.000000	561.334477	2847.000000	561.334477	2226.000000
562.055336	1549.000000	562.055336	1980.000000	562.055336	1731.000000	562.055336	39064.000000	562.055336	1588.000000	562.055336	1467.000000	562.055336	1472.000000	562.055336	2364.000000	562.055336	2240.000000	562.055336	2369.000000	562.055336	2927.000000	562.055336	2457.000000	562.055336	2791.000000	562.055336	2292.000000
562.776130	1501.000000	562.776130	1963.000000	562.776130	1786.000000	562.776130	39268.000000	562.776130	1582.000000	562.776130	1517.000000	562.776130	1475.000000	562.776130	2346.000000	562.776130	2266.000000	562.776130	2315.000000	562.776130	2945.000000	562.776130	2351.000000	562.776130	2785.000000	562.776130	2263.000000
563.496862	1550.000000	563.496862	1884.000000	563.496862	1717.000000	563.496862	39024.000000	563.496862	1629.000000	563.496862	1511.000000	563.496862	1471.000000	563.496862	2392.000000	563.496862	2247.000000	563.496862	2282.000000	563.496862	2978.000000	563.496862	2388.000000	563.496862	2751.000000	563.496862	2215.000000
564.217529	1543.000000	564.217529	1810.000000	564.217529	1736.000000	564.217529	39473.000000	564.217529	1654.000000	564.217529	1502.000000	564.217529	1449.000000	564.217529	2304.000000	564.217529	2172.000000	564.217529	2282.000000	564.217529	2997.000000	564.217529	2463.000000	564.217529	2790.000000	564.217529	2221.000000
564.938132	1453.000000	564.938132	1960.000000	564.938132	1745.000000	564.938132	39173.000000	564.938132	1593.000000	564.938132	1495.000000	564.938132	1460.000000	564.938132	2406.000000	564.938132	2182.000000	564.938132	2324.000000	564.938132	2954.000000	564.938132	2348.000000	564.938132	2725.000000	564.938132	2259.000000
565.658672	1543.000000	565.658672	1914.000000	565.658672	1769.000000	565.658672	39467.000000	565.658672	1632.000000	565.658672	1518.000000	565.658672	1394.000000	565.658672	2359.000000	565.658672	2132.000000	565.658672	2281.000000	565.658672	3060.000000	565.658672	2345.000000	565.658672	2783.000000	565.658672	2200.000000
566.379148	1508.000000	566.379148	1889.000000	566.379148	1746.000000	566.379148	39166.000000	566.379148	1603.000000	566.379148	1495.000000	566.379148	1472.000000	566.379148	2361.000000	566.379148	2172.000000	566.379148	2271.000000	566.379148	2968.000000	566.379148	2411.000000	566.379148	2738.000000	566.379148	2296.000000
