X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y
559.892568	2111.000000	559.892568	38859.000000	559.892568	2305.000000	559.892568	2423.000000	559.892568	2074.000000			559.892568	2406.000000			559.892568	2424.000000	559.892568	2296.000000	559.892568	2043.000000	559.892568	2396.000000	559.892568	2109.000000	559.892568	1953.000000	559.892568	1855.000000	559.892568	2051.000000	559.892568	2033.000000
560.613554	2051.000000	560.613554	38972.000000	560.613554	2256.000000	560.613554	2400.000000	560.613554	2122.000000			560.613554	2412.000000			560.613554	2417.000000	560.613554	2315.000000	560.613554	2005.000000	560.613554	2344.000000	560.613554	2066.000000	560.613554	1956.000000	560.613554	1814.000000	560.613554	2013.000000	560.613554	2012.000000
561.334477	2044.000000	561.334477	38875.000000	561.334477	2313.000000	561.334477	2414.000000	561.334477	2109.000000			561.334477	2465.000000			561.334477	2388.000000	561.334477	2281.000000	561.334477	2022.000000	561.334477	2297.000000	561.334477	2111.000000	561.334477	1941.000000	561.334477	1792.000000	561.334477	1953.000000	561.334477	1947.000000
562.055336	1989.000000	562.055336	39094.000000	562.055336	2302.000000	562.055336	2415.000000	562.055336	2059.000000			562.055336	2419.000000			562.055336	2393.000000	562.055336	2356.000000	562.055336	1991.000000	562.055336	2336.000000	562.055336	2123.000000	562.055336	2044.000000	562.055336	1815.000000	562.055336	1916.000000	562.055336	1993.000000
562.776130	2015.000000	562.776130	39039.000000	562.776130	2313.000000	562.776130	2341.000000	562.776130	2092.000000			562.776130	2484.000000			562.776130	2343.000000	562.776130	2284.000000	562.776130	2005.000000	562.776130	2345.000000	562.776130	2094.000000	562.776130	1938.000000	562.776130	1789.000000	562.776130	1941.000000	562.776130	1946.000000
563.496862	2018.000000	563.496862	38887.000000	563.496862	2240.000000	563.496862	2363.000000	563.496862	2087.000000			563.496862	2357.000000			563.496862	2368.000000	563.496862	2291.000000	563.496862	1970.000000	563.496862	2324.000000	563.496862	2019.000000	563.496862	1955.000000	563.496862	1839.000000	563.496862	1949.000000	563.496862	1961.000000
564.217529	2007.000000	564.217529	39100.000000	564.217529	2268.000000	564.217529	2365.000000	564.217529	2062.000000			564.217529	2406.000000			564.217529	2345.000000	564.217529	2247.000000	564.217529	1938.000000	564.217529	2311.000000	564.217529	2068.000000	564.217529	1946.000000	564.217529	1749.000000	564.217529	1940.000000	564.217529	1968.000000
564.938132	2034.000000	564.938132	39048.000000	564.938132	2199.000000	564.938132	2361.000000	564.938132	2082.000000			564.938132	2443.000000			564.938132	2323.000000	564.938132	2345.000000	564.938132	1962.000000	564.938132	2256.000000	564.938132	1991.000000	564.938132	1923.000000	564.938132	1737.000000	564.938132	1907.000000	564.938132	1876.000000
565.658672	1946.000000	565.658672	38998.000000	565.658672	2181.000000	565.658672	2333.000000	565.658672	2050.000000			565.658672	2367.000000			565.658672	2363.000000	565.658672	2272.000000	565.658672	1948.000000	565.658672	2371.000000	565.658672	2098.000000	565.658672	1917.000000	565.658672	1790.000000	565.658672	1866.000000	565.658672	1931.000000
566.379148	1984.000000	566.379148	39095.000000	566.379148	2282.000000	566.379148	2382.000000	566.379148	2033.000000			566.379148	2320.000000			566.379148	2277.000000	566.379148	2248.000000	566.379148	1929.000000	566.379148	2296.000000	566.379148	1978.000000	566.379148	1889.000000	566.379148	1746.000000	566.379148	1902.000000	566.379148	1898.000000
567.099560	1975.000000	567.099560	39009.000000	567.099560	2223.000000	567.099560	2363.000000	567.099560	2084.000000			567.099560	2319.000000			567.099560	2315.000000	567.099560	2225.000000	567.099560	1942.000000	567.099560	2323.000000	567.099560	2058.000000	567.099560	1973.000000	567.099560	1854.000000	567.099560	1861.000000	567.099560	1881.000000
567.819908	1966.000000	567.819908	39245.000000	567.819908	2254.000000	567.819908	2296.000000	567.819908	2039.000000			567.819908	2394.000000			567.819908	2334.000000	567.819908	2236.000000	567.819908	1937.000000	567.819908	2297.000000	567.819908	2060.000000	567.819908	1919.000000	567.819908	1760.000000	567.819908	1950.000000	567.819908	1866.000000
568.540193	1969.000000	568.540193	39112.000000	568.540193	2211.000000	568.540193	2331.000000	568.540193	2056.000000			568.540193	2386.000000			568.540193	2313.000000	568.540193	2220.000000	568.540193	1958.000000	568.540193	2245.000000	568.540193	2072.000000	568.540193	1953.000000	568.540193	1714.000000	568.540193	1846.000000	568.540193	1852.000000
569.260414	1889.000000	569.260414	39259.000000	569.260414	2191.000000	569.260414	2319.000000	569.260414	2108.000000			569.260414	2379.000000			569.260414	2292.000000	569.260414	2258.000000	569.260414	1972.000000	569.260414	2318.000000	569.260414	2006.000000	569.260414	1973.000000	569.260414	1727.000000	569.260414	1873.000000	569.260414	1826.000000
569.980571	1932.000000	569.980571	39337.000000	569.980571	2262.000000	569.980571	2311.000000	569.980571	2032.000000			569.980571	2316.000000			569.980571	2322.000000	569.980571	2247.000000	569.980571	1914.000000	569.980571	2245.000000	569.980571	2036.000000	569.980571	1872.000000	569.980571	1717.000000	569.980571	1864.000000	569.980571	1820.000000
570.700664	1949.000000	570.700664	39244.000000	570.700664	2144.000000	570.700664	2310.000000	570.700664	2057.000000			570.700664	2336.000000			570.700664	2290.000000	570.700664	2184.000000	570.700664	1980.000000	570.700664	2281.000000	570.700664	2007.000000	570.700664	1915.000000	570.700664	1725.000000	570.700664	1843.000000	570.700664	1850.000000
571.420694	1913.000000	571.420694	38982.000000	571.420694	2178.000000	571.420694	2326.000000	571.420694	2032.000000			571.420694	2376.000000			571.420694	2249.000000	571.420694	2212.000000	571.420694	1883.000000	571.420694	2281.000000	571.420694	2019.000000	571.420694	1900.000000	571.420694	1717.000000	571.420694	1816.000000	571.420694	1798.000000
