X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y
559.892568	2001.000000	559.892568	1870.000000	559.892568	1813.000000	559.892568	1727.000000	559.892568	1773.000000	559.892568	1975.000000	559.892568	1938.000000	559.892568	1551.000000	559.892568	2540.000000	559.892568	2224.000000	559.892568	2455.000000	559.892568	1794.000000	559.892568	2204.000000	559.892568	1882.000000	559.892568	2098.000000	559.892568	2617.000000
560.613554	1995.000000	560.613554	1904.000000	560.613554	1751.000000	560.613554	1778.000000	560.613554	1710.000000	560.613554	1895.000000	560.613554	1888.000000	560.613554	1553.000000	560.613554	2514.000000	560.613554	2167.000000	560.613554	2411.000000	560.613554	1819.000000	560.613554	2180.000000	560.613554	1852.000000	560.613554	2040.000000	560.613554	2573.000000
561.334477	1997.000000	561.334477	1923.000000	561.334477	1769.000000	561.334477	1728.000000	561.334477	1712.000000	561.334477	1957.000000	561.334477	1928.000000	561.334477	1511.000000	561.334477	2507.000000	561.334477	2092.000000	561.334477	2392.000000	561.334477	1813.000000	561.334477	2108.000000	561.334477	1820.000000	561.334477	2113.000000	561.334477	2541.000000
562.055336	1929.000000	562.055336	1794.000000	562.055336	1745.000000	562.055336	1743.000000	562.055336	1672.000000	562.055336	1866.000000	562.055336	1896.000000	562.055336	1548.000000	562.055336	2529.000000	562.055336	2144.000000	562.055336	2333.000000	562.055336	1839.000000	562.055336	2125.000000	562.055336	1865.000000	562.055336	2051.000000	562.055336	2564.000000
562.776130	1948.000000	562.776130	1853.000000	562.776130	1704.000000	562.776130	1707.000000	562.776130	1693.000000	562.776130	1879.000000	562.776130	1984.000000	562.776130	1499.000000	562.776130	2517.000000	562.776130	2048.000000	562.776130	2393.000000	562.776130	1802.000000	562.776130	2132.000000	562.776130	1865.000000	562.776130	2038.000000	562.776130	2505.000000
563.496862	1937.000000	563.496862	1768.000000	563.496862	1784.000000	563.496862	1741.000000	563.496862	1729.000000	563.496862	1896.000000	563.496862	1899.000000	563.496862	1567.000000	563.496862	2466.000000	563.496862	2120.000000	563.496862	2292.000000	563.496862	1767.000000	563.496862	2150.000000	563.496862	1793.000000	563.496862	2026.000000	563.496862	2479.000000
564.217529	1957.000000	564.217529	1810.000000	564.217529	1784.000000	564.217529	1693.000000	564.217529	1722.000000	564.217529	1854.000000	564.217529	1887.000000	564.217529	1520.000000	564.217529	2401.000000	564.217529	2131.000000	564.217529	2374.000000	564.217529	1779.000000	564.217529	2118.000000	564.217529	1847.000000	564.217529	2070.000000	564.217529	2459.000000
564.938132	1954.000000	564.938132	1813.000000	564.938132	1715.000000	564.938132	1726.000000	564.938132	1711.000000	564.938132	1888.000000	564.938132	1905.000000	564.938132	1541.000000	564.938132	2478.000000	564.938132	2119.000000	564.938132	2409.000000	564.938132	1820.000000	564.938132	2192.000000	564.938132	1845.000000	564.938132	2007.000000	564.938132	2487.000000
565.658672	1902.000000	565.658672	1784.000000	565.658672	1682.000000	565.658672	1701.000000	565.658672	1730.000000	565.658672	1857.000000	565.658672	1902.000000	565.658672	1526.000000	565.658672	2529.000000	565.658672	2162.000000	565.658672	2410.000000	565.658672	1734.000000	565.658672	2144.000000	565.658672	1820.000000	565.658672	2056.000000	565.658672	2509.000000
566.379148	1909.000000	566.379148	1783.000000	566.379148	1680.000000	566.379148	1688.000000	566.379148	1703.000000	566.379148	1876.000000	566.379148	1919.000000	566.379148	1495.000000	566.379148	2459.000000	566.379148	2126.000000	566.379148	2372.000000	566.379148	1768.000000	566.379148	2108.000000	566.379148	1791.000000	566.379148	2026.000000	566.379148	2471.000000
567.099560	1816.000000	567.099560	1788.000000	567.099560	1703.000000	567.099560	1615.000000	567.099560	1730.000000	567.099560	1883.000000	567.099560	1901.000000	567.099560	1476.000000	567.099560	2419.000000	567.099560	2087.000000	567.099560	2328.000000	567.099560	1699.000000	567.099560	2146.000000	567.099560	1766.000000	567.099560	2045.000000	567.099560	2514.000000
567.819908	1919.000000	567.819908	1764.000000	567.819908	1691.000000	567.819908	1646.000000	567.819908	1671.000000	567.819908	1860.000000	567.819908	1932.000000	567.819908	1446.000000	567.819908	2361.000000	567.819908	2042.000000	567.819908	2390.000000	567.819908	1760.000000	567.819908	2107.000000	567.819908	1768.000000	567.819908	1946.000000	567.819908	2456.000000
