X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y
559.892568	3541.000000	559.892568	5451.000000	559.892568	15800.000000	559.892568	11284.000000	559.892568	12439.000000	559.892568	9610.000000	559.892568	9945.000000	559.892568	11092.000000	559.892568	9630.000000	559.892568	17408.000000	559.892568	13619.000000	559.892568	6392.000000	559.892568	5587.000000	559.892568	4426.000000	559.892568	9513.000000	559.892568	6359.000000	559.892568	5931.000000	559.892568	8505.000000
560.613554	3558.000000	560.613554	5397.000000	560.613554	15532.000000	560.613554	11341.000000	560.613554	12280.000000	560.613554	9496.000000	560.613554	9932.000000	560.613554	11122.000000	560.613554	9677.000000	560.613554	17256.000000	560.613554	13726.000000	560.613554	6384.000000	560.613554	5572.000000	560.613554	4442.000000	560.613554	9535.000000	560.613554	6421.000000	560.613554	5893.000000	560.613554	8611.000000
561.334477	3473.000000	561.334477	5237.000000	561.334477	15730.000000	561.334477	11479.000000	561.334477	12297.000000	561.334477	9491.000000	561.334477	9793.000000	561.334477	11128.000000	561.334477	9626.000000	561.334477	17222.000000	561.334477	13610.000000	561.334477	6391.000000	561.334477	5501.000000	561.334477	4364.000000	561.334477	9506.000000	561.334477	6477.000000	561.334477	5975.000000	561.334477	8524.000000
562.055336	3416.000000	562.055336	5267.000000	562.055336	15761.000000	562.055336	11335.000000	562.055336	12057.000000	562.055336	9466.000000	562.055336	9683.000000	562.055336	11086.000000	562.055336	9647.000000	562.055336	17400.000000	562.055336	13580.000000	562.055336	6271.000000	562.055336	5519.000000	562.055336	4349.000000	562.055336	9556.000000	562.055336	6370.000000	562.055336	5999.000000	562.055336	8382.000000
562.776130	3378.000000	562.776130	5109.000000	562.776130	15582.000000	562.776130	11398.000000	562.776130	12216.000000	562.776130	9492.000000	562.776130	9650.000000	562.776130	10864.000000	562.776130	9604.000000	562.776130	17305.000000	562.776130	13339.000000	562.776130	6343.000000	562.776130	5438.000000	562.776130	4323.000000	562.776130	9599.000000	562.776130	6282.000000	562.776130	5933.000000	562.776130	8490.000000
563.496862	3395.000000	563.496862	5141.000000	563.496862	15402.000000	563.496862	11444.000000	563.496862	12100.000000	563.496862	9535.000000	563.496862	9824.000000	563.496862	10919.000000	563.496862	9507.000000	563.496862	17192.000000	563.496862	13666.000000	563.496862	6414.000000	563.496862	5570.000000	563.496862	4333.000000	563.496862	9484.000000	563.496862	6383.000000	563.496862	6036.000000	563.496862	8520.000000
564.217529	3419.000000	564.217529	5124.000000	564.217529	15644.000000	564.217529	11271.000000	564.217529	12067.000000	564.217529	9391.000000	564.217529	9730.000000	564.217529	11128.000000	564.217529	9659.000000	564.217529	17104.000000	564.217529	13644.000000	564.217529	6177.000000	564.217529	5457.000000	564.217529	4326.000000	564.217529	9537.000000	564.217529	6407.000000	564.217529	6034.000000	564.217529	8510.000000
564.938132	3330.000000	564.938132	5105.000000	564.938132	15511.000000	564.938132	11308.000000	564.938132	12072.000000	564.938132	9348.000000	564.938132	9572.000000	564.938132	11102.000000	564.938132	9461.000000	564.938132	17008.000000	564.938132	13524.000000	564.938132	6274.000000	564.938132	5430.000000	564.938132	4238.000000	564.938132	9674.000000	564.938132	6449.000000	564.938132	5937.000000	564.938132	8448.000000
565.658672	3384.000000	565.658672	4964.000000	565.658672	15521.000000	565.658672	11270.000000	565.658672	12187.000000	565.658672	9346.000000	565.658672	9570.000000	565.658672	10850.000000	565.658672	9418.000000	565.658672	17383.000000	565.658672	13540.000000	565.658672	6303.000000	565.658672	5468.000000	565.658672	4248.000000	565.658672	9404.000000	565.658672	6349.000000	565.658672	5946.000000	565.658672	8347.000000
566.379148	3383.000000	566.379148	4830.000000	566.379148	15454.000000	566.379148	11217.000000	566.379148	11968.000000	566.379148	9419.000000	566.379148	9674.000000	566.379148	11026.000000	566.379148	9340.000000	566.379148	16895.000000	566.379148	13614.000000	566.379148	6455.000000	566.379148	5549.000000	566.379148	4280.000000	566.379148	9614.000000	566.379148	6471.000000	566.379148	6001.000000	566.379148	8300.000000
