X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y
559.892568	2586.000000	559.892568	2566.000000	559.892568	2584.000000	559.892568	2713.000000	559.892568	2661.000000	559.892568	2773.000000	559.892568	2670.000000	559.892568	2562.000000	559.892568	2430.000000	559.892568	2413.000000
560.613554	2548.000000	560.613554	2475.000000	560.613554	2562.000000	560.613554	2645.000000	560.613554	2670.000000	560.613554	2680.000000	560.613554	2638.000000	560.613554	2470.000000	560.613554	2458.000000	560.613554	2421.000000
561.334477	2551.000000	561.334477	2435.000000	561.334477	2502.000000	561.334477	2688.000000	561.334477	2647.000000	561.334477	2557.000000	561.334477	2643.000000	561.334477	2412.000000	561.334477	2420.000000	561.334477	2406.000000
562.055336	2468.000000	562.055336	2440.000000	562.055336	2457.000000	562.055336	2604.000000	562.055336	2566.000000	562.055336	2601.000000	562.055336	2554.000000	562.055336	2425.000000	562.055336	2359.000000	562.055336	2374.000000
562.776130	2501.000000	562.776130	2435.000000	562.776130	2485.000000	562.776130	2461.000000	562.776130	2526.000000	562.776130	2577.000000	562.776130	2550.000000	562.776130	2394.000000	562.776130	2379.000000	562.776130	2428.000000
563.496862	2515.000000	563.496862	2443.000000	563.496862	2469.000000	563.496862	2498.000000	563.496862	2506.000000	563.496862	2542.000000	563.496862	2529.000000	563.496862	2347.000000	563.496862	2336.000000	563.496862	2299.000000
564.217529	2481.000000	564.217529	2416.000000	564.217529	2404.000000	564.217529	2588.000000	564.217529	2438.000000	564.217529	2442.000000	564.217529	2586.000000	564.217529	2289.000000	564.217529	2350.000000	564.217529	2322.000000
564.938132	2378.000000	564.938132	2386.000000	564.938132	2407.000000	564.938132	2498.000000	564.938132	2516.000000	564.938132	2471.000000	564.938132	2551.000000	564.938132	2218.000000	564.938132	2246.000000	564.938132	2263.000000
565.658672	2344.000000	565.658672	2377.000000	565.658672	2375.000000	565.658672	2374.000000	565.658672	2451.000000	565.658672	2398.000000	565.658672	2495.000000	565.658672	2219.000000	565.658672	2277.000000	565.658672	2263.000000
566.379148	2379.000000	566.379148	2371.000000	566.379148	2322.000000	566.379148	2417.000000	566.379148	2466.000000	566.379148	2403.000000	566.379148	2418.000000	566.379148	2260.000000	566.379148	2278.000000	566.379148	2258.000000
567.099560	2335.000000	567.099560	2236.000000	567.099560	2361.000000	567.099560	2389.000000	567.099560	2463.000000	567.099560	2436.000000	567.099560	2408.000000	567.099560	2290.000000	567.099560	2200.000000	567.099560	2298.000000
567.819908	2351.000000	567.819908	2307.000000	567.819908	2272.000000	567.819908	2424.000000	567.819908	2314.000000	567.819908	2481.000000	567.819908	2356.000000	567.819908	2222.000000	567.819908	2241.000000	567.819908	2177.000000
568.540193	2256.000000	568.540193	2303.000000	568.540193	2286.000000	568.540193	2402.000000	568.540193	2402.000000	568.540193	2359.000000	568.540193	2361.000000	568.540193	2148.000000	568.540193	2175.000000	568.540193	2148.000000
569.260414	2238.000000	569.260414	2275.000000	569.260414	2212.000000	569.260414	2392.000000	569.260414	2358.000000	569.260414	2333.000000	569.260414	2348.000000	569.260414	2172.000000	569.260414	2159.000000	569.260414	2154.000000
569.980571	2299.000000	569.980571	2232.000000	569.980571	2224.000000	569.980571	2338.000000	569.980571	2345.000000	569.980571	2372.000000	569.980571	2323.000000	569.980571	2147.000000	569.980571	2077.000000	569.980571	2129.000000
570.700664	2296.000000	570.700664	2289.000000	570.700664	2232.000000	570.700664	2273.000000	570.700664	2291.000000	570.700664	2338.000000	570.700664	2302.000000	570.700664	2144.000000	570.700664	2104.000000	570.700664	2197.000000
571.420694	2277.000000	571.420694	2201.000000	571.420694	2181.000000	571.420694	2350.000000	571.420694	2351.000000	571.420694	2284.000000	571.420694	2270.000000	571.420694	2124.000000	571.420694	2163.000000	571.420694	2141.000000
572.140660	2283.000000	572.140660	2202.000000	572.140660	2202.000000	572.140660	2304.000000	572.140660	2254.000000	572.140660	2271.000000	572.140660	2309.000000	572.140660	2137.000000	572.140660	2155.000000	572.140660	2128.000000
