X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y
559.892568	5180.000000	559.892568	4987.000000	559.892568	5002.000000	559.892568	5329.000000	559.892568	5084.000000	559.892568	4626.000000	559.892568	4403.000000	559.892568	4283.000000	559.892568	4258.000000	559.892568	4047.000000	559.892568	3983.000000	559.892568	3951.000000	559.892568	6463.000000	559.892568	5693.000000	559.892568	5535.000000	559.892568	5357.000000	559.892568	5036.000000	559.892568	4651.000000	559.892568	6511.000000	559.892568	6178.000000	559.892568	6207.000000	559.892568	6093.000000	559.892568	5698.000000	559.892568	5632.000000
560.613554	5095.000000	560.613554	4909.000000	560.613554	4972.000000	560.613554	5328.000000	560.613554	5173.000000	560.613554	4643.000000	560.613554	4368.000000	560.613554	4260.000000	560.613554	4181.000000	560.613554	4046.000000	560.613554	4051.000000	560.613554	3942.000000	560.613554	6416.000000	560.613554	5609.000000	560.613554	5488.000000	560.613554	5429.000000	560.613554	4960.000000	560.613554	4849.000000	560.613554	6328.000000	560.613554	6104.000000	560.613554	6120.000000	560.613554	5945.000000	560.613554	5744.000000	560.613554	5687.000000
561.334477	5076.000000	561.334477	4861.000000	561.334477	4832.000000	561.334477	5152.000000	561.334477	5075.000000	561.334477	4549.000000	561.334477	4413.000000	561.334477	4294.000000	561.334477	4125.000000	561.334477	4002.000000	561.334477	3878.000000	561.334477	3852.000000	561.334477	6321.000000	561.334477	5523.000000	561.334477	5471.000000	561.334477	5278.000000	561.334477	4999.000000	561.334477	4631.000000	561.334477	6214.000000	561.334477	6021.000000	561.334477	6018.000000	561.334477	5913.000000	561.334477	5642.000000	561.334477	5531.000000
562.055336	4955.000000	562.055336	5011.000000	562.055336	4767.000000	562.055336	5093.000000	562.055336	4978.000000	562.055336	4472.000000	562.055336	4232.000000	562.055336	4253.000000	562.055336	4080.000000	562.055336	3998.000000	562.055336	3857.000000	562.055336	3843.000000	562.055336	6387.000000	562.055336	5509.000000	562.055336	5341.000000	562.055336	5196.000000	562.055336	4865.000000	562.055336	4608.000000	562.055336	6112.000000	562.055336	5953.000000	562.055336	6041.000000	562.055336	5739.000000	562.055336	5670.000000	562.055336	5502.000000
562.776130	4872.000000	562.776130	4833.000000	562.776130	4759.000000	562.776130	5086.000000	562.776130	4914.000000	562.776130	4486.000000	562.776130	4279.000000	562.776130	4073.000000	562.776130	4148.000000	562.776130	3860.000000	562.776130	3848.000000	562.776130	3778.000000	562.776130	6294.000000	562.776130	5528.000000	562.776130	5327.000000	562.776130	5166.000000	562.776130	4922.000000	562.776130	4521.000000	562.776130	6166.000000	562.776130	5845.000000	562.776130	5939.000000	562.776130	5897.000000	562.776130	5465.000000	562.776130	5454.000000
563.496862	4905.000000	563.496862	4683.000000	563.496862	4776.000000	563.496862	5039.000000	563.496862	4803.000000	563.496862	4483.000000	563.496862	4272.000000	563.496862	4068.000000	563.496862	4003.000000	563.496862	3879.000000	563.496862	3877.000000	563.496862	3760.000000	563.496862	6236.000000	563.496862	5443.000000	563.496862	5217.000000	563.496862	5252.000000	563.496862	4785.000000	563.496862	4548.000000	563.496862	6042.000000	563.496862	5864.000000	563.496862	5851.000000	563.496862	5774.000000	563.496862	5487.000000	563.496862	5463.000000
564.217529	4828.000000	564.217529	4709.000000	564.217529	4653.000000	564.217529	5054.000000	564.217529	4796.000000	564.217529	4422.000000	564.217529	4209.000000	564.217529	4094.000000	564.217529	4009.000000	564.217529	3765.000000	564.217529	3684.000000	564.217529	3755.000000	564.217529	6113.000000	564.217529	5344.000000	564.217529	5226.000000	564.217529	5219.000000	564.217529	4778.000000	564.217529	4434.000000	564.217529	6029.000000	564.217529	5829.000000	564.217529	5864.000000	564.217529	5790.000000	564.217529	5434.000000	564.217529	5374.000000
564.938132	4746.000000	564.938132	4633.000000	564.938132	4591.000000	564.938132	4790.000000	564.938132	4680.000000	564.938132	4467.000000	564.938132	4249.000000	564.938132	4134.000000	564.938132	4010.000000	564.938132	3731.000000	564.938132	3790.000000	564.938132	3690.000000	564.938132	6053.000000	564.938132	5306.000000	564.938132	5208.000000	564.938132	5104.000000	564.938132	4782.000000	564.938132	4420.000000	564.938132	5973.000000	564.938132	5737.000000	564.938132	5818.000000	564.938132	5640.000000	564.938132	5408.000000	564.938132	5346.000000
565.658672	4654.000000	565.658672	4630.000000	565.658672	4508.000000	565.658672	4943.000000	565.658672	4718.000000	565.658672	4351.000000	565.658672	4135.000000	565.658672	4055.000000	565.658672	3882.000000	565.658672	3786.000000	565.658672	3698.000000	565.658672	3711.000000	565.658672	6002.000000	565.658672	5195.000000	565.658672	5095.000000	565.658672	5155.000000	565.658672	4742.000000	565.658672	4394.000000	565.658672	5868.000000	565.658672	5622.000000	565.658672	5676.000000	565.658672	5595.000000	565.658672	5339.000000	565.658672	5295.000000
566.379148	4750.000000	566.379148	4474.000000	566.379148	4517.000000	566.379148	4747.000000	566.379148	4586.000000	566.379148	4433.000000	566.379148	4232.000000	566.379148	3926.000000	566.379148	3809.000000	566.379148	3767.000000	566.379148	3631.000000	566.379148	3657.000000	566.379148	5965.000000	566.379148	5204.000000	566.379148	5062.000000	566.379148	5115.000000	566.379148	4790.000000	566.379148	4344.000000	566.379148	5816.000000	566.379148	5731.000000	566.379148	5772.000000	566.379148	5606.000000	566.379148	5398.000000	566.379148	5293.000000
