X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y
559.892568	4644.000000	559.892568	4622.000000	559.892568	6098.000000	559.892568	5856.000000	559.892568	5564.000000	559.892568	4814.000000	559.892568	4717.000000	559.892568	10750.000000	559.892568	7745.000000	559.892568	6796.000000	559.892568	6277.000000	559.892568	5127.000000	559.892568	4316.000000	559.892568	3902.000000	559.892568	3836.000000	559.892568	5156.000000	559.892568	4462.000000	559.892568	3703.000000	559.892568	3307.000000	559.892568	7293.000000	559.892568	6318.000000	559.892568	6031.000000
560.613554	4520.000000	560.613554	4569.000000	560.613554	6029.000000	560.613554	5680.000000	560.613554	5426.000000	560.613554	4766.000000	560.613554	4562.000000	560.613554	10790.000000	560.613554	7668.000000	560.613554	6781.000000	560.613554	6140.000000	560.613554	5132.000000	560.613554	4315.000000	560.613554	3971.000000	560.613554	3717.000000	560.613554	5132.000000	560.613554	4499.000000	560.613554	3708.000000	560.613554	3307.000000	560.613554	7102.000000	560.613554	6270.000000	560.613554	5967.000000
561.334477	4431.000000	561.334477	4527.000000	561.334477	5905.000000	561.334477	5772.000000	561.334477	5457.000000	561.334477	4707.000000	561.334477	4530.000000	561.334477	10720.000000	561.334477	7841.000000	561.334477	6652.000000	561.334477	6142.000000	561.334477	4986.000000	561.334477	4299.000000	561.334477	3942.000000	561.334477	3821.000000	561.334477	5141.000000	561.334477	4532.000000	561.334477	3583.000000	561.334477	3320.000000	561.334477	7222.000000	561.334477	6252.000000	561.334477	6099.000000
562.055336	4387.000000	562.055336	4432.000000	562.055336	5841.000000	562.055336	5637.000000	562.055336	5372.000000	562.055336	4692.000000	562.055336	4487.000000	562.055336	10815.000000	562.055336	7651.000000	562.055336	6750.000000	562.055336	6170.000000	562.055336	5091.000000	562.055336	4164.000000	562.055336	3805.000000	562.055336	3669.000000	562.055336	5056.000000	562.055336	4376.000000	562.055336	3529.000000	562.055336	3276.000000	562.055336	7180.000000	562.055336	6115.000000	562.055336	5785.000000
562.776130	4473.000000	562.776130	4359.000000	562.776130	5851.000000	562.776130	5550.000000	562.776130	5312.000000	562.776130	4719.000000	562.776130	4427.000000	562.776130	10625.000000	562.776130	7488.000000	562.776130	6534.000000	562.776130	6098.000000	562.776130	4940.000000	562.776130	4187.000000	562.776130	3804.000000	562.776130	3688.000000	562.776130	5090.000000	562.776130	4270.000000	562.776130	3497.000000	562.776130	3165.000000	562.776130	7007.000000	562.776130	6153.000000	562.776130	5842.000000
563.496862	4346.000000	563.496862	4364.000000	563.496862	5744.000000	563.496862	5612.000000	563.496862	5330.000000	563.496862	4632.000000	563.496862	4437.000000	563.496862	10641.000000	563.496862	7530.000000	563.496862	6590.000000	563.496862	6137.000000	563.496862	4995.000000	563.496862	4186.000000	563.496862	3831.000000	563.496862	3718.000000	563.496862	4958.000000	563.496862	4368.000000	563.496862	3601.000000	563.496862	3207.000000	563.496862	7113.000000	563.496862	6033.000000	563.496862	5778.000000
564.217529	4305.000000	564.217529	4352.000000	564.217529	5629.000000	564.217529	5472.000000	564.217529	5337.000000	564.217529	4556.000000	564.217529	4456.000000	564.217529	10680.000000	564.217529	7484.000000	564.217529	6434.000000	564.217529	6050.000000	564.217529	5052.000000	564.217529	4126.000000	564.217529	3797.000000	564.217529	3703.000000	564.217529	4957.000000	564.217529	4251.000000	564.217529	3536.000000	564.217529	3196.000000	564.217529	6997.000000	564.217529	5995.000000	564.217529	5650.000000
564.938132	4287.000000	564.938132	4328.000000	564.938132	5653.000000	564.938132	5454.000000	564.938132	5169.000000	564.938132	4487.000000	564.938132	4311.000000	564.938132	10575.000000	564.938132	7670.000000	564.938132	6584.000000	564.938132	5952.000000	564.938132	4958.000000	564.938132	4216.000000	564.938132	3878.000000	564.938132	3654.000000	564.938132	5019.000000	564.938132	4247.000000	564.938132	3461.000000	564.938132	3199.000000	564.938132	7009.000000	564.938132	6080.000000	564.938132	5680.000000
565.658672	4270.000000	565.658672	4264.000000	565.658672	5547.000000	565.658672	5511.000000	565.658672	5256.000000	565.658672	4436.000000	565.658672	4330.000000	565.658672	10499.000000	565.658672	7372.000000	565.658672	6472.000000	565.658672	5984.000000	565.658672	4910.000000	565.658672	4253.000000	565.658672	3824.000000	565.658672	3651.000000	565.658672	4975.000000	565.658672	4262.000000	565.658672	3427.000000	565.658672	3160.000000	565.658672	6786.000000	565.658672	6018.000000	565.658672	5680.000000
566.379148	4131.000000	566.379148	4218.000000	566.379148	5612.000000	566.379148	5294.000000	566.379148	5148.000000	566.379148	4508.000000	566.379148	4357.000000	566.379148	10485.000000	566.379148	7555.000000	566.379148	6473.000000	566.379148	6013.000000	566.379148	4987.000000	566.379148	4262.000000	566.379148	3982.000000	566.379148	3674.000000	566.379148	5028.000000	566.379148	4153.000000	566.379148	3412.000000	566.379148	3081.000000	566.379148	6917.000000	566.379148	5833.000000	566.379148	5564.000000
