X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y
559.892568	4183.000000	559.892568	4043.000000	559.892568	8982.000000	559.892568	7265.000000	559.892568	6557.000000	559.892568	6380.000000	559.892568	6069.000000	559.892568	5827.000000	559.892568	5742.000000	559.892568	8273.000000	559.892568	6262.000000	559.892568	5523.000000	559.892568	5256.000000	559.892568	7601.000000	559.892568	5865.000000	559.892568	4937.000000	559.892568	6213.000000	559.892568	5502.000000	559.892568	4187.000000	559.892568	3946.000000	559.892568	5109.000000	559.892568	4298.000000	559.892568	8910.000000	559.892568	7040.000000	559.892568	6535.000000
560.613554	4249.000000	560.613554	4047.000000	560.613554	9059.000000	560.613554	7130.000000	560.613554	6594.000000	560.613554	6243.000000	560.613554	5924.000000	560.613554	5758.000000	560.613554	5605.000000	560.613554	8158.000000	560.613554	6083.000000	560.613554	5509.000000	560.613554	5206.000000	560.613554	7817.000000	560.613554	5746.000000	560.613554	4951.000000	560.613554	6172.000000	560.613554	5491.000000	560.613554	4280.000000	560.613554	3845.000000	560.613554	5073.000000	560.613554	4141.000000	560.613554	8915.000000	560.613554	6884.000000	560.613554	6603.000000
561.334477	4184.000000	561.334477	3913.000000	561.334477	8889.000000	561.334477	7172.000000	561.334477	6546.000000	561.334477	6102.000000	561.334477	5792.000000	561.334477	5775.000000	561.334477	5593.000000	561.334477	8153.000000	561.334477	6125.000000	561.334477	5556.000000	561.334477	5224.000000	561.334477	7608.000000	561.334477	5701.000000	561.334477	4914.000000	561.334477	6218.000000	561.334477	5459.000000	561.334477	4202.000000	561.334477	3789.000000	561.334477	5114.000000	561.334477	4133.000000	561.334477	8767.000000	561.334477	6819.000000	561.334477	6338.000000
562.055336	4029.000000	562.055336	3989.000000	562.055336	8744.000000	562.055336	7059.000000	562.055336	6394.000000	562.055336	6084.000000	562.055336	5973.000000	562.055336	5712.000000	562.055336	5588.000000	562.055336	8079.000000	562.055336	6102.000000	562.055336	5437.000000	562.055336	5059.000000	562.055336	7571.000000	562.055336	5815.000000	562.055336	4866.000000	562.055336	6054.000000	562.055336	5334.000000	562.055336	4190.000000	562.055336	3830.000000	562.055336	4964.000000	562.055336	4116.000000	562.055336	8658.000000	562.055336	6862.000000	562.055336	6251.000000
562.776130	4098.000000	562.776130	3886.000000	562.776130	8962.000000	562.776130	7022.000000	562.776130	6362.000000	562.776130	6064.000000	562.776130	5826.000000	562.776130	5636.000000	562.776130	5507.000000	562.776130	8126.000000	562.776130	6063.000000	562.776130	5385.000000	562.776130	5039.000000	562.776130	7430.000000	562.776130	5767.000000	562.776130	4983.000000	562.776130	6088.000000	562.776130	5351.000000	562.776130	3995.000000	562.776130	3790.000000	562.776130	4980.000000	562.776130	3984.000000	562.776130	8595.000000	562.776130	6791.000000	562.776130	6205.000000
563.496862	4062.000000	563.496862	3831.000000	563.496862	8769.000000	563.496862	6787.000000	563.496862	6417.000000	563.496862	5927.000000	563.496862	5782.000000	563.496862	5628.000000	563.496862	5487.000000	563.496862	8081.000000	563.496862	6047.000000	563.496862	5419.000000	563.496862	5127.000000	563.496862	7576.000000	563.496862	5795.000000	563.496862	4719.000000	563.496862	5970.000000	563.496862	5263.000000	563.496862	4055.000000	563.496862	3654.000000	563.496862	4922.000000	563.496862	3990.000000	563.496862	8700.000000	563.496862	6743.000000	563.496862	6268.000000
564.217529	3997.000000	564.217529	3871.000000	564.217529	8810.000000	564.217529	6867.000000	564.217529	6299.000000	564.217529	5944.000000	564.217529	5772.000000	564.217529	5584.000000	564.217529	5414.000000	564.217529	7899.000000	564.217529	6037.000000	564.217529	5447.000000	564.217529	4985.000000	564.217529	7458.000000	564.217529	5629.000000	564.217529	4790.000000	564.217529	5913.000000	564.217529	5274.000000	564.217529	3987.000000	564.217529	3578.000000	564.217529	4843.000000	564.217529	4023.000000	564.217529	8537.000000	564.217529	6769.000000	564.217529	6242.000000
564.938132	3931.000000	564.938132	3732.000000	564.938132	8866.000000	564.938132	6695.000000	564.938132	6204.000000	564.938132	5962.000000	564.938132	5714.000000	564.938132	5551.000000	564.938132	5225.000000	564.938132	7952.000000	564.938132	5855.000000	564.938132	5399.000000	564.938132	5156.000000	564.938132	7401.000000	564.938132	5712.000000	564.938132	4822.000000	564.938132	5895.000000	564.938132	5196.000000	564.938132	3985.000000	564.938132	3620.000000	564.938132	4869.000000	564.938132	4012.000000	564.938132	8650.000000	564.938132	6558.000000	564.938132	6104.000000
565.658672	3800.000000	565.658672	3729.000000	565.658672	8700.000000	565.658672	6707.000000	565.658672	6261.000000	565.658672	5866.000000	565.658672	5642.000000	565.658672	5501.000000	565.658672	5249.000000	565.658672	8013.000000	565.658672	5943.000000	565.658672	5279.000000	565.658672	4923.000000	565.658672	7299.000000	565.658672	5608.000000	565.658672	4752.000000	565.658672	5806.000000	565.658672	5142.000000	565.658672	3968.000000	565.658672	3587.000000	565.658672	4817.000000	565.658672	3897.000000	565.658672	8387.000000	565.658672	6546.000000	565.658672	6077.000000
566.379148	3822.000000	566.379148	3582.000000	566.379148	8655.000000	566.379148	6823.000000	566.379148	6148.000000	566.379148	5878.000000	566.379148	5562.000000	566.379148	5522.000000	566.379148	5218.000000	566.379148	7975.000000	566.379148	5954.000000	566.379148	5350.000000	566.379148	4930.000000	566.379148	7494.000000	566.379148	5573.000000	566.379148	4829.000000	566.379148	5863.000000	566.379148	5103.000000	566.379148	3909.000000	566.379148	3639.000000	566.379148	4849.000000	566.379148	3883.000000	566.379148	8523.000000	566.379148	6564.000000	566.379148	5997.000000
