X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y
559.892568	4825.000000	559.892568	3656.000000	559.892568	6021.000000	559.892568	4604.000000	559.892568	4150.000000	559.892568	3967.000000	559.892568	3752.000000	559.892568	4178.000000	559.892568	3067.000000	559.892568	7787.000000	559.892568	5533.000000	559.892568	5060.000000	559.892568	4670.000000	559.892568	4539.000000	559.892568	4354.000000	559.892568	11949.000000	559.892568	8197.000000	559.892568	7089.000000	559.892568	6699.000000	559.892568	5713.000000	559.892568	7712.000000	559.892568	6661.000000	559.892568	3702.000000	559.892568	3275.000000	559.892568	5549.000000	559.892568	4721.000000
560.613554	4870.000000	560.613554	3647.000000	560.613554	5824.000000	560.613554	4563.000000	560.613554	4244.000000	560.613554	3850.000000	560.613554	3704.000000	560.613554	4147.000000	560.613554	3094.000000	560.613554	7829.000000	560.613554	5525.000000	560.613554	5070.000000	560.613554	4780.000000	560.613554	4383.000000	560.613554	4286.000000	560.613554	12005.000000	560.613554	8137.000000	560.613554	6994.000000	560.613554	6680.000000	560.613554	5614.000000	560.613554	7804.000000	560.613554	6596.000000	560.613554	3702.000000	560.613554	3310.000000	560.613554	5587.000000	560.613554	4702.000000
561.334477	4816.000000	561.334477	3602.000000	561.334477	5870.000000	561.334477	4577.000000	561.334477	4095.000000	561.334477	3846.000000	561.334477	3616.000000	561.334477	4129.000000	561.334477	3070.000000	561.334477	7906.000000	561.334477	5637.000000	561.334477	4999.000000	561.334477	4678.000000	561.334477	4378.000000	561.334477	4297.000000	561.334477	11806.000000	561.334477	8087.000000	561.334477	6930.000000	561.334477	6552.000000	561.334477	5685.000000	561.334477	7522.000000	561.334477	6593.000000	561.334477	3654.000000	561.334477	3320.000000	561.334477	5472.000000	561.334477	4690.000000
562.055336	4748.000000	562.055336	3597.000000	562.055336	5858.000000	562.055336	4527.000000	562.055336	4113.000000	562.055336	3809.000000	562.055336	3652.000000	562.055336	3954.000000	562.055336	2994.000000	562.055336	7855.000000	562.055336	5526.000000	562.055336	5033.000000	562.055336	4605.000000	562.055336	4439.000000	562.055336	4312.000000	562.055336	11968.000000	562.055336	8005.000000	562.055336	6867.000000	562.055336	6552.000000	562.055336	5578.000000	562.055336	7498.000000	562.055336	6455.000000	562.055336	3568.000000	562.055336	3162.000000	562.055336	5408.000000	562.055336	4595.000000
562.776130	4778.000000	562.776130	3530.000000	562.776130	5766.000000	562.776130	4475.000000	562.776130	4061.000000	562.776130	3788.000000	562.776130	3630.000000	562.776130	4100.000000	562.776130	2986.000000	562.776130	7778.000000	562.776130	5613.000000	562.776130	5063.000000	562.776130	4568.000000	562.776130	4540.000000	562.776130	4269.000000	562.776130	11931.000000	562.776130	7961.000000	562.776130	6841.000000	562.776130	6444.000000	562.776130	5529.000000	562.776130	7579.000000	562.776130	6339.000000	562.776130	3582.000000	562.776130	3180.000000	562.776130	5312.000000	562.776130	4570.000000
563.496862	4727.000000	563.496862	3502.000000	563.496862	5763.000000	563.496862	4445.000000	563.496862	3993.000000	563.496862	3825.000000	563.496862	3534.000000	563.496862	3973.000000	563.496862	2971.000000	563.496862	7767.000000	563.496862	5610.000000	563.496862	4995.000000	563.496862	4579.000000	563.496862	4407.000000	563.496862	4248.000000	563.496862	11670.000000	563.496862	7962.000000	563.496862	6817.000000	563.496862	6451.000000	563.496862	5488.000000	563.496862	7497.000000	563.496862	6331.000000	563.496862	3501.000000	563.496862	3165.000000	563.496862	5294.000000	563.496862	4451.000000
564.217529	4609.000000	564.217529	3479.000000	564.217529	5703.000000	564.217529	4391.000000	564.217529	3999.000000	564.217529	3805.000000	564.217529	3579.000000	564.217529	3949.000000	564.217529	2896.000000	564.217529	7792.000000	564.217529	5400.000000	564.217529	4903.000000	564.217529	4625.000000	564.217529	4406.000000	564.217529	4282.000000	564.217529	11656.000000	564.217529	7806.000000	564.217529	6699.000000	564.217529	6382.000000	564.217529	5493.000000	564.217529	7445.000000	564.217529	6210.000000	564.217529	3507.000000	564.217529	3250.000000	564.217529	5269.000000	564.217529	4427.000000
564.938132	4688.000000	564.938132	3427.000000	564.938132	5708.000000	564.938132	4398.000000	564.938132	4092.000000	564.938132	3781.000000	564.938132	3504.000000	564.938132	3967.000000	564.938132	2933.000000	564.938132	7717.000000	564.938132	5464.000000	564.938132	4906.000000	564.938132	4585.000000	564.938132	4366.000000	564.938132	4148.000000	564.938132	11774.000000	564.938132	7777.000000	564.938132	6834.000000	564.938132	6268.000000	564.938132	5581.000000	564.938132	7286.000000	564.938132	6150.000000	564.938132	3483.000000	564.938132	3199.000000	564.938132	5269.000000	564.938132	4477.000000
565.658672	4636.000000	565.658672	3386.000000	565.658672	5652.000000	565.658672	4424.000000	565.658672	3996.000000	565.658672	3705.000000	565.658672	3529.000000	565.658672	3905.000000	565.658672	2839.000000	565.658672	7716.000000	565.658672	5519.000000	565.658672	4941.000000	565.658672	4578.000000	565.658672	4484.000000	565.658672	4155.000000	565.658672	11526.000000	565.658672	7766.000000	565.658672	6704.000000	565.658672	6252.000000	565.658672	5446.000000	565.658672	7252.000000	565.658672	6095.000000	565.658672	3435.000000	565.658672	3059.000000	565.658672	5239.000000	565.658672	4424.000000
566.379148	4482.000000	566.379148	3347.000000	566.379148	5590.000000	566.379148	4356.000000	566.379148	3989.000000	566.379148	3735.000000	566.379148	3432.000000	566.379148	3890.000000	566.379148	2862.000000	566.379148	7644.000000	566.379148	5558.000000	566.379148	4822.000000	566.379148	4609.000000	566.379148	4318.000000	566.379148	4188.000000	566.379148	11678.000000	566.379148	7712.000000	566.379148	6647.000000	566.379148	6172.000000	566.379148	5519.000000	566.379148	7179.000000	566.379148	6143.000000	566.379148	3511.000000	566.379148	3063.000000	566.379148	5246.000000	566.379148	4410.000000
567.099560	4640.000000	567.099560	3350.000000	567.099560	5555.000000	567.099560	4377.000000	567.099560	3986.000000	567.099560	3701.000000	567.099560	3473.000000	567.099560	3860.000000	567.099560	2873.000000	567.099560	7810.000000	567.099560	5490.000000	567.099560	4777.000000	567.099560	4521.000000	567.099560	4401.000000	567.099560	4208.000000	567.099560	11461.000000	567.099560	7684.000000	567.099560	6669.000000	567.099560	6115.000000	567.099560	5407.000000	567.099560	7208.000000	567.099560	6023.000000	567.099560	3356.000000	567.099560	3068.000000	567.099560	5121.000000	567.099560	4349.000000
567.819908	4554.000000	567.819908	3374.000000	567.819908	5585.000000	567.819908	4366.000000	567.819908	3972.000000	567.819908	3666.000000	567.819908	3376.000000	567.819908	3808.000000	567.819908	2913.000000	567.819908	7775.000000	567.819908	5418.000000	567.819908	4918.000000	567.819908	4542.000000	567.819908	4261.000000	567.819908	4116.000000	567.819908	11481.000000	567.819908	7732.000000	567.819908	6519.000000	567.819908	6152.000000	567.819908	5404.000000	567.819908	7084.000000	567.819908	5959.000000	567.819908	3391.000000	567.819908	3005.000000	567.819908	5128.000000	567.819908	4264.000000
568.540193	4505.000000	568.540193	3255.000000	568.540193	5583.000000	568.540193	4292.000000	568.540193	3907.000000	568.540193	3623.000000	568.540193	3466.000000	568.540193	3791.000000	568.540193	2881.000000	568.540193	7645.000000	568.540193	5476.000000	568.540193	4919.000000	568.540193	4686.000000	568.540193	4388.000000	568.540193	4217.000000	568.540193	11463.000000	568.540193	7612.000000	568.540193	6469.000000	568.540193	6169.000000	568.540193	5538.000000	568.540193	7052.000000	568.540193	5933.000000	568.540193	3351.000000	568.540193	2887.000000	568.540193	5142.000000	568.540193	4306.000000
569.260414	4528.000000	569.260414	3264.000000	569.260414	5517.000000	569.260414	4254.000000	569.260414	3862.000000	569.260414	3564.000000	569.260414	3392.000000	569.260414	3747.000000	569.260414	2780.000000	569.260414	7728.000000	569.260414	5422.000000	569.260414	4865.000000	569.260414	4605.000000	569.260414	4287.000000	569.260414	4240.000000	569.260414	11448.000000	569.260414	7564.000000	569.260414	6367.000000	569.260414	6027.000000	569.260414	5346.000000	569.260414	7064.000000	569.260414	5972.000000	569.260414	3428.000000	569.260414	3008.000000	569.260414	5076.000000	569.260414	4248.000000
569.980571	4469.000000	569.980571	3283.000000	569.980571	5574.000000	569.980571	4330.000000	569.980571	3810.000000	569.980571	3581.000000	569.980571	3442.000000	569.980571	3688.000000	569.980571	2756.000000	569.980571	7769.000000	569.980571	5370.000000	569.980571	4810.000000	569.980571	4500.000000	569.980571	4407.000000	569.980571	4226.000000	569.980571	11193.000000	569.980571	7568.000000	569.980571	6403.000000	569.980571	6082.000000	569.980571	5388.000000	569.980571	6983.000000	569.980571	5825.000000	569.980571	3376.000000	569.980571	2962.000000	569.980571	5087.000000	569.980571	4272.000000
570.700664	4552.000000	570.700664	3310.000000	570.700664	5556.000000	570.700664	4232.000000	570.700664	3809.000000	570.700664	3534.000000	570.700664	3391.000000	570.700664	3731.000000	570.700664	2730.000000	570.700664	7675.000000	570.700664	5509.000000	570.700664	4836.000000	570.700664	4523.000000	570.700664	4308.000000	570.700664	4141.000000	570.700664	11344.000000	570.700664	7602.000000	570.700664	6308.000000	570.700664	6156.000000	570.700664	5373.000000	570.700664	6896.000000	570.700664	5818.000000	570.700664	3278.000000	570.700664	2906.000000	570.700664	5090.000000	570.700664	4248.000000
571.420694	4536.000000	571.420694	3213.000000	571.420694	5577.000000	571.420694	4287.000000	571.420694	3824.000000	571.420694	3567.000000	571.420694	3376.000000	571.420694	3702.000000	571.420694	2699.000000	571.420694	7731.000000	571.420694	5550.000000	571.420694	4854.000000	571.420694	4563.000000	571.420694	4276.000000	571.420694	4169.000000	571.420694	11398.000000	571.420694	7441.000000	571.420694	6314.000000	571.420694	6032.000000	571.420694	5189.000000	571.420694	6835.000000	571.420694	5772.000000	571.420694	3336.000000	571.420694	2956.000000	571.420694	5082.000000	571.420694	4175.000000
572.140660	4418.000000	572.140660	3178.000000	572.140660	5469.000000	572.140660	4241.000000	572.140660	3863.000000	572.140660	3456.000000	572.140660	3313.000000	572.140660	3571.000000	572.140660	2802.000000	572.140660	7670.000000	572.140660	5356.000000	572.140660	4875.000000	572.140660	4441.000000	572.140660	4408.000000	572.140660	4061.000000	572.140660	11142.000000	572.140660	7503.000000	572.140660	6229.000000	572.140660	5969.000000	572.140660	5324.000000	572.140660	6905.000000	572.140660	5716.000000	572.140660	3325.000000	572.140660	2900.000000	572.140660	5053.000000	572.140660	4212.000000
572.860562	4415.000000	572.860562	3203.000000	572.860562	5415.000000	572.860562	4277.000000	572.860562	3848.000000	572.860562	3523.000000	572.860562	3374.000000	572.860562	3614.000000	572.860562	2722.000000	572.860562	7691.000000	572.860562	5409.000000	572.860562	4814.000000	572.860562	4479.000000	572.860562	4311.000000	572.860562	4138.000000	572.860562	11261.000000	572.860562	7501.000000	572.860562	6271.000000	572.860562	5971.000000	572.860562	5366.000000	572.860562	6817.000000	572.860562	5591.000000	572.860562	3268.000000	572.860562	2856.000000	572.860562	5045.000000	572.860562	4110.000000
573.580401	4365.000000	573.580401	3231.000000	573.580401	5496.000000	573.580401	4108.000000	573.580401	3794.000000	573.580401	3482.000000	573.580401	3304.000000	573.580401	3618.000000	573.580401	2643.000000	573.580401	7781.000000	573.580401	5459.000000	573.580401	4920.000000	573.580401	4518.000000	573.580401	4287.000000	573.580401	4136.000000	573.580401	11219.000000	573.580401	7522.000000	573.580401	6261.000000	573.580401	5816.000000	573.580401	5406.000000	573.580401	6835.000000	573.580401	5611.000000	573.580401	3197.000000	573.580401	2940.000000	573.580401	4966.000000	573.580401	4195.000000
574.300176	4430.000000	574.300176	3204.000000	574.300176	5470.000000	574.300176	4255.000000	574.300176	3748.000000	574.300176	3502.000000	574.300176	3219.000000	574.300176	3619.000000	574.300176	2677.000000	574.300176	7608.000000	574.300176	5386.000000	574.300176	4779.000000	574.300176	4539.000000	574.300176	4358.000000	574.300176	4153.000000	574.300176	11232.000000	574.300176	7379.000000	574.300176	6077.000000	574.300176	5833.000000	574.300176	5406.000000	574.300176	6712.000000	574.300176	5543.000000	574.300176	3153.000000	574.300176	2833.000000	574.300176	4961.000000	574.300176	4040.000000
575.019887	4411.000000	575.019887	3092.000000	575.019887	5518.000000	575.019887	4213.000000	575.019887	3758.000000	575.019887	3418.000000	575.019887	3285.000000	575.019887	3552.000000	575.019887	2641.000000	575.019887	7654.000000	575.019887	5439.000000	575.019887	4829.000000	575.019887	4475.000000	575.019887	4303.000000	575.019887	4085.000000	575.019887	11109.000000	575.019887	7360.000000	575.019887	6211.000000	575.019887	5886.000000	575.019887	5286.000000	575.019887	6724.000000	575.019887	5590.000000	575.019887	3261.000000	575.019887	2848.000000	575.019887	4968.000000	575.019887	3971.000000
575.739534	4342.000000	575.739534	3114.000000	575.739534	5412.000000	575.739534	4089.000000	575.739534	3658.000000	575.739534	3496.000000	575.739534	3278.000000	575.739534	3530.000000	575.739534	2677.000000	575.739534	7621.000000	575.739534	5460.000000	575.739534	4764.000000	575.739534	4482.000000	575.739534	4256.000000	575.739534	3990.000000	575.739534	11151.000000	575.739534	7369.000000	575.739534	6152.000000	575.739534	5821.000000	575.739534	5217.000000	575.739534	6793.000000	575.739534	5600.000000	575.739534	3168.000000	575.739534	2803.000000	575.739534	4916.000000	575.739534	4128.000000
576.459118	4373.000000	576.459118	3138.000000	576.459118	5453.000000	576.459118	4189.000000	576.459118	3749.000000	576.459118	3427.000000	576.459118	3174.000000	576.459118	3613.000000	576.459118	2692.000000	576.459118	7585.000000	576.459118	5439.000000	576.459118	4809.000000	576.459118	4448.000000	576.459118	4265.000000	576.459118	4066.000000	576.459118	11086.000000	576.459118	7376.000000	576.459118	6065.000000	576.459118	5805.000000	576.459118	5200.000000	576.459118	6706.000000	576.459118	5430.000000	576.459118	3179.000000	576.459118	2758.000000	576.459118	4832.000000	576.459118	3992.000000
